"","state","status","species"
"1","CT","S1B","Eremophila alpestris"
"2","ME","S3B,S3S4N","Eremophila alpestris"
"3","MA","S3B,S4N","Eremophila alpestris"
"4","NH","S3B","Eremophila alpestris"
"5","NY","S3S4B","Eremophila alpestris"
"6","RI","S1B","Eremophila alpestris"
"7","IUCN","LC - Least concern","Eremophila alpestris"
"8","USA","N5B,N5N","Eremophila alpestris"
"9","MA","S1N","Xema sabini"
"10","NY","N5B","Xema sabini"
"11","IUCN","LC - Least concern","Xema sabini"
"12","USA","N5B","Xema sabini"
"13","CT","S1B","Sterna dougallii"
"14","ME","S2B","Sterna dougallii"
"15","MA","S2B,S3N","Sterna dougallii"
"16","NH","SHB","Sterna dougallii"
"17","NY","S1B","Sterna dougallii"
"18","RI","SHB,S1N","Sterna dougallii"
"19","IUCN","LC - Least concern","Sterna dougallii"
"20","USA","N2N,N3B","Sterna dougallii"
"21","CT","S1B","Egretta caerulea"
"22","ME","S1B","Egretta caerulea"
"23","MA","S1B,S3N","Egretta caerulea"
"24","NH","N5B,N5N","Egretta caerulea"
"25","NY","S2","Egretta caerulea"
"26","RI","S1B,S2N","Egretta caerulea"
"27","IUCN","LC - Least concern","Egretta caerulea"
"28","USA","N5B,N5N","Egretta caerulea"
"29","ME","S3S4N","Ardenna grisea"
"30","MA","S5N","Ardenna grisea"
"31","NH","N5N","Ardenna grisea"
"32","NY","N5N","Ardenna grisea"
"33","RI","N5N","Ardenna grisea"
"34","IUCN","NT - Near threatened","Ardenna grisea"
"35","USA","N5N","Ardenna grisea"
"36","ME","S3S4N","Fulmarus glacialis"
"37","MA","S4N","Fulmarus glacialis"
"38","NH","N4N,N5B","Fulmarus glacialis"
"39","RI","N4N,N5B","Fulmarus glacialis"
"40","IUCN","LC - Least concern","Fulmarus glacialis"
"41","USA","N4N,N5B","Fulmarus glacialis"
"42","ME","S2B","Fratercula arctica"
"43","MA","S2N","Fratercula arctica"
"44","NY","N1B","Fratercula arctica"
"45","IUCN","LC - Least concern","Fratercula arctica"
"46","USA","N1B","Fratercula arctica"
"47","ME","NNA","Catharacta skua"
"48","MA","S1N","Catharacta skua"
"49","NY","NNA","Catharacta skua"
"50","RI","NNA","Catharacta skua"
"51","IUCN","LC - Least concern","Catharacta skua"
"52","USA","NNA","Catharacta skua"
"53","ME","S5N","Ardenna gravis"
"54","MA","S5N","Ardenna gravis"
"55","NH","N5N","Ardenna gravis"
"56","NY","N5N","Ardenna gravis"
"57","RI","N5N","Ardenna gravis"
"58","IUCN","LC - Least concern","Ardenna gravis"
"59","USA","N5N","Ardenna gravis"
"60","ME","S1N","Alle alle"
"61","MA","S3N","Alle alle"
"62","NH","N2B","Alle alle"
"63","NY","N2B","Alle alle"
"64","RI","N2B","Alle alle"
"65","IUCN","LC - Least concern","Alle alle"
"66","USA","N2B","Alle alle"
"67","ME","S2B","Alca torda"
"68","MA","S4N","Alca torda"
"69","NH","N1B","Alca torda"
"70","NY","N1B","Alca torda"
"71","RI","N1B","Alca torda"
"72","IUCN","LC - Least concern","Alca torda"
"73","USA","N1B","Alca torda"
"74","IUCN","LC - Least concern","Onychoprion fuscatus"
"75","USA","NNR","Onychoprion fuscatus"
"76","CT","N5B,N5N","Calcarius lapponicus"
"77","ME","S2S3N","Calcarius lapponicus"
"78","MA","S4N","Calcarius lapponicus"
"79","NH","N5B,N5N","Calcarius lapponicus"
"80","NY","N5B,N5N","Calcarius lapponicus"
"81","RI","N5B,N5N","Calcarius lapponicus"
"82","IUCN","LC - Least concern","Calcarius lapponicus"
"83","USA","N5B,N5N","Calcarius lapponicus"
"84","CT","N5B,N5N","Anthus rubescens"
"85","ME","S1B,S3N","Anthus rubescens"
"86","MA","S4N","Anthus rubescens"
"87","NH","S2B","Anthus rubescens"
"88","NY","N5B,N5N","Anthus rubescens"
"89","RI","N5B,N5N","Anthus rubescens"
"90","IUCN","LC - Least concern","Anthus rubescens"
"91","USA","N5B,N5N","Anthus rubescens"
"92","IUCN","LC - Least concern","Phaethon lepturus"
"93","USA","NNA","Phaethon lepturus"
"94","ME","S4N,S5B","Cepphus grylle"
"95","MA","S4N","Cepphus grylle"
"96","NH","S3","Cepphus grylle"
"97","NY","N4","Cepphus grylle"
"98","RI","N4","Cepphus grylle"
"99","IUCN","LC - Least concern","Cepphus grylle"
"100","USA","N4","Cepphus grylle"
"101","CT","SX","Camptorhynchus labradorius"
"102","ME","SX","Camptorhynchus labradorius"
"103","MA","SX","Camptorhynchus labradorius"
"104","NH","SX","Camptorhynchus labradorius"
"105","NY","SXN","Camptorhynchus labradorius"
"106","RI","SX","Camptorhynchus labradorius"
"107","IUCN","EX - Extinct","Camptorhynchus labradorius"
"108","USA","NXN","Camptorhynchus labradorius"
"109","CT","N5B","Calidris melanotos"
"110","ME","S2S3N","Calidris melanotos"
"111","MA","S3N","Calidris melanotos"
"112","NH","N5B","Calidris melanotos"
"113","NY","N5B","Calidris melanotos"
"114","RI","N5B","Calidris melanotos"
"115","IUCN","LC - Least concern","Calidris melanotos"
"116","USA","N5B","Calidris melanotos"
"117","CT","N5N","Calidris maritima"
"118","ME","S4S5N","Calidris maritima"
"119","MA","S4N","Calidris maritima"
"120","NH","N5N","Calidris maritima"
"121","NY","N5N","Calidris maritima"
"122","RI","N5N","Calidris maritima"
"123","IUCN","LC - Least concern","Calidris maritima"
"124","USA","N5N","Calidris maritima"
"125","CT","N2N3B,N3N","Calidris canutus"
"126","ME","S3N","Calidris canutus"
"127","MA","S2N","Calidris canutus"
"128","NH","N2N3B,N3N","Calidris canutus"
"129","NY","N2N3B,N3N","Calidris canutus"
"130","RI","S3N","Calidris canutus"
"131","IUCN","LC - Least concern","Calidris canutus"
"132","USA","N2N3B,N3N","Calidris canutus"
"133","CT","N4B,N5N","Calidris alba"
"134","ME","S4N","Calidris alba"
"135","MA","S5N","Calidris alba"
"136","NH","N4B,N5N","Calidris alba"
"137","NY","N4B,N5N","Calidris alba"
"138","RI","N4B,N5N","Calidris alba"
"139","IUCN","LC - Least concern","Calidris alba"
"140","USA","N4B,N5N","Calidris alba"
"141","CT","N5B,N5N","Bucephala albeola"
"142","ME","S5N","Bucephala albeola"
"143","MA","S5N","Bucephala albeola"
"144","NH","N5B,N5N","Bucephala albeola"
"145","NY","N5B,N5N","Bucephala albeola"
"146","RI","N5B,N5N","Bucephala albeola"
"147","IUCN","LC - Least concern","Bucephala albeola"
"148","USA","N5B,N5N","Bucephala albeola"
"149","CT","N5B,N5N","Aythya marila"
"150","ME","S3S4N","Aythya marila"
"151","MA","S5N","Aythya marila"
"152","NH","N5B,N5N","Aythya marila"
"153","NY","N5B,N5N","Aythya marila"
"154","RI","N5B,N5N","Aythya marila"
"155","IUCN","LC - Least concern","Aythya marila"
"156","USA","N5B,N5N","Aythya marila"
"157","IUCN","LC - Least concern","Aythya fuligula"
"158","USA","NNA","Aythya fuligula"
"159","CT","N5B,N5N","Aythya americana"
"160","ME","N5B,N5N","Aythya americana"
"161","MA","S3N","Aythya americana"
"162","NY","N5B,N5N","Aythya americana"
"163","RI","S2N","Aythya americana"
"164","IUCN","LC - Least concern","Aythya americana"
"165","USA","N5B,N5N","Aythya americana"
"166","CT","N5B,N5N","Aythya affinis"
"167","ME","S1S3N","Aythya affinis"
"168","MA","S5N","Aythya affinis"
"169","NH","N5B,N5N","Aythya affinis"
"170","RI","N5B,N5N","Aythya affinis"
"171","IUCN","LC - Least concern","Aythya affinis"
"172","USA","N5B,N5N","Aythya affinis"
"173","CT","N5B,N5N","Arenaria interpres"
"174","ME","S4N","Arenaria interpres"
"175","MA","S4N","Arenaria interpres"
"176","NH","N5B,N5N","Arenaria interpres"
"177","NY","N5B,N5N","Arenaria interpres"
"178","RI","S4N","Arenaria interpres"
"179","IUCN","LC - Least concern","Arenaria interpres"
"180","USA","N5B,N5N","Arenaria interpres"
"181","CT","N5B,N5N","Anser caerulescens"
"182","ME","S3N","Anser caerulescens"
"183","MA","S4N","Anser caerulescens"
"184","NH","N5B,N5N","Anser caerulescens"
