"","common","sciname","source","iucn_sid","state","status","trend","status_scale"
"1","acadian redfish","Sebastes fasciatus","dataportal",NA,NA,NA,NA,NA
"2","alewife","Alosa pseudoharengus","dataportal",NA,"CT","S3",NA,"CT"
"3","alewife","Alosa pseudoharengus","dataportal",NA,"ME","S5",NA,"ME"
"4","alewife","Alosa pseudoharengus","dataportal",NA,"MA","S3S4",NA,"MA"
"5","alewife","Alosa pseudoharengus","dataportal",NA,"NH","S5",NA,"NH"
"6","alewife","Alosa pseudoharengus","dataportal",NA,"NY","S5",NA,"NY"
"7","alewife","Alosa pseudoharengus","dataportal",NA,"RI","S3",NA,"RI"
"8","alewife","Alosa pseudoharengus","dataportal",NA,"IUCN","LC - Least concern",NA,"IUCN"
"9","alewife","Alosa pseudoharengus","dataportal",NA,"USA","N5",NA,"USA"
"10","american lobster","Homarus americanus","dataportal",NA,"CT","NNR",NA,"CT"
"11","american lobster","Homarus americanus","dataportal",NA,"RI","NNR",NA,"RI"
"12","american lobster","Homarus americanus","dataportal",NA,"IUCN","LC - Least concern",NA,"IUCN"
"13","american lobster","Homarus americanus","dataportal",NA,"USA","NNR",NA,"USA"
"14","american plaice","Hippoglossoides platessoides","dataportal",NA,"RI","NNR",NA,"RI"
"15","american plaice","Hippoglossoides platessoides","dataportal",NA,"IUCN",NA,NA,"IUCN"
"16","american plaice","Hippoglossoides platessoides","dataportal",NA,"USA","NNR",NA,"USA"
"17","american shad","Alosa sapidissima","dataportal",NA,"CT","S3",NA,"CT"
"18","american shad","Alosa sapidissima","dataportal",NA,"ME","S5",NA,"ME"
"19","american shad","Alosa sapidissima","dataportal",NA,"MA","S3S4",NA,"MA"
"20","american shad","Alosa sapidissima","dataportal",NA,"NH","S3",NA,"NH"
"21","american shad","Alosa sapidissima","dataportal",NA,"NY","S4",NA,"NY"
"22","american shad","Alosa sapidissima","dataportal",NA,"RI","S1",NA,"RI"
"23","american shad","Alosa sapidissima","dataportal",NA,"IUCN","LC - Least concern",NA,"IUCN"
"24","american shad","Alosa sapidissima","dataportal",NA,"USA","N5",NA,"USA"
"25","arctic tern","Sterna paradisaea","dataportal",NA,"ME","S2B",NA,"ME"
"26","arctic tern","Sterna paradisaea","dataportal",NA,"MA","S1B,S1S2N",NA,"MA"
"27","arctic tern","Sterna paradisaea","dataportal",NA,"NH","S1B",NA,"NH"
"28","arctic tern","Sterna paradisaea","dataportal",NA,"NY","N5B",NA,"NY"
"29","arctic tern","Sterna paradisaea","dataportal",NA,"IUCN","LC - Least concern",NA,"IUCN"
"30","arctic tern","Sterna paradisaea","dataportal",NA,"USA","N5B",NA,"USA"
"31","atlantic spotted dolphin","Stenella frontalis","dataportal",NA,"NY","NU",NA,"NY"
"32","atlantic spotted dolphin","Stenella frontalis","dataportal",NA,"IUCN","DD - Data deficient",NA,"IUCN"
"33","atlantic spotted dolphin","Stenella frontalis","dataportal",NA,"USA","NU",NA,"USA"
"34","atlantic white sided dolphin","Lagenorhynchus acutus","dataportal",NA,"ME","NU",NA,"ME"
"35","atlantic white sided dolphin","Lagenorhynchus acutus","dataportal",NA,"MA","S4",NA,"MA"
"36","atlantic white sided dolphin","Lagenorhynchus acutus","dataportal",NA,"NH","NU",NA,"NH"
"37","atlantic white sided dolphin","Lagenorhynchus acutus","dataportal",NA,"NY","NU",NA,"NY"
"38","atlantic white sided dolphin","Lagenorhynchus acutus","dataportal",NA,"RI","NU",NA,"RI"
"39","atlantic white sided dolphin","Lagenorhynchus acutus","dataportal",NA,"IUCN","LC - Least concern",NA,"IUCN"
"40","atlantic white sided dolphin","Lagenorhynchus acutus","dataportal",NA,"USA","NU",NA,"USA"
"41","atlantic cod","Gadus morhua","dataportal",NA,"NY","NNR",NA,"NY"
"42","atlantic cod","Gadus morhua","dataportal",NA,"RI","NNR",NA,"RI"
"43","atlantic cod","Gadus morhua","dataportal",NA,"IUCN","VU - Vulnerable",NA,"IUCN"
"44","atlantic cod","Gadus morhua","dataportal",NA,"USA","NNR",NA,"USA"
"45","atlantic croaker","Micropogonias undulatus","dataportal",NA,"NY","N5",NA,"NY"
"46","atlantic croaker","Micropogonias undulatus","dataportal",NA,"IUCN",NA,NA,"IUCN"
"47","atlantic croaker","Micropogonias undulatus","dataportal",NA,"USA","N5",NA,"USA"
"48","atlantic halibut","Hippoglossus hippoglossus","dataportal",NA,"RI","NNR",NA,"RI"
"49","atlantic halibut","Hippoglossus hippoglossus","dataportal",NA,"IUCN","EN - Endangered",NA,"IUCN"
"50","atlantic halibut","Hippoglossus hippoglossus","dataportal",NA,"USA","NNR",NA,"USA"
"51","atlantic herring","Clupea harengus","dataportal",NA,"CT","NNR",NA,"CT"
"52","atlantic herring","Clupea harengus","dataportal",NA,"NY","NNR",NA,"NY"
"53","atlantic herring","Clupea harengus","dataportal",NA,"RI","NNR",NA,"RI"
"54","atlantic herring","Clupea harengus","dataportal",NA,"IUCN","LC - Least concern",NA,"IUCN"
"55","atlantic herring","Clupea harengus","dataportal",NA,"USA","NNR",NA,"USA"
"56","atlantic mackerel","Scomber scombrus","dataportal",NA,"CT","N5",NA,"CT"
"57","atlantic mackerel","Scomber scombrus","dataportal",NA,"NY","N5",NA,"NY"
"58","atlantic mackerel","Scomber scombrus","dataportal",NA,"RI","N5",NA,"RI"
"59","atlantic mackerel","Scomber scombrus","dataportal",NA,"IUCN","LC - Least concern",NA,"IUCN"
"60","atlantic mackerel","Scomber scombrus","dataportal",NA,"USA","N5",NA,"USA"
"61","atlantic menhaden","Brevoortia tyrannus","dataportal",NA,"CT","SNRB",NA,"CT"
"62","atlantic menhaden","Brevoortia tyrannus","dataportal",NA,"NY","N5",NA,"NY"
"63","atlantic menhaden","Brevoortia tyrannus","dataportal",NA,"RI","N5",NA,"RI"
