"","common","rgn_id","rgn_name"
"1","acadian redfish",3,"Gulf of Maine"
"2","acadian redfish",6,"Maine"
"3","acadian redfish",2,"Georges Bank"
"4","acadian redfish",7,"Massachusetts-Gulf of Maine"
"5","acadian redfish",1,"Offshore"
"6","alewife",3,"Gulf of Maine"
"7","alewife",6,"Maine"
"8","alewife",9,"New Hampshire"
"9","alewife",2,"Georges Bank"
"10","alewife",7,"Massachusetts-Gulf of Maine"
"11","alewife",11,"Rhode Island"
"12","alewife",8,"Massachusetts-Virginian"
"13","alewife",4,"Mid-Atlantic Bight"
"14","alewife",10,"New York"
"15","alewife",1,"Offshore"
"16","american lobster",3,"Gulf of Maine"
"17","american lobster",6,"Maine"
"18","american lobster",9,"New Hampshire"
"19","american lobster",2,"Georges Bank"
"20","american lobster",7,"Massachusetts-Gulf of Maine"
"21","american lobster",1,"Offshore"
"22","american lobster",11,"Rhode Island"
"23","american lobster",8,"Massachusetts-Virginian"
"24","american lobster",4,"Mid-Atlantic Bight"
"25","american lobster",10,"New York"
"26","american plaice",3,"Gulf of Maine"
"27","american plaice",6,"Maine"
"28","american plaice",9,"New Hampshire"
"29","american plaice",2,"Georges Bank"
"30","american plaice",7,"Massachusetts-Gulf of Maine"
"31","american shad",3,"Gulf of Maine"
"32","american shad",6,"Maine"
"33","american shad",9,"New Hampshire"
"34","american shad",2,"Georges Bank"
"35","american shad",7,"Massachusetts-Gulf of Maine"
"36","american shad",1,"Offshore"
"37","american shad",11,"Rhode Island"
"38","american shad",8,"Massachusetts-Virginian"
"39","american shad",4,"Mid-Atlantic Bight"
"40","american shad",10,"New York"
"41","arctic tern normalized",3,"Gulf of Maine"
"42","arctic tern normalized",2,"Georges Bank"
"43","arctic tern normalized",7,"Massachusetts-Gulf of Maine"
"44","arctic tern normalized",8,"Massachusetts-Virginian"
"45","arctic tern normalized",11,"Rhode Island"
"46","arctic tern normalized",4,"Mid-Atlantic Bight"
"47","arctic tern normalized",1,"Offshore"
"48","atlantic spotted dolphin",3,"Gulf of Maine"
"49","atlantic spotted dolphin",7,"Massachusetts-Gulf of Maine"
"50","atlantic spotted dolphin",8,"Massachusetts-Virginian"
"51","atlantic spotted dolphin",11,"Rhode Island"
"52","atlantic spotted dolphin",4,"Mid-Atlantic Bight"
"53","atlantic spotted dolphin",10,"New York"
"54","atlantic white sided dolphin",3,"Gulf of Maine"
"55","atlantic white sided dolphin",6,"Maine"
"56","atlantic white sided dolphin",7,"Massachusetts-Gulf of Maine"
"57","atlantic white sided dolphin",8,"Massachusetts-Virginian"
"58","atlantic white sided dolphin",11,"Rhode Island"
"59","atlantic cod",3,"Gulf of Maine"
"60","atlantic cod",6,"Maine"
"61","atlantic cod",9,"New Hampshire"
"62","atlantic cod",2,"Georges Bank"
"63","atlantic cod",7,"Massachusetts-Gulf of Maine"
"64","atlantic cod",4,"Mid-Atlantic Bight"
"65","atlantic cod",11,"Rhode Island"
"66","atlantic croaker",4,"Mid-Atlantic Bight"
"67","atlantic halibut",3,"Gulf of Maine"
"68","atlantic halibut",6,"Maine"
"69","atlantic halibut",9,"New Hampshire"
"70","atlantic halibut",2,"Georges Bank"
"71","atlantic halibut",7,"Massachusetts-Gulf of Maine"
"72","atlantic herring",3,"Gulf of Maine"
"73","atlantic herring",6,"Maine"
"74","atlantic herring",9,"New Hampshire"
"75","atlantic herring",2,"Georges Bank"
"76","atlantic herring",7,"Massachusetts-Gulf of Maine"
"77","atlantic herring",11,"Rhode Island"
"78","atlantic herring",8,"Massachusetts-Virginian"
"79","atlantic herring",4,"Mid-Atlantic Bight"
"80","atlantic herring",10,"New York"
"81","atlantic herring",1,"Offshore"
"82","atlantic mackerel",3,"Gulf of Maine"
"83","atlantic mackerel",6,"Maine"
"84","atlantic mackerel",9,"New Hampshire"
"85","atlantic mackerel",2,"Georges Bank"
"86","atlantic mackerel",7,"Massachusetts-Gulf of Maine"
"87","atlantic mackerel",1,"Offshore"
"88","atlantic mackerel",11,"Rhode Island"
"89","atlantic mackerel",8,"Massachusetts-Virginian"
"90","atlantic mackerel",4,"Mid-Atlantic Bight"
"91","atlantic mackerel",10,"New York"
"92","atlantic menhaden",3,"Gulf of Maine"
"93","atlantic menhaden",6,"Maine"
"94","atlantic menhaden",9,"New Hampshire"
"95","atlantic menhaden",7,"Massachusetts-Gulf of Maine"
"96","atlantic menhaden",11,"Rhode Island"
"97","atlantic menhaden",4,"Mid-Atlantic Bight"
"98","atlantic menhaden",10,"New York"
"99","atlantic puffin normalized",3,"Gulf of Maine"
"100","atlantic puffin normalized",2,"Georges Bank"
"101","atlantic puffin normalized",7,"Massachusetts-Gulf of Maine"
"102","atlantic puffin normalized",8,"Massachusetts-Virginian"
"103","atlantic puffin normalized",11,"Rhode Island"
"104","atlantic puffin normalized",4,"Mid-Atlantic Bight"
"105","atlantic puffin normalized",1,"Offshore"
"106","atlantic sturgeon",10,"New York"
"107","atlantic sturgeon",4,"Mid-Atlantic Bight"
"108","atlantic torpedo",3,"Gulf of Maine"
"109","atlantic torpedo",6,"Maine"
"110","atlantic torpedo",9,"New Hampshire"
"111","atlantic torpedo",2,"Georges Bank"
"112","atlantic torpedo",7,"Massachusetts-Gulf of Maine"
"113","atlantic torpedo",1,"Offshore"
"114","atlantic torpedo",11,"Rhode Island"
"115","atlantic torpedo",8,"Massachusetts-Virginian"
"116","atlantic torpedo",4,"Mid-Atlantic Bight"
"117","atlantic wolffish",3,"Gulf of Maine"
"118","atlantic wolffish",6,"Maine"
"119","atlantic wolffish",9,"New Hampshire"
"120","atlantic wolffish",2,"Georges Bank"
"121","atlantic wolffish",7,"Massachusetts-Gulf of Maine"
"122","audubons shearwater normalized",3,"Gulf of Maine"
"123","audubons shearwater normalized",2,"Georges Bank"
"124","audubons shearwater normalized",8,"Massachusetts-Virginian"
"125","audubons shearwater normalized",4,"Mid-Atlantic Bight"
"126","audubons shearwater normalized",1,"Offshore"
"127","band rumped storm petrel normalized",3,"Gulf of Maine"
"128","band rumped storm petrel normalized",2,"Georges Bank"
"129","band rumped storm petrel normalized",8,"Massachusetts-Virginian"
"130","band rumped storm petrel normalized",4,"Mid-Atlantic Bight"
"131","band rumped storm petrel normalized",1,"Offshore"
"132","barndoor skate",3,"Gulf of Maine"
"133","barndoor skate",6,"Maine"
"134","barndoor skate",2,"Georges Bank"
"135","barndoor skate",7,"Massachusetts-Gulf of Maine"
"136","barndoor skate",1,"Offshore"
"137","barndoor skate",4,"Mid-Atlantic Bight"
"138","bay anchovy",7,"Massachusetts-Gulf of Maine"
"139","bay anchovy",11,"Rhode Island"
"140","bay anchovy",8,"Massachusetts-Virginian"
"141","bay anchovy",4,"Mid-Atlantic Bight"
"142","bay anchovy",10,"New York"
"143","black capped petrel normalized",2,"Georges Bank"
"144","black capped petrel normalized",4,"Mid-Atlantic Bight"
"145","black capped petrel normalized",1,"Offshore"
"146","black guillemot normalized",3,"Gulf of Maine"
"147","black guillemot normalized",2,"Georges Bank"
"148","black guillemot normalized",7,"Massachusetts-Gulf of Maine"
"149","black guillemot normalized",8,"Massachusetts-Virginian"
"150","black guillemot normalized",11,"Rhode Island"
"151","black guillemot normalized",4,"Mid-Atlantic Bight"
"152","black guillemot normalized",10,"New York"
"153","black guillemot normalized",1,"Offshore"
"154","black legged kittiwake normalized",3,"Gulf of Maine"
"155","black legged kittiwake normalized",2,"Georges Bank"
"156","black legged kittiwake normalized",7,"Massachusetts-Gulf of Maine"
"157","black legged kittiwake normalized",8,"Massachusetts-Virginian"
"158","black legged kittiwake normalized",11,"Rhode Island"
"159","black legged kittiwake normalized",4,"Mid-Atlantic Bight"
"160","black legged kittiwake normalized",1,"Offshore"
"161","black scoter normalized",3,"Gulf of Maine"
"162","black scoter normalized",2,"Georges Bank"
"163","black scoter normalized",7,"Massachusetts-Gulf of Maine"
"164","black scoter normalized",8,"Massachusetts-Virginian"
"165","black scoter normalized",11,"Rhode Island"
"166","black scoter normalized",4,"Mid-Atlantic Bight"
"167","black scoter normalized",10,"New York"
"168","black scoter normalized",1,"Offshore"
"169","black sea bass",6,"Maine"
"170","black sea bass",3,"Gulf of Maine"
"171","black sea bass",9,"New Hampshire"
"172","black sea bass",7,"Massachusetts-Gulf of Maine"
"173","black sea bass",2,"Georges Bank"
"174","black sea bass",11,"Rhode Island"
"175","black sea bass",8,"Massachusetts-Virginian"
"176","black sea bass",4,"Mid-Atlantic Bight"
"177","black sea bass",1,"Offshore"
"178","black sea bass",10,"New York"
"179","blackbelly rosefish",3,"Gulf of Maine"
"180","blackbelly rosefish",2,"Georges Bank"
"181","blackbelly rosefish",1,"Offshore"
"182","blackbelly rosefish",4,"Mid-Atlantic Bight"
"183","blainvilles beaked whale",3,"Gulf of Maine"
"184","blainvilles beaked whale",2,"Georges Bank"
"185","blainvilles beaked whale",7,"Massachusetts-Gulf of Maine"
"186","blainvilles beaked whale",8,"Massachusetts-Virginian"
"187","blainvilles beaked whale",4,"Mid-Atlantic Bight"
"188","blainvilles beaked whale",1,"Offshore"
"189","blueback herring",3,"Gulf of Maine"
"190","blueback herring",6,"Maine"
"191","blueback herring",9,"New Hampshire"
"192","blueback herring",7,"Massachusetts-Gulf of Maine"
"193","blueback herring",2,"Georges Bank"
"194","blueback herring",11,"Rhode Island"
"195","blueback herring",8,"Massachusetts-Virginian"
"196","blueback herring",4,"Mid-Atlantic Bight"
"197","blueback herring",10,"New York"
"198","blueback herring",1,"Offshore"
"199","bluefish",2,"Georges Bank"
"200","bluefish",3,"Gulf of Maine"
"201","bluefish",7,"Massachusetts-Gulf of Maine"
"202","bluefish",11,"Rhode Island"
"203","bluefish",8,"Massachusetts-Virginian"
"204","bluefish",4,"Mid-Atlantic Bight"
"205","bluefish",1,"Offshore"
"206","bluefish",10,"New York"
"207","bonapartes gull normalized",3,"Gulf of Maine"
"208","bonapartes gull normalized",2,"Georges Bank"
"209","bonapartes gull normalized",7,"Massachusetts-Gulf of Maine"
"210","bonapartes gull normalized",8,"Massachusetts-Virginian"
"211","bonapartes gull normalized",11,"Rhode Island"
"212","bonapartes gull normalized",4,"Mid-Atlantic Bight"
"213","bonapartes gull normalized",10,"New York"
"214","bonapartes gull normalized",1,"Offshore"
"215","bottlenose dolphin",3,"Gulf of Maine"
"216","bottlenose dolphin",6,"Maine"
"217","bottlenose dolphin",9,"New Hampshire"
"218","bottlenose dolphin",7,"Massachusetts-Gulf of Maine"
"219","bottlenose dolphin",8,"Massachusetts-Virginian"
"220","bottlenose dolphin",11,"Rhode Island"
"221","bottlenose dolphin",4,"Mid-Atlantic Bight"
"222","bottlenose dolphin",10,"New York"
"223","bridled tern normalized",3,"Gulf of Maine"
"224","bridled tern normalized",2,"Georges Bank"
"225","bridled tern normalized",8,"Massachusetts-Virginian"
"226","bridled tern normalized",4,"Mid-Atlantic Bight"
"227","bridled tern normalized",1,"Offshore"
"228","brown pelican normalized",3,"Gulf of Maine"
"229","brown pelican normalized",2,"Georges Bank"
"230","brown pelican normalized",7,"Massachusetts-Gulf of Maine"
"231","brown pelican normalized",8,"Massachusetts-Virginian"
"232","brown pelican normalized",11,"Rhode Island"
"233","brown pelican normalized",4,"Mid-Atlantic Bight"
"234","brown pelican normalized",10,"New York"
"235","brown pelican normalized",1,"Offshore"
"236","bullnose ray",4,"Mid-Atlantic Bight"
"237","butterfish",3,"Gulf of Maine"
"238","butterfish",6,"Maine"
"239","butterfish",9,"New Hampshire"
"240","butterfish",2,"Georges Bank"
"241","butterfish",7,"Massachusetts-Gulf of Maine"
"242","butterfish",1,"Offshore"
"243","butterfish",11,"Rhode Island"
"244","butterfish",8,"Massachusetts-Virginian"
"245","butterfish",4,"Mid-Atlantic Bight"
"246","butterfish",10,"New York"
"247","clearnose skate",11,"Rhode Island"
"248","clearnose skate",4,"Mid-Atlantic Bight"
"249","clearnose skate",10,"New York"
"250","common eider normalized",3,"Gulf of Maine"
"251","common eider normalized",2,"Georges Bank"
"252","common eider normalized",7,"Massachusetts-Gulf of Maine"
"253","common eider normalized",8,"Massachusetts-Virginian"
"254","common eider normalized",11,"Rhode Island"
"255","common eider normalized",4,"Mid-Atlantic Bight"
"256","common eider normalized",10,"New York"
"257","common eider normalized",1,"Offshore"
"258","common loon normalized",3,"Gulf of Maine"
"259","common loon normalized",2,"Georges Bank"
"260","common loon normalized",7,"Massachusetts-Gulf of Maine"
"261","common loon normalized",8,"Massachusetts-Virginian"
"262","common loon normalized",11,"Rhode Island"
"263","common loon normalized",4,"Mid-Atlantic Bight"
"264","common loon normalized",10,"New York"
"265","common loon normalized",1,"Offshore"
"266","common murre normalized",3,"Gulf of Maine"
"267","common murre normalized",2,"Georges Bank"
"268","common murre normalized",7,"Massachusetts-Gulf of Maine"
"269","common murre normalized",8,"Massachusetts-Virginian"
"270","common murre normalized",11,"Rhode Island"
"271","common murre normalized",4,"Mid-Atlantic Bight"
"272","common murre normalized",1,"Offshore"
"273","common tern normalized",3,"Gulf of Maine"
"274","common tern normalized",2,"Georges Bank"
"275","common tern normalized",7,"Massachusetts-Gulf of Maine"
"276","common tern normalized",8,"Massachusetts-Virginian"
"277","common tern normalized",11,"Rhode Island"
"278","common tern normalized",4,"Mid-Atlantic Bight"
"279","common tern normalized",10,"New York"
"280","common tern normalized",1,"Offshore"
"281","corys shearwater normalized",3,"Gulf of Maine"
"282","corys shearwater normalized",2,"Georges Bank"
"283","corys shearwater normalized",7,"Massachusetts-Gulf of Maine"
"284","corys shearwater normalized",8,"Massachusetts-Virginian"
"285","corys shearwater normalized",11,"Rhode Island"
"286","corys shearwater normalized",4,"Mid-Atlantic Bight"
"287","corys shearwater normalized",1,"Offshore"
"288","cunner",6,"Maine"
"289","cunner",3,"Gulf of Maine"
"290","cunner",9,"New Hampshire"
"291","cunner",2,"Georges Bank"
"292","cunner",7,"Massachusetts-Gulf of Maine"
"293","cunner",1,"Offshore"
"294","cunner",11,"Rhode Island"
"295","cunner",8,"Massachusetts-Virginian"
"296","cunner",4,"Mid-Atlantic Bight"
"297","cunner",10,"New York"
"298","cusk",3,"Gulf of Maine"
"299","cusk",6,"Maine"
"300","cusk",2,"Georges Bank"
"301","cusk",7,"Massachusetts-Gulf of Maine"
"302","cusk",1,"Offshore"
"303","cuviers beaked whale",3,"Gulf of Maine"
"304","cuviers beaked whale",2,"Georges Bank"
"305","cuviers beaked whale",7,"Massachusetts-Gulf of Maine"
"306","cuviers beaked whale",8,"Massachusetts-Virginian"
"307","cuviers beaked whale",4,"Mid-Atlantic Bight"
"308","cuviers beaked whale",1,"Offshore"
"309","double crested cormorant normalized",3,"Gulf of Maine"
"310","double crested cormorant normalized",2,"Georges Bank"
"311","double crested cormorant normalized",7,"Massachusetts-Gulf of Maine"
"312","double crested cormorant normalized",8,"Massachusetts-Virginian"
"313","double crested cormorant normalized",11,"Rhode Island"
"314","double crested cormorant normalized",4,"Mid-Atlantic Bight"
"315","double crested cormorant normalized",10,"New York"
"316","double crested cormorant normalized",1,"Offshore"
"317","dovekie normalized",3,"Gulf of Maine"
"318","dovekie normalized",2,"Georges Bank"
"319","dovekie normalized",7,"Massachusetts-Gulf of Maine"
"320","dovekie normalized",8,"Massachusetts-Virginian"
"321","dovekie normalized",11,"Rhode Island"
"322","dovekie normalized",4,"Mid-Atlantic Bight"
