"","SID","rgn_id","rgn_name"
"1",10707,6,"Maine"
"2",10707,3,"Gulf of Maine"
"3",10707,9,"New Hampshire"
"4",10707,2,"Georges Bank"
"5",10707,7,"Massachusetts-Gulf of Maine"
"6",10707,1,"Offshore"
"7",10707,8,"Massachusetts-Virginian"
"8",10707,11,"Rhode Island"
"9",10707,4,"Mid-Atlantic Bight"
"10",10707,5,"Connecticut"
"11",10707,10,"New York"
"12",11047,6,"Maine"
"13",11047,3,"Gulf of Maine"
"14",11047,9,"New Hampshire"
"15",11047,2,"Georges Bank"
"16",11047,7,"Massachusetts-Gulf of Maine"
"17",11047,1,"Offshore"
"18",11047,8,"Massachusetts-Virginian"
"19",11047,11,"Rhode Island"
"20",11047,4,"Mid-Atlantic Bight"
"21",11047,5,"Connecticut"
"22",11047,10,"New York"
"23",11048,6,"Maine"
"24",11048,3,"Gulf of Maine"
"25",11048,9,"New Hampshire"
"26",11048,2,"Georges Bank"
"27",11048,7,"Massachusetts-Gulf of Maine"
"28",11048,1,"Offshore"
"29",11048,8,"Massachusetts-Virginian"
"30",11048,11,"Rhode Island"
"31",11048,4,"Mid-Atlantic Bight"
"32",11048,5,"Connecticut"
"33",11048,10,"New York"
"34",11142,6,"Maine"
"35",11142,3,"Gulf of Maine"
"36",11142,9,"New Hampshire"
"37",11142,7,"Massachusetts-Gulf of Maine"
"38",11200,6,"Maine"
"39",11200,3,"Gulf of Maine"
"40",11200,9,"New Hampshire"
"41",11200,2,"Georges Bank"
"42",11200,7,"Massachusetts-Gulf of Maine"
"43",11200,1,"Offshore"
"44",11200,8,"Massachusetts-Virginian"
"45",11200,11,"Rhode Island"
"46",11200,4,"Mid-Atlantic Bight"
"47",11200,5,"Connecticut"
"48",11200,10,"New York"
"49",11534,6,"Maine"
"50",11534,3,"Gulf of Maine"
"51",11534,9,"New Hampshire"
"52",11534,2,"Georges Bank"
"53",11534,7,"Massachusetts-Gulf of Maine"
"54",11534,8,"Massachusetts-Virginian"
"55",11534,11,"Rhode Island"
"56",11534,4,"Mid-Atlantic Bight"
"57",11534,5,"Connecticut"
"58",11534,10,"New York"
"59",11534,1,"Offshore"
"60",12302,6,"Maine"
"61",12302,7,"Massachusetts-Gulf of Maine"
"62",12302,8,"Massachusetts-Virginian"
"63",12302,11,"Rhode Island"
"64",12302,5,"Connecticut"
"65",12302,10,"New York"
"66",12302,4,"Mid-Atlantic Bight"
"67",12417,6,"Maine"
"68",12417,3,"Gulf of Maine"
"69",12417,9,"New Hampshire"
"70",12417,2,"Georges Bank"
"71",12417,7,"Massachusetts-Gulf of Maine"
"72",12417,1,"Offshore"
"73",12417,8,"Massachusetts-Virginian"
"74",12417,11,"Rhode Island"
"75",12417,4,"Mid-Atlantic Bight"
"76",12417,5,"Connecticut"
"77",12417,10,"New York"
"78",133446,11,"Rhode Island"
"79",133446,4,"Mid-Atlantic Bight"
"80",133446,5,"Connecticut"
"81",133446,10,"New York"
"82",133446,1,"Offshore"
"83",13458323,6,"Maine"
"84",13458323,3,"Gulf of Maine"
"85",13458323,9,"New Hampshire"
"86",13458323,2,"Georges Bank"
"87",13458323,7,"Massachusetts-Gulf of Maine"
"88",13458323,1,"Offshore"
"89",13458323,8,"Massachusetts-Virginian"
"90",13458323,11,"Rhode Island"
"91",13458323,4,"Mid-Atlantic Bight"
"92",13458323,5,"Connecticut"
"93",13458323,10,"New York"
"94",13462491,1,"Offshore"
"95",13462491,2,"Georges Bank"
"96",13462491,4,"Mid-Atlantic Bight"
"97",13462731,1,"Offshore"
"98",13462731,2,"Georges Bank"
"99",13462731,4,"Mid-Atlantic Bight"
"100",13462751,3,"Gulf of Maine"
"101",13462751,2,"Georges Bank"
"102",13462751,1,"Offshore"
"103",13462751,4,"Mid-Atlantic Bight"
"104",13462757,1,"Offshore"
"105",13462757,2,"Georges Bank"
"106",13485141,6,"Maine"
"107",13485141,3,"Gulf of Maine"
"108",13485141,9,"New Hampshire"
"109",13485141,2,"Georges Bank"
"110",13485141,7,"Massachusetts-Gulf of Maine"
"111",13485141,1,"Offshore"
"112",13485141,8,"Massachusetts-Virginian"
"113",13485141,11,"Rhode Island"
"114",13485141,4,"Mid-Atlantic Bight"
"115",13485141,5,"Connecticut"
"116",13485141,10,"New York"
"117",13485167,2,"Georges Bank"
"118",13485167,1,"Offshore"
"119",13485167,4,"Mid-Atlantic Bight"
"120",13485312,6,"Maine"
"121",13485312,3,"Gulf of Maine"
"122",13485312,9,"New Hampshire"
"123",13485312,2,"Georges Bank"
"124",13485312,7,"Massachusetts-Gulf of Maine"
"125",13485312,1,"Offshore"
"126",13485312,8,"Massachusetts-Virginian"
"127",13485312,11,"Rhode Island"
"128",13485312,4,"Mid-Atlantic Bight"
"129",13485312,5,"Connecticut"
