iucn_sid,common,sciname,population,category,neportal,neportal_name
222,Shortnose sturgeon,Acipenser brevirostrum,NA,VU,0,
245,Atlantic sturgeon,Acipenser oxyrinchus,NA,NT,1,
2474,Minke whale,Balaenoptera acutorostrata,NA,LC,1,
2475,Sei whale,Balaenoptera borealis,NA,EN,1,
2476,Bryde's whale,Balaenoptera edeni,NA,LC,1,
2477,Blue whale,Balaenoptera musculus,NA,EN,1,
2478,Fin whale,Balaenoptera physalus,NA,EN,1,
3851,Blacktip shark,Carcharhinus limbatus,NA,NT,0,
3852,Dusky shark,Carcharhinus obscurus,NA,VU,0,
3853,Sandbar shark,Carcharhinus plumbeus,NA,VU,0,
3854,Sand tiger shark,Carcharias taurus,NA,VU,1,Sand tiger
3855,Great white shark,Carcharodon carcharias,NA,VU,0,
4292,Basking shark,Cetorhinus maximus,NA,VU,0,
4615,NA,Chelonia mydas,NA,EN,0,
6204,NA,Cystophora cristata,NA,VU,0,
6229,Kitefin shark,Dalatias licha,NA,NT,0,
6336,Short-beaked common dolphin,Delphinus delphis,NA,LC,1,
8005,NA,Eretmochelys imbricata,NA,CR,0,
9249,Short-finned pilot whale,Globicephala macrorhynchus,NA,DD,1,
9250,Long-finned pilot whale,Globicephala melas,NA,DD,1,
9461,Risso's dolphin,Grampus griseus,NA,LC,1,
9660,NA,Halichoerus grypus,NA,LC,0,
10707,Northern bottlenose whale,Hyperoodon ampullatus,NA,DD,1,
11047,Pygmy sperm whale,Kogia breviceps,NA,DD,1,
11048,Dwarf sperm whale,Kogia sima,NA,DD,1,
11141,Atlantic white-sided dolphin,Lagenorhynchus acutus,NA,LC,1,
11142,White-beaked dolphin,Lagenorhynchus albirostris,NA,LC,1,
11200,Porbeagle,Lamna nasus,NA,VU,0,
11534,NA,Lepidochelys olivacea,NA,VU,0,
12302,NA,Lontra canadensis,NA,LC,0,
12417,Cubera snapper,Lutjanus cyanopterus,NA,VU,0,
13006,Humpack whale,Megaptera novaeangliae,NA,LC,1,
13241,Sowerby's beaked whale,Mesoplodon bidens,NA,DD,1,
13244,Blainville's beaked whale,Mesoplodon densirostris,NA,DD,1,
13245,Gervais' beaked whale,Mesoplodon europaeus,NA,DD,1,
13250,True's beaked whale,Mesoplodon mirus,NA,DD,1,
15421,Killer whale,Orcinus orca,NA,DD,1,
15873,Red porgy,Pagrus pagrus,NA,LC,0,
17013,NA,Phoca vitulina,NA,LC,0,
17027,Harbor porpoise,Phocoena phocoena,NA,LC,1,
19488,Whale shark,Rhincodon typus,NA,EN,0,
20729,Pantropical spotted dolphin,Stenella attenuata,NA,LC,1,
20730,Clymene dolphin,Stenella clymene,NA,DD,1,
20731,Striped dolphin,Stenella coeruleoalba,NA,LC,1,
