"","state","status","species"
"1","CT","NNR","Squalus acanthias"
"2","RI","NNR","Squalus acanthias"
"3","USA","NNR","Squalus acanthias"
"4","CT","N3B","Caretta caretta"
"5","ME","N3B","Caretta caretta"
"6","MA","S1N","Caretta caretta"
"7","NY","S1N","Caretta caretta"
"8","RI","N3B","Caretta caretta"
"9","USA","N3B","Caretta caretta"
"10","CT","N5B,N5N","Fulica americana"
"11","ME","S2?B","Fulica americana"
"12","MA","SXB,S3N","Fulica americana"
"13","NH","N5B,N5N","Fulica americana"
"14","NY","S3","Fulica americana"
"15","RI","N5B,N5N","Fulica americana"
"16","USA","N5B,N5N","Fulica americana"
"17","CT","S2B","Rallus crepitans"
"18","ME","S1?N","Rallus crepitans"
"19","MA","S2B,S2N","Rallus crepitans"
"20","NY","S2S3","Rallus crepitans"
"21","RI","S1B,S2N","Rallus crepitans"
"22","USA","N5B,N5N","Rallus crepitans"
"23","USA","NNR","Larimus fasciatus"
"24","CT","N2B","Dermochelys coriacea"
"25","ME","N2B","Dermochelys coriacea"
"26","MA","S1S2N","Dermochelys coriacea"
"27","NH","N2B","Dermochelys coriacea"
"28","NY","S1N","Dermochelys coriacea"
"29","RI","N2B","Dermochelys coriacea"
"30","USA","N2B","Dermochelys coriacea"
"31","USA","N5N","Puffinus lherminieri"
"32","CT","S1B","Falco peregrinus"
"33","ME","S1S2N,S2B","Falco peregrinus"
"34","MA","S2B,S3N","Falco peregrinus"
"35","NH","N4B,N4N","Falco peregrinus"
"36","NY","S3B","Falco peregrinus"
"37","RI","S1B","Falco peregrinus"
"38","USA","N4B,N4N","Falco peregrinus"
"39","CT","N5B,N5N","Melanitta americana"
"40","ME","S3S4N","Melanitta americana"
"41","MA","S5N","Melanitta americana"
"42","NH","N5B,N5N","Melanitta americana"
"43","NY","N5B,N5N","Melanitta americana"
"44","RI","N5B,N5N","Melanitta americana"
"45","USA","N5B,N5N","Melanitta americana"
"46","CT","S5B","Geothlypis trichas"
"47","ME","S4S5B","Geothlypis trichas"
"48","MA","S5B","Geothlypis trichas"
"49","NH","S5B","Geothlypis trichas"
"50","NY","S5B","Geothlypis trichas"
"51","RI","S5B","Geothlypis trichas"
"52","USA","N5","Geothlypis trichas"
"53","CT","S5B","Melospiza melodia"
"54","ME","S4N,S4S5B","Melospiza melodia"
"55","MA","S5","Melospiza melodia"
"56","NH","S5","Melospiza melodia"
"57","NY","S5B","Melospiza melodia"
"58","RI","S5B","Melospiza melodia"
"59","USA","N5","Melospiza melodia"
"60","CT","N5B,N5N","Calcarius lapponicus"
"61","ME","S2S3N","Calcarius lapponicus"
"62","MA","S4N","Calcarius lapponicus"
"63","NH","N5B,N5N","Calcarius lapponicus"
"64","NY","N5B,N5N","Calcarius lapponicus"
"65","RI","N5B,N5N","Calcarius lapponicus"
