"","rgn_name","year","wqi_score","score","gapfilled","raw_data","metric","habitat"
"1","Connecticut",2006,57.3236157164259,57.3236157164259,0,NA,NA,NA
"2","Connecticut",2007,NA,58.4607541372997,1,NA,NA,NA
"3","Connecticut",2008,NA,59.5978925581735,1,NA,NA,NA
"4","Connecticut",2009,NA,60.7350309790474,1,NA,NA,NA
"5","Connecticut",2010,61.8721693999212,61.8721693999212,0,NA,NA,NA
"6","Connecticut",2011,NA,61.8721693999212,1,NA,NA,NA
"7","Connecticut",2012,NA,61.8721693999212,1,NA,NA,NA
"8","Connecticut",2013,NA,61.8721693999212,1,NA,NA,NA
"9","Connecticut",2014,NA,61.8721693999212,1,NA,NA,NA
"10","Connecticut",2015,NA,61.8721693999212,1,NA,NA,NA
"11","Connecticut",2016,NA,61.8721693999212,1,NA,NA,NA
"12","Connecticut",2017,NA,61.8721693999212,1,NA,NA,NA
"13","Maine",2006,98.9160748797048,98.9160748797048,0,NA,NA,NA
"14","Maine",2007,NA,97.3046783032776,1,NA,NA,NA
"15","Maine",2008,NA,95.6932817268503,1,NA,NA,NA
"16","Maine",2009,NA,94.0818851504231,1,NA,NA,NA
"17","Maine",2010,92.4704885739959,92.4704885739959,0,NA,NA,NA
"18","Maine",2011,NA,92.4704885739959,1,NA,NA,NA
"19","Maine",2012,NA,92.4704885739959,1,NA,NA,NA
"20","Maine",2013,NA,92.4704885739959,1,NA,NA,NA
"21","Maine",2014,NA,92.4704885739959,1,NA,NA,NA
"22","Maine",2015,NA,92.4704885739959,1,NA,NA,NA
"23","Maine",2016,NA,92.4704885739959,1,NA,NA,NA
"24","Maine",2017,NA,92.4704885739959,1,NA,NA,NA
"25","Massachusetts-North",2006,90,90,0,NA,NA,NA
"26","Massachusetts-North",2007,NA,91.5574461645481,1,NA,NA,NA
"27","Massachusetts-North",2008,NA,93.1148923290962,1,NA,NA,NA
"28","Massachusetts-North",2009,NA,94.6723384936442,1,NA,NA,NA
"29","Massachusetts-North",2010,96.2297846581923,96.2297846581923,0,NA,NA,NA
"30","Massachusetts-North",2011,NA,96.2297846581923,1,NA,NA,NA
"31","Massachusetts-North",2012,NA,96.2297846581923,1,NA,NA,NA
"32","Massachusetts-North",2013,NA,96.2297846581923,1,NA,NA,NA
"33","Massachusetts-North",2014,NA,96.2297846581923,1,NA,NA,NA
"34","Massachusetts-North",2015,NA,96.2297846581923,1,NA,NA,NA
"35","Massachusetts-North",2016,NA,96.2297846581923,1,NA,NA,NA
"36","Massachusetts-North",2017,NA,96.2297846581923,1,NA,NA,NA
"37","Massachusetts-South",2006,89.2857142857143,89.2857142857143,0,NA,NA,NA
"38","Massachusetts-South",2007,NA,90.8085440399767,1,NA,NA,NA
"39","Massachusetts-South",2008,NA,92.3313737942392,1,NA,NA,NA
"40","Massachusetts-South",2009,NA,93.8542035485017,1,NA,NA,NA
"41","Massachusetts-South",2010,95.3770333027641,95.3770333027641,0,NA,NA,NA
"42","Massachusetts-South",2011,NA,95.3770333027641,1,NA,NA,NA
"43","Massachusetts-South",2012,NA,95.3770333027641,1,NA,NA,NA
"44","Massachusetts-South",2013,NA,95.3770333027641,1,NA,NA,NA
"45","Massachusetts-South",2014,NA,95.3770333027641,1,NA,NA,NA
"46","Massachusetts-South",2015,NA,95.3770333027641,1,NA,NA,NA
"47","Massachusetts-South",2016,NA,95.3770333027641,1,NA,NA,NA
"48","Massachusetts-South",2017,NA,95.3770333027641,1,NA,NA,NA
"49","New Hampshire",2006,68.75,68.75,0,NA,NA,NA
"50","New Hampshire",2007,NA,68.5348684278862,1,NA,NA,NA
"51","New Hampshire",2008,NA,68.3197368557724,1,NA,NA,NA
"52","New Hampshire",2009,NA,68.1046052836586,1,NA,NA,NA
"53","New Hampshire",2010,67.8894737115448,67.8894737115448,0,NA,NA,NA
"54","New Hampshire",2011,NA,67.8894737115448,1,NA,NA,NA
"55","New Hampshire",2012,NA,67.8894737115448,1,NA,NA,NA
"56","New Hampshire",2013,NA,67.8894737115448,1,NA,NA,NA
"57","New Hampshire",2014,NA,67.8894737115448,1,NA,NA,NA
"58","New Hampshire",2015,NA,67.8894737115448,1,NA,NA,NA
"59","New Hampshire",2016,NA,67.8894737115448,1,NA,NA,NA
"60","New Hampshire",2017,NA,67.8894737115448,1,NA,NA,NA
"61","New York",2006,75.133178487513,75.133178487513,0,NA,NA,NA
"62","New York",2007,NA,74.6555165779427,1,NA,NA,NA
"63","New York",2008,NA,74.1778546683724,1,NA,NA,NA
"64","New York",2009,NA,73.7001927588021,1,NA,NA,NA
"65","New York",2010,73.2225308492318,73.2225308492318,0,NA,NA,NA
"66","New York",2011,NA,73.2225308492318,1,NA,NA,NA
"67","New York",2012,NA,73.2225308492318,1,NA,NA,NA
"68","New York",2013,NA,73.2225308492318,1,NA,NA,NA
"69","New York",2014,NA,73.2225308492318,1,NA,NA,NA
"70","New York",2015,NA,73.2225308492318,1,NA,NA,NA
"71","New York",2016,NA,73.2225308492318,1,NA,NA,NA
"72","New York",2017,NA,73.2225308492318,1,NA,NA,NA
"73","Northeast",2006,83.0968660774238,83.0968660774238,0,NA,NA,NA
"74","Northeast",2007,NA,83.8766653436651,1,NA,NA,NA
"75","Northeast",2008,NA,84.6564646099063,1,NA,NA,NA
"76","Northeast",2009,NA,85.4362638761475,1,NA,NA,NA
"77","Northeast",2010,86.2160631423888,86.2160631423888,0,NA,NA,NA
"78","Northeast",2011,NA,86.2160631423888,1,NA,NA,NA
"79","Northeast",2012,NA,86.2160631423888,1,NA,NA,NA
"80","Northeast",2013,NA,86.2160631423888,1,NA,NA,NA
