iucn_sid,sciname,population,category,common_name
222,Acipenser brevirostrum,NA,VU,Shortnose Sturgeon
245,Acipenser oxyrinchus,NA,NT,Gulf Sturgeon
13458323,Synagrops bellus,NA,LC,Blackmouth Bass
42830204,Synagrops japonicus,NA,LC,Blackmouth splitfin
185924,Paroncheilus affinis,NA,LC,Bigtooth Cardinalfish
16407630,Ariomma bondi,NA,LC,Silver-rag Driftfish
190252,Ariomma melanum,NA,LC,Brown Driftfish
154767,Membras martinica,NA,LC,Rough Silverside
16441575,Menidia menidia,NA,LC,Atlantic Silverside
16441698,Synodus foetens,NA,LC,Inshore Lizardfish
13486199,Trachinocephalus myops,NA,LC,Snakefish
13485675,Benthalbella infans,NA,LC,Zugmayer's Pearleye
190316,Scopelarchus analis,NA,LC,Blackbelly Pearleye
194997,Arctozenus risso,NA,LC,Spotted Barracudina
13485398,Lestidiops affinis,NA,LC,Barracudina
189818,Lestidiops jayakari,NA,LC,Pacific Barracudina
190099,Lestidium atlanticum,NA,LC,Atlantic Barracudina
13485622,Lestrolepis intermedia,NA,LC,Barracudina antifaz
13485631,Macroparalepis affinis,NA,LC,NA
68064267,Macroparalepis brevis,NA,LC,NA
13485635,Magnisudis atlantica,NA,LC,Duckbill Barracudina
20885933,Paralepis elongata,NA,LC,Barracudina
190146,Stemonosudis intermedia,NA,LC,NA
47165538,Sudis atrox,NA,LC,Fierce Pike Smelt
190101,Sudis hyalina,NA,DD,Barracudina
13485312,Omosudis lowii,NA,LC,Hammerjaw
13485141,Ahliesaurus berryi,NA,LC,NA
13485167,Scopelosaurus argenteus,NA,LC,Waryfish
190389,Scopelosaurus lepidus,NA,LC,Blackfin Waryfish
67966271,Scopelosaurus smithii,NA,LC,NA
13462751,Bathypterois dubius,NA,LC,Mediterranean Spiderfish
194992,Bathypterois grallator,NA,LC,Tripod Spiderfish
190243,Bathypterois longipes,NA,LC,Abyssal Spiderfish
13462757,Bathypterois phenax,NA,LC,Blackfin Spiderfish
47164926,Coccorella atlantica,NA,LC,Atlantic sabretooth
194995,Evermannella balbo,NA,LC,Balbo Sabretooth
13462731,Odontostomops normalops,NA,LC,Undistinguished sabretooth
194993,Chlorophthalmus agassizi,NA,LC,Agassiz's Thread-sail Fish
20661580,Parasudis truculenta,NA,LC,Longnose Greeneye
13462491,Bathysaurus ferox,NA,LC,Deep-sea Lizardfish
195001,Bathysaurus mollis,NA,LC,Highfin Lizardfish
18123632,Anotopterus pharao,NA,LC,Daggertooth
60469186,Alepisaurus brevirostris,NA,LC,Short snouted lancetfish
154820,Alepisaurus ferox,NA,LC,Long Snouted Lancetfish
16441738,Opsanus tau,NA,LC,Oyster Toadfish
190211,Scomberesox saurus,NA,LC,Atlantic Saury
15521852,Euleptorhamphus velox,NA,LC,Flying Halfbeak
15521875,Hemiramphus balao,NA,LC,Balao
15521927,Hemiramphus brasiliensis,NA,LC,Ballyhoo
191197,Hyporhamphus meeki,NA,LC,Meek's Halfbeak
15521934,Oxyporhamphus similis,NA,LC,False Halfbeak
190123,Cheilopogon cyanopterus,NA,LC,Margined Flyingfish
198575,Cheilopogon exsiliens,NA,LC,Bandwing Flyingfish
190391,Cheilopogon furcatus,NA,LC,Spotfin Flyingfish
190276,Cheilopogon melanurus,NA,LC,Atlantic Flyingfish
13487700,Cheilopogon nigricans,NA,LC,Blacksail Flyingfish
190163,Exocoetus obtusirostris,NA,LC,Oceanic Two-wing Flyingfish
198566,Exocoetus volitans,NA,LC,Tropical Two-wing Flyingfish
190292,Hirundichthys speculiger,NA,LC,Mirrorwing Flyingfish
68308810,Hirundichthys volador,NA,LC,Atlantic Blackwing Flyingfish
20885921,Prognichthys glaphyrae,NA,LC,Gyre Flyingfish
13486514,Ablennes hians,NA,LC,Flat Needlefish
155259,Strongylura marina,NA,LC,Atlantic Needlefish
16449531,Gephyroberyx darwinii,NA,LC,Big Roughy
198579,Hoplostethus mediterraneus,NA,LC,Silver Roughy
190137,Diretmichthys parini,NA,LC,Parin's Spinyfish
18124015,Diretmus argenteus,NA,LC,Silver Spinyfin
198578,Beryx decadactylus,NA,LC,Alfonsino
16425354,Beryx splendens,NA,LC,Splendid Alfonsino
18123960,Anoplogaster cornuta,NA,LC,Common Fangtooth
16443217,Ostichthys trachypoma,NA,LC,Big-eye Soldierfish
195091,Brama brama,NA,LC,Atlantic Pomfret
190330,Pterycombus brama,NA,LC,Atlantic Fanfish
190394,Taractichthys longipinnis,NA,LC,Big-scale Pomfret
165611,Chaetodon ocellatus,NA,LC,Spotfin Butterflyfish
165695,Chaetodon capistratus,NA,LC,Foureye Butterflyfish
16506725,Foetorepus agassizii,NA,LC,Spotfin Dragonet
190066,Foetorepus goodenbeani,NA,LC,Palefin Dragonet
16407132,Antigonia capros,NA,LC,Deepbody Boarfish
154928,Antigonia combatia,NA,LC,Shortspine Boarfish
155014,Alectis ciliaris,NA,LC,African Pompano
16431725,Caranx bartholomaei,NA,LC,Yellow Jack
154807,Caranx crysos,NA,LC,Blue Runner
190458,Caranx hippos,NA,LC,Crevalle Jack
191829,Caranx latus,NA,LC,Horse-eye Jack
16431737,Caranx ruber,NA,LC,Bar Jack
16437187,Chloroscombrus chrysurus,NA,LC,Atlantic Bumper
190117,Decapterus macarellus,NA,LC,Mackerel Scad
16439848,Decapterus punctatus,NA,LC,Round Scad
16440027,Elagatis bipinnulata,NA,LC,Rainbow Runner
190452,Naucrates ductor,NA,LC,Pilotfish
190388,Selar crumenophthalmus,NA,LC,Bigeye Scad
16506931,Selene setapinnis,NA,LC,Atlantic Moonfish
16507307,Selene vomer,NA,LC,Atlantic Lookdown
198643,Seriola dumerili,NA,LC,Greater Amberjack
190139,Seriola fasciata,NA,LC,Lesser Amberjack
16507347,Seriola rivoliana,NA,LC,Longfin Yellowtail
16507442,Seriola zonata,NA,LC,Banded Rudderfish
