"","shp_iucn_sid","iucn_sid","sciname","presence","subpop","dbf_file","max_depth","comp_assessed"
"1",222,222,"Acipenser brevirostrum",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/acipenseriformes.dbf","200 m +",TRUE
"2",245,245,"Acipenser oxyrinchus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/acipenseriformes.dbf","200 m +",TRUE
"3",13458323,13458323,"Synagrops bellus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/acropomatidae.dbf","200 m +",FALSE
"4",42830204,42830204,"Synagrops japonicus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/acropomatidae.dbf","< 200 m",FALSE
"5",185924,185924,"Paroncheilus affinis",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/apogonidae.dbf","200 m +",FALSE
"6",16407630,16407630,"Ariomma bondi",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/ariommatidae.dbf","200 m +",FALSE
"7",190252,190252,"Ariomma melanum",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/ariommatidae.dbf","200 m +",FALSE
"8",154767,154767,"Membras martinica",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/atheriniformes.dbf","< 200 m",FALSE
"9",16441575,16441575,"Menidia menidia",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/atheriniformes.dbf","200 m +",FALSE
"10",16441698,16441698,"Synodus foetens",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/aulopiformes.dbf","< 200 m",FALSE
"11",13486199,13486199,"Trachinocephalus myops",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/aulopiformes.dbf","< 200 m",FALSE
"12",13485675,13485675,"Benthalbella infans",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/aulopiformes.dbf","200 m +",FALSE
"13",190316,190316,"Scopelarchus analis",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/aulopiformes.dbf","200 m +",FALSE
"14",194997,194997,"Arctozenus risso",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/aulopiformes.dbf","200 m +",FALSE
"15",13485398,13485398,"Lestidiops affinis",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/aulopiformes.dbf","200 m +",FALSE
"16",189818,189818,"Lestidiops jayakari",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/aulopiformes.dbf","200 m +",FALSE
"17",190099,190099,"Lestidium atlanticum",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/aulopiformes.dbf","200 m +",FALSE
"18",13485622,13485622,"Lestrolepis intermedia",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/aulopiformes.dbf","200 m +",FALSE
"19",13485631,13485631,"Macroparalepis affinis",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/aulopiformes.dbf","200 m +",FALSE
"20",68064267,68064267,"Macroparalepis brevis",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/aulopiformes.dbf","200 m +",FALSE
"21",13485635,13485635,"Magnisudis atlantica",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/aulopiformes.dbf","200 m +",FALSE
"22",20885933,20885933,"Paralepis elongata",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/aulopiformes.dbf","200 m +",FALSE
"23",190146,190146,"Stemonosudis intermedia",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/aulopiformes.dbf","deep oceanic",FALSE
"24",47165538,47165538,"Sudis atrox",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/aulopiformes.dbf","200 m +",FALSE
"25",190101,190101,"Sudis hyalina",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/aulopiformes.dbf","200 m +",FALSE
"26",13485312,13485312,"Omosudis lowii",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/aulopiformes.dbf","200 m +",FALSE
"27",13485141,13485141,"Ahliesaurus berryi",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/aulopiformes.dbf","200 m +",FALSE
"28",13485167,13485167,"Scopelosaurus argenteus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/aulopiformes.dbf","< 200 m",FALSE
"29",190389,190389,"Scopelosaurus lepidus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/aulopiformes.dbf","200 m +",FALSE
