"","state","status","species"
"1","RI","NNR","Glyptocephalus cynoglossus"
"2","IUCN",NA,"Glyptocephalus cynoglossus"
"3","USA","NNR","Glyptocephalus cynoglossus"
"4","CT","N5","Pseudopleuronectes americanus"
"5","NY","S3?","Pseudopleuronectes americanus"
"6","RI","N5","Pseudopleuronectes americanus"
"7","IUCN",NA,"Pseudopleuronectes americanus"
"8","USA","N5","Pseudopleuronectes americanus"
"9","CT","N5","Scophthalmus aquosus"
"10","NY","N5","Scophthalmus aquosus"
"11","RI","N5","Scophthalmus aquosus"
"12","IUCN",NA,"Scophthalmus aquosus"
"13","USA","N5","Scophthalmus aquosus"
"14","CT","N5B,N5N","Melanitta fusca"
"15","ME","S4S5N","Melanitta fusca"
"16","MA","S5N","Melanitta fusca"
"17","NH","N5B,N5N","Melanitta fusca"
"18","NY","N5B,N5N","Melanitta fusca"
"19","RI","N5B,N5N","Melanitta fusca"
"20","IUCN",NA,"Melanitta fusca"
"21","USA","N5B,N5N","Melanitta fusca"
"22","RI","NNR","Urophycis tenuis"
"23","IUCN",NA,"Urophycis tenuis"
"24","USA","NNR","Urophycis tenuis"
"25","CT","SNRB","Cynoscion regalis"
"26","NY","NNR","Cynoscion regalis"
"27","RI","NNR","Cynoscion regalis"
"28","IUCN",NA,"Cynoscion regalis"
"29","USA","NNR","Cynoscion regalis"
"30","NY","NNR","Paralichthys dentatus"
"31","RI","NNR","Paralichthys dentatus"
"32","IUCN","LC - Least concern","Paralichthys dentatus"
"33","USA","NNR","Paralichthys dentatus"
"34","CT","N5","Prionotus evolans"
"35","NY","N5","Prionotus evolans"
"36","RI","N5","Prionotus evolans"
"37","IUCN",NA,"Prionotus evolans"
"38","USA","N5","Prionotus evolans"
"39","IUCN","DD - Data deficient","Dasyatis americana"
"40","USA","N5","Dasyatis americana"
"41","IUCN","LC - Least concern","Stercorarius maccormicki"
"42","USA","NNA","Stercorarius maccormicki"
"43","CT","NNR","Hemitripterus americanus"
"44","RI","NNR","Hemitripterus americanus"
"45","IUCN",NA,"Hemitripterus americanus"
"46","USA","NNR","Hemitripterus americanus"
"47","CT","NNR","Dasyatis centroura"
"48","IUCN","LC - Least concern","Dasyatis centroura"
"49","USA","NNR","Dasyatis centroura"
"50","ME","S3N","Phalaropus fulicarius"
"51","MA","S4N","Phalaropus fulicarius"
"52","NH","N5B","Phalaropus fulicarius"
"53","NY","N5B","Phalaropus fulicarius"
"54","RI","N5B","Phalaropus fulicarius"
"55","IUCN","LC - Least concern","Phalaropus fulicarius"
"56","USA","N5B","Phalaropus fulicarius"
"57","ME","S3S4N","Phalaropus lobatus"
"58","MA","S4N","Phalaropus lobatus"
"59","NH","N4N5B","Phalaropus lobatus"
"60","NY","N4N5B","Phalaropus lobatus"
"61","RI","N4N5B","Phalaropus lobatus"
"62","IUCN","LC - Least concern","Phalaropus lobatus"
"63","USA","N4N5B","Phalaropus lobatus"
"64","CT","NNR","Urophycis chuss"
"65","NY","NNR","Urophycis chuss"
"66","RI","NNR","Urophycis chuss"
"67","IUCN",NA,"Urophycis chuss"
"68","USA","NNR","Urophycis chuss"
"69","RI","NNR","Pollachius virens"
"70","IUCN",NA,"Pollachius virens"
"71","USA","NNR","Pollachius virens"
"72","CT","N5B","Stercorarius parasiticus"
"73","ME","S2S3N","Stercorarius parasiticus"
"74","MA","S3N","Stercorarius parasiticus"
"75","NH","N5B","Stercorarius parasiticus"
"76","NY","N5B","Stercorarius parasiticus"
"77","RI","N5B","Stercorarius parasiticus"
"78","IUCN","LC - Least concern","Stercorarius parasiticus"
"79","USA","N5B","Stercorarius parasiticus"
"80","CT","NNR","Zoarces americanus"
"81","RI","NNR","Zoarces americanus"
"82","IUCN",NA,"Zoarces americanus"
"83","USA","NNR","Zoarces americanus"
"84","CT","N5","Prionotus carolinus"
"85","NY","N5","Prionotus carolinus"
"86","RI","N5","Prionotus carolinus"
"87","IUCN",NA,"Prionotus carolinus"
"88","USA","N5","Prionotus carolinus"
"89","RI","NNR","Ammodytes dubius"
"90","IUCN",NA,"Ammodytes dubius"
"91","USA","NNR","Ammodytes dubius"
"92","CT","NNR","Syngnathus fuscus"
"93","MA","S5","Syngnathus fuscus"
"94","NY","S3","Syngnathus fuscus"
"95","RI","NNR","Syngnathus fuscus"
"96","IUCN",NA,"Syngnathus fuscus"
"97","USA","NNR","Syngnathus fuscus"
"98","CT","N5","Myoxocephalus octodecemspinosus"
"99","NY","N5","Myoxocephalus octodecemspinosus"
"100","RI","N5","Myoxocephalus octodecemspinosus"
"101","IUCN",NA,"Myoxocephalus octodecemspinosus"
"102","USA","N5","Myoxocephalus octodecemspinosus"
"103","ME","S2S3B","Oceanodroma leucorhoa"
"104","MA","S1B,S4N","Oceanodroma leucorhoa"
"105","NY","N5B","Oceanodroma leucorhoa"
"106","IUCN","LC - Least concern","Oceanodroma leucorhoa"
"107","USA","N5B","Oceanodroma leucorhoa"
"108","CT","N5B,N5N","Leucophaeus atricilla"
"109","ME","S2S3B","Leucophaeus atricilla"
"110","MA","S2B","Leucophaeus atricilla"
"111","NH","N5B,N5N","Leucophaeus atricilla"
"112","NY","S1","Leucophaeus atricilla"
"113","RI","N5B,N5N","Leucophaeus atricilla"
"114","IUCN","LC - Least concern","Leucophaeus atricilla"
"115","USA","N5B,N5N","Leucophaeus atricilla"
"116","CT","NNR","Cancer borealis"
"117","RI","NNR","Cancer borealis"
"118","IUCN",NA,"Cancer borealis"
"119","USA","NNR","Cancer borealis"
"120","CT","S2S3","Limulus polyphemus"
"121","RI","N5","Limulus polyphemus"
"122","IUCN","NT - Near threatened","Limulus polyphemus"
"123","USA","N5","Limulus polyphemus"
"124","CT","N5B,N5N","Podiceps auritus"
"125","ME","S4S5N","Podiceps auritus"
"126","MA","S5N","Podiceps auritus"
"127","NH","N5B,N5N","Podiceps auritus"
"128","NY","N5B,N5N","Podiceps auritus"
"129","RI","N5B,N5N","Podiceps auritus"
"130","IUCN","LC - Least concern","Podiceps auritus"
"131","USA","N5B,N5N","Podiceps auritus"
"132","RI","NNR","Melanogrammus aeglefinus"
"133","IUCN","VU - Vulnerable","Melanogrammus aeglefinus"
"134","USA","NNR","Melanogrammus aeglefinus"
"135","NY","NNR","Citharichthys arctifrons"
"136","RI","NNR","Citharichthys arctifrons"
"137","IUCN",NA,"Citharichthys arctifrons"
"138","USA","NNR","Citharichthys arctifrons"
"139","ME","NNA","Stercorarius skua"
"140","MA","S1N","Stercorarius skua"
"141","NY","NNA","Stercorarius skua"
"142","RI","NNA","Stercorarius skua"
"143","IUCN","LC - Least concern","Stercorarius skua"
"144","USA","NNA","Stercorarius skua"
"145","NY","N5","Lophius americanus"
"146","RI","N5","Lophius americanus"
"147","IUCN",NA,"Lophius americanus"
"148","USA","N5","Lophius americanus"
"149","ME","NNR","Brosme brosme"
"150","IUCN",NA,"Brosme brosme"
"151","USA","NNR","Brosme brosme"
"152","CT","NNR","Peprilus triacanthus"
"153","NY","NNR","Peprilus triacanthus"
"154","RI","NNR","Peprilus triacanthus"
"155","IUCN",NA,"Peprilus triacanthus"
"156","USA","NNR","Peprilus triacanthus"
"157","IUCN","LC - Least concern","Pelecanus occidentalis"
"158","USA","N4B,N4N","Pelecanus occidentalis"
"159","CT","N5B,N5N","Chroicocephalus philadelphia"
"160","ME","S4N","Chroicocephalus philadelphia"
"161","MA","S4N","Chroicocephalus philadelphia"
