"","rgn_id","area_km2","species"
"1",1,38,"Acadian_redfish"
"2",2,1702,"Acadian_redfish"
"3",3,53970,"Acadian_redfish"
"4",6,435,"Acadian_redfish"
"5",7,141,"Acadian_redfish"
"6",1,314,"Alewife"
"7",2,14322,"Alewife"
"8",3,58118,"Alewife"
"9",4,36735,"Alewife"
"10",6,796,"Alewife"
"11",7,2226,"Alewife"
"12",8,269,"Alewife"
"13",9,8,"Alewife"
"14",10,395,"Alewife"
"15",11,333,"Alewife"
"16",1,884,"American_lobster"
"17",2,40965,"American_lobster"
"18",3,58283,"American_lobster"
"19",4,30600,"American_lobster"
"20",6,796,"American_lobster"
"21",7,2226,"American_lobster"
"22",8,254,"American_lobster"
"23",9,8,"American_lobster"
"24",10,8,"American_lobster"
"25",11,333,"American_lobster"
"26",2,16685,"American_plaice"
"27",3,58138,"American_plaice"
"28",6,796,"American_plaice"
"29",7,1513,"American_plaice"
"30",9,8,"American_plaice"
"31",1,777,"American_shad"
"32",2,23096,"American_shad"
"33",3,58172,"American_shad"
"34",4,32918,"American_shad"
"35",6,796,"American_shad"
"36",7,2226,"American_shad"
"37",8,239,"American_shad"
"38",9,8,"American_shad"
"39",10,349,"American_shad"
"40",11,333,"American_shad"
"41",1,8737,"arctic_tern_normalized"
"42",2,14311,"arctic_tern_normalized"
"43",3,17792,"arctic_tern_normalized"
"44",4,24960,"arctic_tern_normalized"
"45",7,1432,"arctic_tern_normalized"
"46",8,2625,"arctic_tern_normalized"
"47",11,455,"arctic_tern_normalized"
"48",3,12154,"Atlantic spotted dolphin"
"49",4,8552,"Atlantic spotted dolphin"
"50",7,1957,"Atlantic spotted dolphin"
"51",8,457,"Atlantic spotted dolphin"
"52",10,1357,"Atlantic spotted dolphin"
"53",11,842,"Atlantic spotted dolphin"
"54",3,22114,"Atlantic white sided dolphin"
"55",6,2473,"Atlantic white sided dolphin"
"56",7,1168,"Atlantic white sided dolphin"
"57",8,11,"Atlantic white sided dolphin"
"58",11,121,"Atlantic white sided dolphin"
"59",2,33813,"Atlantic_cod"
"60",3,53603,"Atlantic_cod"
"61",4,9326,"Atlantic_cod"
"62",6,796,"Atlantic_cod"
"63",7,1960,"Atlantic_cod"
"64",9,8,"Atlantic_cod"
"65",11,102,"Atlantic_cod"
"66",4,1896,"Atlantic_croaker"
"67",2,5126,"Atlantic_halibut"
"68",3,36145,"Atlantic_halibut"
"69",6,796,"Atlantic_halibut"
"70",7,1077,"Atlantic_halibut"
"71",9,8,"Atlantic_halibut"
"72",1,38,"Atlantic_herring"
"73",2,39456,"Atlantic_herring"
"74",3,58283,"Atlantic_herring"
"75",4,34200,"Atlantic_herring"
"76",6,796,"Atlantic_herring"
"77",7,2224,"Atlantic_herring"
"78",8,269,"Atlantic_herring"
"79",9,8,"Atlantic_herring"
"80",10,118,"Atlantic_herring"
"81",11,333,"Atlantic_herring"
"82",1,440,"Atlantic_mackerel"
"83",2,39309,"Atlantic_mackerel"
"84",3,56845,"Atlantic_mackerel"
"85",4,35650,"Atlantic_mackerel"
"86",6,796,"Atlantic_mackerel"
"87",7,2226,"Atlantic_mackerel"
"88",8,144,"Atlantic_mackerel"
"89",9,8,"Atlantic_mackerel"
"90",10,187,"Atlantic_mackerel"
"91",11,292,"Atlantic_mackerel"
"92",3,820,"Atlantic_menhaden"
"93",4,7143,"Atlantic_menhaden"
"94",6,35,"Atlantic_menhaden"
"95",7,364,"Atlantic_menhaden"
"96",9,7,"Atlantic_menhaden"
"97",10,285,"Atlantic_menhaden"
"98",11,23,"Atlantic_menhaden"
"99",1,6108,"atlantic_puffin_normalized"
"100",2,14311,"atlantic_puffin_normalized"
"101",3,17777,"atlantic_puffin_normalized"
"102",4,18613,"atlantic_puffin_normalized"
"103",7,1228,"atlantic_puffin_normalized"
"104",8,2616,"atlantic_puffin_normalized"
"105",11,382,"atlantic_puffin_normalized"
"106",4,2251,"Atlantic_sturgeon"
"107",10,204,"Atlantic_sturgeon"
"108",1,824,"Atlantic_torpedo"
"109",2,15223,"Atlantic_torpedo"
"110",3,15870,"Atlantic_torpedo"
"111",4,17121,"Atlantic_torpedo"
"112",6,38,"Atlantic_torpedo"
"113",7,1435,"Atlantic_torpedo"
"114",8,120,"Atlantic_torpedo"
"115",9,7,"Atlantic_torpedo"
"116",11,275,"Atlantic_torpedo"
"117",2,5793,"Atlantic_wolffish"
"118",3,30886,"Atlantic_wolffish"
"119",6,168,"Atlantic_wolffish"
"120",7,896,"Atlantic_wolffish"
"121",9,8,"Atlantic_wolffish"
"122",1,8696,"audubons_shearwater_normalized"
"123",2,8869,"audubons_shearwater_normalized"
"124",3,822,"audubons_shearwater_normalized"
"125",4,25522,"audubons_shearwater_normalized"
"126",8,377,"audubons_shearwater_normalized"
"127",1,8656,"band_rumped_storm_petrel_normalized"
"128",2,13474,"band_rumped_storm_petrel_normalized"
"129",3,3018,"band_rumped_storm_petrel_normalized"
"130",4,21550,"band_rumped_storm_petrel_normalized"
"131",8,1900,"band_rumped_storm_petrel_normalized"
"132",1,891,"Barndoor_skate"
"133",2,43986,"Barndoor_skate"
"134",3,49404,"Barndoor_skate"
"135",4,31171,"Barndoor_skate"
"136",6,331,"Barndoor_skate"
"137",7,279,"Barndoor_skate"
"138",4,10852,"Bay_anchovy"
"139",7,88,"Bay_anchovy"
"140",8,64,"Bay_anchovy"
"141",10,395,"Bay_anchovy"
"142",11,333,"Bay_anchovy"
"143",1,2956,"black_capped_petrel_normalized"
"144",2,3918,"black_capped_petrel_normalized"
"145",4,12684,"black_capped_petrel_normalized"
"146",1,78,"black_guillemot_normalized"
"147",2,8867,"black_guillemot_normalized"
"148",3,17792,"black_guillemot_normalized"
"149",4,22585,"black_guillemot_normalized"
"150",7,1432,"black_guillemot_normalized"
"151",8,2625,"black_guillemot_normalized"
"152",10,123,"black_guillemot_normalized"
"153",11,806,"black_guillemot_normalized"
"154",1,7159,"black_legged_kittiwake_normalized"
"155",2,14311,"black_legged_kittiwake_normalized"
"156",3,17792,"black_legged_kittiwake_normalized"
"157",4,27246,"black_legged_kittiwake_normalized"
"158",7,1432,"black_legged_kittiwake_normalized"
"159",8,2625,"black_legged_kittiwake_normalized"
"160",11,680,"black_legged_kittiwake_normalized"
"161",1,3554,"black_scoter_normalized"
"162",2,4899,"black_scoter_normalized"
"163",3,16863,"black_scoter_normalized"
"164",4,26452,"black_scoter_normalized"
"165",7,1432,"black_scoter_normalized"
"166",8,2480,"black_scoter_normalized"
"167",10,123,"black_scoter_normalized"
"168",11,806,"black_scoter_normalized"
"169",1,572,"Black_sea_bass"
"170",2,8047,"Black_sea_bass"
"171",3,2290,"Black_sea_bass"
"172",4,39078,"Black_sea_bass"
"173",6,32,"Black_sea_bass"
"174",7,2226,"Black_sea_bass"
"175",8,269,"Black_sea_bass"
"176",9,8,"Black_sea_bass"
"177",10,395,"Black_sea_bass"
"178",11,333,"Black_sea_bass"
"179",1,891,"Blackbelly_rosefish"
"180",2,5995,"Blackbelly_rosefish"
"181",3,18535,"Blackbelly_rosefish"
"182",4,4071,"Blackbelly_rosefish"
"183",1,1569,"Blainvilles beaked whale"
"184",2,3924,"Blainvilles beaked whale"
"185",3,8416,"Blainvilles beaked whale"
"186",4,12066,"Blainvilles beaked whale"
"187",7,988,"Blainvilles beaked whale"
"188",8,2350,"Blainvilles beaked whale"
"189",1,4,"Blueback_herring"
"190",2,8792,"Blueback_herring"
"191",3,56425,"Blueback_herring"
"192",4,32119,"Blueback_herring"
"193",6,796,"Blueback_herring"
"194",7,2226,"Blueback_herring"
"195",8,250,"Blueback_herring"
"196",9,8,"Blueback_herring"
"197",10,292,"Blueback_herring"
"198",11,333,"Blueback_herring"
"199",1,4,"Bluefish"
"200",2,28601,"Bluefish"
"201",3,450,"Bluefish"
"202",4,30201,"Bluefish"
"203",7,203,"Bluefish"
"204",8,269,"Bluefish"
"205",10,395,"Bluefish"
"206",11,333,"Bluefish"
"207",1,8737,"bonapartes_gull_normalized"
"208",2,12351,"bonapartes_gull_normalized"
"209",3,3610,"bonapartes_gull_normalized"
"210",4,32748,"bonapartes_gull_normalized"
"211",7,262,"bonapartes_gull_normalized"
"212",8,1520,"bonapartes_gull_normalized"
"213",10,123,"bonapartes_gull_normalized"
"214",11,806,"bonapartes_gull_normalized"
"215",3,10390,"Bottlenose dolphin"
"216",4,13598,"Bottlenose dolphin"
"217",6,57,"Bottlenose dolphin"
"218",7,2565,"Bottlenose dolphin"
"219",8,713,"Bottlenose dolphin"
"220",9,77,"Bottlenose dolphin"
"221",10,1894,"Bottlenose dolphin"
"222",11,1065,"Bottlenose dolphin"
"223",1,8737,"bridled_tern_normalized"
"224",2,13370,"bridled_tern_normalized"
"225",3,3149,"bridled_tern_normalized"
"226",4,29631,"bridled_tern_normalized"
"227",8,846,"bridled_tern_normalized"
"228",1,8708,"brown_pelican_normalized"
"229",2,6075,"brown_pelican_normalized"
"230",3,3417,"brown_pelican_normalized"
"231",4,29181,"brown_pelican_normalized"
"232",7,67,"brown_pelican_normalized"
"233",8,993,"brown_pelican_normalized"
"234",10,123,"brown_pelican_normalized"
"235",11,637,"brown_pelican_normalized"
"236",4,6,"Bullnose_ray"
"237",1,891,"Butterfish"
