"","species","rgn_id"
"1","Acadian_redfish",12
"2","Alewife",12
"3","American_lobster",12
"4","American_plaice",12
"5","American_shad",12
"6","arctic_tern_normalized_AEA",12
"7","Atlantic spotted dolphin",12
"8","Atlantic white sided dolphin",12
"9","Atlantic_cod",12
"10","Atlantic_croaker",12
"11","Atlantic_halibut",12
"12","Atlantic_herring",12
"13","Atlantic_mackerel",12
"14","Atlantic_menhaden",12
"15","atlantic_puffin_normalized_AEA",12
"16","Atlantic_sturgeon",12
"17","Atlantic_torpedo",12
"18","Atlantic_wolffish",12
"19","audubons_shearwater_normalized_AEA",12
"20","band_rumped_storm_petrel_normalized_AEA",12
"21","Barndoor_skate",12
"22","Bay_anchovy",12
"23","black_capped_petrel_normalized_AEA",12
"24","black_guillemot_normalized_AEA",12
"25","black_legged_kittiwake_normalized_AEA",12
"26","black_scoter_normalized_AEA",12
"27","Black_sea_bass",12
"28","Blackbelly_rosefish",12
"29","Blainvilles beaked whale",12
"30","Blueback_herring",12
"31","Bluefish",12
"32","bonapartes_gull_normalized_AEA",12
"33","Bottlenose dolphin",12
"34","bridled_tern_normalized_AEA",12
"35","brown_pelican_normalized_AEA",12
"36","Bullnose_ray",12
"37","Butterfish",12
"38","Clearnose_skate",12
"39","common_eider_normalized_AEA",12
"40","common_loon_normalized_AEA",12
"41","common_murre_normalized_AEA",12
"42","common_tern_normalized_AEA",12
"43","corys_shearwater_normalized_AEA",12
"44","Cunner",12
"45","Cusk",12
"46","Cuviers beaked whale",12
"47","double_crested_cormorant_normalized_AEA",12
"48","dovekie_normalized_AEA",12
"49","Fin whale",12
"50","Fourspot_flounder",12
"51","Gervais beaked whale",12
"52","Goosefish",12
"53","great_black_backed_gull_normalized_AEA",12
"54","great_shearwater_normalized_AEA",12
"55","great_skua_normalized_AEA",12
"56","Gulf_stream_flounder",12
"57","Haddock",12
"58","Harbor porpoise",12
"59","herring_gull_normalized_AEA",12
"60","horned_grebe_normalized_AEA",12
"61","Horseshoe_crab",12
"62","Humpback whale",12
"63","Jonah_crab",12
"64","laughing_gull_normalized_AEA",12
"65","leachs_storm_petrel_normalized_AEA",12
"66","least_tern_normalized_AEA",12
"67","Little_skate",12
"68","Long finned pilot whale",12
"69","long_tailed_duck_normalized_AEA",12
"70","Longfin_squid",12
"71","Longhorn_sculpin",12
"72","manx_shearwater_normalized_AEA",12
"73","Minke whale",12
"74","North Atlantic right whale",12
"75","northern_fulmar_normalized_AEA",12
"76","northern_gannet_normalized_AEA",12
"77","Northern_kingfish",12
"78","Northern_pipefish",12
"79","Northern_puffer",12
"80","Northern_sand_lance",12
"81","Northern_searobin",12
"82","Northern_shortfin_squid",12
"83","Northern_shrimp",12
"84","Ocean_pout",12
"85","parasitic_jaeger_normalized_AEA",12
"86","Pinfish",12
"87","Pollock",12
"88","pomarine_jaeger_normalized_AEA",12
"89","razorbill_normalized_AEA",12
"90","red_breasted_merganser_normalized_AEA",12
"91","Red_hake",12
"92","red_necked_phalarope_normalized_AEA",12
"93","red_phalarope_normalized_AEA",12
"94","red_throated_loon_normalized_AEA",12
"95","ring_billed_gull_normalized_AEA",12
"96","Rissos dolphin",12
"97","roseate_tern_normalized_AEA",12
"98","Rosette_skate",12
"99","Roughtail_stingray",12
"100","Round_herring",12
"101","royal_tern_normalized_AEA",12
"102","Scup",12
"103","Sea_raven",12
"104","Sea_scallop",12
"105","Sei whale",12
"106","Short beaked common dolphin",12
"107","Short finned pilot whale",12
"108","Silver_hake",12
"109","Smooth_dogfish",12
"110","Smooth_skate",12
"111","sooty_shearwater_normalized_AEA",12
"112","sooty_tern_normalized_AEA",12
"113","south_polar_skua_normalized_AEA",12
"114","Sowerbys beaked whale",12
"115","Sperm whale",12
"116","Spiny_dogfish",12
"117","Spot",12
"118","Spotted_hake",12
"119","Striped dolphin",12
"120","Striped_anchovy",12
"121","Striped_bass",12
"122","Striped_searobin",12
"123","Summer_flounder",12
"124","surf_scoter_normalized_AEA",12
"125","Tautog",12
"126","thick_billed_murre_normalized_AEA",12
