"","rgn_id","area_km2","SID"
"1",1,105282,10707
"2",2,49807,10707
"3",3,59713,10707
"4",4,42247,10707
"5",5,1409,10707
"6",6,6440,10707
"7",7,3324,10707
"8",8,2580,10707
"9",9,177,10707
"10",10,4275,10707
"11",11,1071,10707
"12",1,105282,11047
"13",2,49807,11047
"14",3,59713,11047
"15",4,42247,11047
"16",5,1409,11047
"17",6,6440,11047
"18",7,3324,11047
"19",8,2580,11047
"20",9,177,11047
"21",10,4275,11047
"22",11,1071,11047
"23",1,105282,11048
"24",2,49807,11048
"25",3,59713,11048
"26",4,42247,11048
"27",5,1409,11048
"28",6,6440,11048
"29",7,3324,11048
"30",8,2580,11048
"31",9,177,11048
"32",10,4275,11048
"33",11,1071,11048
"34",3,45777,11142
"35",6,6440,11142
"36",7,1211,11142
"37",9,177,11142
"38",1,22401,11200
"39",2,49807,11200
"40",3,59713,11200
"41",4,41250,11200
"42",5,1409,11200
"43",6,6440,11200
"44",7,3324,11200
"45",8,2580,11200
"46",9,177,11200
"47",10,4275,11200
"48",11,1071,11200
"49",1,24238,11534
"50",2,32267,11534
"51",3,59713,11534
"52",4,42247,11534
"53",5,1409,11534
"54",6,6440,11534
"55",7,3324,11534
"56",8,2580,11534
"57",9,177,11534
"58",10,4277,11534
"59",11,1071,11534
"60",4,4,12302
"61",5,15,12302
"62",6,402,12302
"63",7,54,12302
"64",8,18,12302
"65",10,9,12302
"66",11,14,12302
"67",1,249,12417
"68",2,47516,12417
"69",3,51092,12417
"70",4,38235,12417
"71",5,1409,12417
"72",6,6438,12417
"73",7,3324,12417
"74",8,2580,12417
"75",9,177,12417
"76",10,4273,12417
"77",11,1071,12417
"78",1,199,133446
"79",4,21690,133446
"80",5,1409,133446
"81",10,4275,133446
"82",11,488,133446
"83",1,52555,13458323
"84",2,49807,13458323
"85",3,59713,13458323
"86",4,42247,13458323
"87",5,1409,13458323
"88",6,6440,13458323
"89",7,3324,13458323
"90",8,2580,13458323
"91",9,177,13458323
"92",10,4275,13458323
"93",11,1071,13458323
"94",1,43538,13462491
"95",2,2450,13462491
"96",4,3721,13462491
"97",1,96944,13462731
"98",2,2789,13462731
"99",4,2647,13462731
"100",1,28898,13462751
"101",2,13106,13462751
"102",3,3960,13462751
"103",4,1253,13462751
"104",1,45826,13462757
"105",2,252,13462757
"106",1,105282,13485141
"107",2,49807,13485141
"108",3,59713,13485141
"109",4,42247,13485141
"110",5,1409,13485141
"111",6,6440,13485141
"112",7,3324,13485141
"113",8,2580,13485141
"114",9,177,13485141
"115",10,4275,13485141
"116",11,1071,13485141
"117",1,1452,13485167
"118",2,3398,13485167
"119",4,236,13485167
"120",1,105282,13485312
"121",2,49807,13485312
"122",3,59713,13485312
"123",4,42247,13485312
"124",5,1409,13485312
"125",6,6440,13485312
"126",7,3324,13485312
"127",8,2580,13485312
"128",9,177,13485312
"129",10,4275,13485312
"130",11,1071,13485312
"131",1,97885,13485398
"132",2,469,13485398
"133",1,105282,13485622
"134",2,49807,13485622
