"","rgn_id","species","iucn_sid"
"1",1,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_10707.tif",10707
"2",2,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_10707.tif",10707
"3",3,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_10707.tif",10707
"4",4,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_10707.tif",10707
"5",5,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_10707.tif",10707
"6",6,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_10707.tif",10707
"7",7,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_10707.tif",10707
"8",8,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_10707.tif",10707
"9",9,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_10707.tif",10707
"10",10,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_10707.tif",10707
"11",11,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_10707.tif",10707
"12",1,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_11047.tif",11047
"13",2,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_11047.tif",11047
"14",3,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_11047.tif",11047
"15",4,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_11047.tif",11047
"16",5,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_11047.tif",11047
"17",6,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_11047.tif",11047
"18",7,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_11047.tif",11047
"19",8,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_11047.tif",11047
"20",9,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_11047.tif",11047
"21",10,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_11047.tif",11047
"22",11,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_11047.tif",11047
"23",1,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_11048.tif",11048
"24",2,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_11048.tif",11048
"25",3,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_11048.tif",11048
"26",4,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_11048.tif",11048
"27",5,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_11048.tif",11048
"28",6,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_11048.tif",11048
"29",7,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_11048.tif",11048
"30",8,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_11048.tif",11048
"31",9,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_11048.tif",11048
"32",10,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_11048.tif",11048
"33",11,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_11048.tif",11048
"34",3,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_11142.tif",11142
"35",6,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_11142.tif",11142
"36",7,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_11142.tif",11142
"37",9,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_11142.tif",11142
"38",1,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_11200.tif",11200
"39",2,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_11200.tif",11200
"40",3,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_11200.tif",11200
"41",4,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_11200.tif",11200
"42",5,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_11200.tif",11200
"43",6,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_11200.tif",11200
"44",7,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_11200.tif",11200
"45",8,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_11200.tif",11200
"46",9,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_11200.tif",11200
"47",10,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_11200.tif",11200
"48",11,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_11200.tif",11200
"49",1,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_11534.tif",11534
"50",2,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_11534.tif",11534
"51",3,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_11534.tif",11534
"52",4,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_11534.tif",11534
