"","common","sciname","status_scale","status","score","rgn_id","rgn_name","iucn_sid"
"1","acadian redfish","Sebastes fasciatus",NA,NA,NA,3,"Gulf of Maine",NA
"2","acadian redfish","Sebastes fasciatus",NA,NA,NA,6,"Maine",NA
"3","acadian redfish","Sebastes fasciatus",NA,NA,NA,2,"Georges Bank",NA
"4","acadian redfish","Sebastes fasciatus",NA,NA,NA,7,"Massachusetts-Gulf of Maine",NA
"5","acadian redfish","Sebastes fasciatus",NA,NA,NA,1,"Offshore",NA
"6","alewife","Alosa pseudoharengus",NA,NA,0,3,"Gulf of Maine",NA
"7","alewife","Alosa pseudoharengus","ME","S5",0,6,"Maine",NA
"8","alewife","Alosa pseudoharengus","NH","S5",0,9,"New Hampshire",NA
"9","alewife","Alosa pseudoharengus",NA,NA,0,2,"Georges Bank",NA
"10","alewife","Alosa pseudoharengus","MA","S3S4",0.3,7,"Massachusetts-Gulf of Maine",NA
"11","alewife","Alosa pseudoharengus","RI","S3",0.4,11,"Rhode Island",NA
"12","alewife","Alosa pseudoharengus","MA","S3S4",0.3,8,"Massachusetts-Virginian",NA
"13","alewife","Alosa pseudoharengus",NA,NA,0,4,"Mid-Atlantic Bight",NA
"14","alewife","Alosa pseudoharengus","NY","S5",0,10,"New York",NA
"15","alewife","Alosa pseudoharengus",NA,NA,0,1,"Offshore",NA
"16","american lobster","Homarus americanus",NA,NA,0,3,"Gulf of Maine",NA
"17","american lobster","Homarus americanus",NA,NA,0,6,"Maine",NA
"18","american lobster","Homarus americanus",NA,NA,0,9,"New Hampshire",NA
"19","american lobster","Homarus americanus",NA,NA,0,2,"Georges Bank",NA
"20","american lobster","Homarus americanus",NA,NA,0,7,"Massachusetts-Gulf of Maine",NA
"21","american lobster","Homarus americanus",NA,NA,0,1,"Offshore",NA
"22","american lobster","Homarus americanus","RI","NNR",0,11,"Rhode Island",NA
"23","american lobster","Homarus americanus",NA,NA,0,8,"Massachusetts-Virginian",NA
"24","american lobster","Homarus americanus",NA,NA,0,4,"Mid-Atlantic Bight",NA
"25","american lobster","Homarus americanus",NA,NA,0,10,"New York",NA
