"","sciname","trend"
"1","Acipenser brevirostrum","Decreasing"
"2","Acipenser oxyrinchus","Increasing"
"3","Synagrops bellus","Unknown"
"4","Synagrops japonicus","Stable"
"5","Paroncheilus affinis","Unknown"
"6","Ariomma bondi","Unknown"
"7","Ariomma melanum","Unknown"
"8","Membras martinica","Unknown"
"9","Menidia menidia","Stable"
"10","Synodus foetens","Unknown"
"11","Trachinocephalus myops","Unknown"
"12","Benthalbella infans","Unknown"
"13","Scopelarchus analis","Unknown"
"14","Arctozenus risso","Unknown"
"15","Lestidiops affinis","Unknown"
"16","Lestidiops jayakari","Unknown"
"17","Lestidium atlanticum","Unknown"
"18","Lestrolepis intermedia","Unknown"
"19","Macroparalepis affinis","Unknown"
"20","Macroparalepis brevis","Unknown"
"21","Magnisudis atlantica","Unknown"
"22","Paralepis elongata","Unknown"
"23","Stemonosudis intermedia","Unknown"
"24","Sudis atrox","Unknown"
"25","Sudis hyalina","Unknown"
"26","Omosudis lowii","Unknown"
"27","Ahliesaurus berryi","Unknown"
"28","Scopelosaurus argenteus","Unknown"
"29","Scopelosaurus lepidus","Unknown"
"30","Scopelosaurus smithii","Unknown"
"31","Bathypterois dubius","Unknown"
"32","Bathypterois grallator","Unknown"
"33","Bathypterois longipes","Unknown"
"34","Bathypterois phenax","Unknown"
"35","Coccorella atlantica","Unknown"
"36","Evermannella balbo","Unknown"
"37","Odontostomops normalops","Unknown"
"38","Chlorophthalmus agassizi","Unknown"
"39","Parasudis truculenta","Unknown"
"40","Bathysaurus ferox","Unknown"
"41","Bathysaurus mollis","Unknown"
"42","Anotopterus pharao","Unknown"
"43","Alepisaurus brevirostris","Unknown"
"44","Alepisaurus ferox","Unknown"
"45","Opsanus tau","Unknown"
"46","Scomberesox saurus","Unknown"
"47","Euleptorhamphus velox","Unknown"
"48","Hemiramphus balao","Unknown"
"49","Hemiramphus brasiliensis","Unknown"
"50","Hyporhamphus meeki","Unknown"
"51","Oxyporhamphus similis","Unknown"
"52","Cheilopogon cyanopterus","Unknown"
"53","Cheilopogon exsiliens","Unknown"
"54","Cheilopogon furcatus","Unknown"
"55","Cheilopogon melanurus","Unknown"
"56","Cheilopogon nigricans","Unknown"
"57","Exocoetus obtusirostris","Unknown"
"58","Exocoetus volitans","Unknown"
"59","Hirundichthys speculiger","Unknown"
"60","Hirundichthys volador","Unknown"
"61","Prognichthys glaphyrae","Unknown"
"62","Ablennes hians","Unknown"
"63","Strongylura marina","Unknown"
"64","Gephyroberyx darwinii","Unknown"
"65","Hoplostethus mediterraneus","Unknown"
"66","Diretmichthys parini","Unknown"
"67","Diretmus argenteus","Unknown"
"68","Beryx decadactylus","Unknown"
"69","Beryx splendens","Unknown"
"70","Anoplogaster cornuta","Unknown"
"71","Ostichthys trachypoma","Unknown"
"72","Brama brama","Unknown"
"73","Pterycombus brama","Unknown"
"74","Taractichthys longipinnis","Unknown"
"75","Chaetodon ocellatus","Stable"
"76","Chaetodon capistratus","Stable"
"77","Foetorepus agassizii","Unknown"
"78","Foetorepus goodenbeani","Unknown"
"79","Antigonia capros","Stable"
"80","Antigonia combatia","Unknown"
"81","Alectis ciliaris","Unknown"
"82","Caranx bartholomaei","Stable"
"83","Caranx crysos","Unknown"
"84","Caranx hippos","Stable"
"85","Caranx latus","Stable"
"86","Caranx ruber","Unknown"
"87","Chloroscombrus chrysurus","Stable"
"88","Decapterus macarellus","Unknown"
"89","Decapterus punctatus","Stable"
"90","Elagatis bipinnulata","Stable"
"91","Naucrates ductor","Stable"
"92","Selar crumenophthalmus","Stable"
"93","Selene setapinnis","Stable"
"94","Selene vomer","Stable"
"95","Seriola dumerili","Unknown"
"96","Seriola fasciata","Unknown"
"97","Seriola rivoliana","Stable"
