"","year","code","category","sciname"
"1","1996","EN","Endangered","Sebastes fasciatus"
"2","2013","LC","Least Concern","Alosa pseudoharengus"
"3","2011","LC","Least Concern","Homarus americanus"
"4","2013","LC","Least Concern","Alosa sapidissima"
"5","2018","LC","Least Concern","Sterna paradisaea"
"6","2016","LC","Least Concern","Sterna paradisaea"
"7","2012","LC","Least Concern","Sterna paradisaea"
"8","2010","LC","Least Concern","Sterna paradisaea"
"9","2009","LC","Least Concern","Sterna paradisaea"
"10","2008","LC","Least Concern","Sterna paradisaea"
"11","2004","LC","Least Concern","Sterna paradisaea"
"12","2000","LR/lc","Lower Risk/least concern","Sterna paradisaea"
"13","1994","LR/lc","Lower Risk/least concern","Sterna paradisaea"
"14","1988","LR/lc","Lower Risk/least concern","Sterna paradisaea"
"15","2018","LC","Least Concern","Stenella frontalis"
"16","2012","DD","Data Deficient","Stenella frontalis"
"17","2008","DD","Data Deficient","Stenella frontalis"
"18","1996","DD","Data Deficient","Stenella frontalis"
"19","1994","K","Insufficiently Known","Stenella frontalis"
"20","2008","LC","Least Concern","Lagenorhynchus acutus"
"21","1996","LR/lc","Lower Risk/least concern","Lagenorhynchus acutus"
"22","1994","K","Insufficiently Known","Lagenorhynchus acutus"
"23","1996","VU","Vulnerable","Gadus morhua"
"24","2015","LC","Least Concern","Micropogonias undulatus"
"25","1996","EN","Endangered","Hippoglossus hippoglossus"
"26","2010","LC","Least Concern","Clupea harengus"
"27","2011","LC","Least Concern","Scomber scombrus"
"28","2015","LC","Least Concern","Brevoortia tyrannus"
"29","2018","VU","Vulnerable","Fratercula arctica"
"30","2017","VU","Vulnerable","Fratercula arctica"
"31","2016","VU","Vulnerable","Fratercula arctica"
"32","2015","VU","Vulnerable","Fratercula arctica"
"33","2012","LC","Least Concern","Fratercula arctica"
"34","2009","LC","Least Concern","Fratercula arctica"
"35","2008","LC","Least Concern","Fratercula arctica"
"36","2004","LC","Least Concern","Fratercula arctica"
"37","2000","LR/lc","Lower Risk/least concern","Fratercula arctica"
"38","1994","LR/lc","Lower Risk/least concern","Fratercula arctica"
"39","1988","LR/lc","Lower Risk/least concern","Fratercula arctica"
"40","2009","LC","Least Concern","Rhizoprionodon terraenovae"
"41","2000","LR/lc","Lower Risk/least concern","Rhizoprionodon terraenovae"
"42","2006","NT","Near Threatened","Acipenser oxyrinchus"
"43","1996","LR/nt","Lower Risk/near threatened","Acipenser oxyrinchus"
"44","1990","V","Vulnerable","Acipenser oxyrinchus"
"45","1988","V","Vulnerable","Acipenser oxyrinchus"
"46","1986","V","Vulnerable","Acipenser oxyrinchus"
"47","2018","LC","Least Concern","Puffinus lherminieri"
"48","2017","LC","Least Concern","Puffinus lherminieri"
"49","2016","LC","Least Concern","Puffinus lherminieri"
"50","2015","LC","Least Concern","Puffinus lherminieri"
"51","2014","LC","Least Concern","Puffinus lherminieri"
"52","2015","LC","Least Concern","Larimus fasciatus"
"53","2003","EN","Endangered","Dipturus laevis"
"54","2000","VU","Vulnerable","Dipturus laevis"
"55","2013","LC","Least Concern","Anchoa mitchilli"
"56","2018","EN","Endangered","Pterodroma hasitata"
"57","2016","EN","Endangered","Pterodroma hasitata"
"58","2012","EN","Endangered","Pterodroma hasitata"
"59","2010","EN","Endangered","Pterodroma hasitata"
"60","2008","EN","Endangered","Pterodroma hasitata"
"61","2007","EN","Endangered","Pterodroma hasitata"
"62","2004","EN","Endangered","Pterodroma hasitata"
"63","2000","EN","Endangered","Pterodroma hasitata"
"64","1996","EN","Endangered","Pterodroma hasitata"
"65","1994","EN","Endangered","Pterodroma hasitata"
"66","1988","NR","Not Recognized","Pterodroma hasitata"
"67","2018","LC","Least Concern","Cepphus grylle"
"68","2016","LC","Least Concern","Cepphus grylle"
"69","2012","LC","Least Concern","Cepphus grylle"
"70","2009","LC","Least Concern","Cepphus grylle"
"71","2008","LC","Least Concern","Cepphus grylle"
"72","2004","LC","Least Concern","Cepphus grylle"
"73","2000","LR/lc","Lower Risk/least concern","Cepphus grylle"
"74","1994","LR/lc","Lower Risk/least concern","Cepphus grylle"
"75","1988","LR/lc","Lower Risk/least concern","Cepphus grylle"
"76","2018","VU","Vulnerable","Rissa tridactyla"
"77","2017","VU","Vulnerable","Rissa tridactyla"
"78","2016","LC","Least Concern","Rissa tridactyla"
"79","2012","LC","Least Concern","Rissa tridactyla"
"80","2010","LC","Least Concern","Rissa tridactyla"
"81","2009","LC","Least Concern","Rissa tridactyla"
"82","2008","LC","Least Concern","Rissa tridactyla"
"83","2004","LC","Least Concern","Rissa tridactyla"
"84","2000","LR/lc","Lower Risk/least concern","Rissa tridactyla"
"85","1994","LR/lc","Lower Risk/least concern","Rissa tridactyla"
"86","1988","LR/lc","Lower Risk/least concern","Rissa tridactyla"
"87","2018","NT","Near Threatened","Melanitta americana"
