"","status","score"
"1","NNR",NA
"2","VU - Vulnerable",0.4
"3","N3B",0.4
"4","S1N",0.8
"5","EN - Endangered",0.6
"6","N5B,N5N",0
"7","S2?B",0.6
"8","SXB,S3N",1
"9","S3",0.4
"10","LC - Least concern",0
"11","S2B",0.6
"12","S1?N",0.8
"13","S2B,S2N",0.6
"14","S2S3",0.5
"15","S1B,S2N",0.8
"16","N2B",0.6
"17","S1S2N",0.7
"18","CR - Critically endangered",0.8
"19","N5N",0
"20","S1B",0.8
"21","S1S2N,S2B",0.6
"22","S2B,S3N",0.6
"23","N4B,N4N",0.2
"24","S3B",0.4
"25","S3S4N",0.3
"26","S5N",0
"27","NT - Near threatened",0.2
"28","S5B",0
"29","S4S5B",0.1
"30","N5",0
"31","S4N,S4S5B",0.1
"32","S5",0
"33","S2S3N",0.5
"34","S4N",0.2
"35","S1B,S3N",0.8
"36","S3B,S3S4N",0.4
"37","S3B,S4N",0.4
"38","S3S4B",0.3
"39","S4B",0.2
"40","S2S3B",0.5
"41","NNA",NA
"42","SXB,S3S4N",1
"43","N1B",0.8
"44","N4N,N5B",0
"45","S4S5B,S4S5N",0.1
"46","S2B,S5N",0.6
"47","S4",0.2
"48","N4B,N5N",0.2
"49","N3",0.4
"50","S1S2B",0.7
"51","S3B,S1N",0.4
"52","SHB",0.9
"53","S2",0.6
"54","S1B,S1N",0.8
"55","S1?B,S3N",0.8
"56","S2B,S4N",0.6
"57","S4B,S5N",0.2
"58","SXB,S2N",1
"59","S2N",0.6
"60","N1B,N4N",0.8
"61","S3B,S3N",0.4
"62","S1B,S4N",0.8
"63","S3B,S5N",0.4
"64","S4S5N",0.1
"65","S3?B",0.4
"66","S4B,S4N",0.2
"67","S2S3B,S2N",0.5
"68","S4B,S5M",0.2
"69","N5B,N4N",0
"70","S4N,S5B",0
"71","N4",0.2
"72","SXN",1
"73","SX",1
"74","EX - Extinct",1
"75","NX",1
"76","SXB,S1N",1
"77","S3N",0.4
"78","N4B",0.2
"79","N1B,N3N",0.8
"80","S1B,S1S2N",0.8
"81","N5B",0
"82","SHB,S1N",0.9
"83","N2N,N3B",0.4
"84","N4N5B,N4N",0.1
"85","S1",0.8
"86","N1N2B,N2N3N",0.7
"87","N3N",0.4
"88","N2N3N",0.5
"89","N3N4N",0.3
"90","S5B,S5N",0
"91","S3S4B,S5N",0.3
"92","S1B,S5N",0.8
"93","S3N,S5B",0
"94","N2N3B,N3N",0.5
"95","N3?B",0.4
"96","S2B,S5M",0.6
"97","S3,SNRN",0.4
"98","NXN",1
"99","S1B,S3?N",0.8
"100","S1S3N",0.6
"101","S1B,S3S4N",0.8
"102","S1B,S5M",0.8
"103","S1B,S4M",0.8
"104","S2S3B,SNRN",0.5
"105","S3B,SNRN",0.4
"106","S1S2B,S3N",0.7
"107","S3S4",0.3
"108","N3N4",0.3
"109","N4N5",0.1
"110","DD - Data deficient",NA
"111","NU",NA
"112","N1",0.8
"113","N1N3",0.6
"114","N1N",0.8
"115","N2",0.6
"116","SH",0.9
"117",NA,NA
"118","LC",0
"119","NT",0.2
"120","VU",0.4
"121","EN",0.6
"122","CR",0.8
"123","EX",1
"124","DD",NA
"125","SNRB",NA
