Common Name,Scientific,Region
Abyssal assfish,Bassozetus compressus,Offshore
Abyssal assfish,Bassozetus compressus,Georges Bank
Abyssal assfish,Bassozetus compressus,Gulf of Maine
Abyssal assfish,Bassozetus compressus,Mid-Atlantic Bight
Abyssal assfish,Bassozetus compressus,Connecticut
Abyssal assfish,Bassozetus compressus,Maine
Abyssal assfish,Bassozetus compressus,Massachusetts-North
Abyssal assfish,Bassozetus compressus,Massachusetts-South
Abyssal assfish,Bassozetus compressus,New Hampshire
Abyssal assfish,Bassozetus compressus,New York
Abyssal assfish,Bassozetus compressus,Rhode Island
Abyssal assfish,Bassozetus compressus,NA
Abyssal grenadier,Coryphaenoides armatus,Offshore
Abyssal grenadier,Coryphaenoides armatus,Georges Bank
Abyssal grenadier,Coryphaenoides armatus,Gulf of Maine
Abyssal grenadier,Coryphaenoides armatus,Mid-Atlantic Bight
Abyssal grenadier,Coryphaenoides armatus,Connecticut
Abyssal grenadier,Coryphaenoides armatus,Maine
Abyssal grenadier,Coryphaenoides armatus,Massachusetts-North
Abyssal grenadier,Coryphaenoides armatus,Massachusetts-South
Abyssal grenadier,Coryphaenoides armatus,New Hampshire
Abyssal grenadier,Coryphaenoides armatus,New York
Abyssal grenadier,Coryphaenoides armatus,Rhode Island
Abyssal grenadier,Coryphaenoides armatus,NA
Abyssal halosaur,Halosauropsis macrochir,Offshore
Abyssal halosaur,Halosauropsis macrochir,Georges Bank
Abyssal halosaur,Halosauropsis macrochir,Gulf of Maine
Abyssal halosaur,Halosauropsis macrochir,Mid-Atlantic Bight
Abyssal halosaur,Halosauropsis macrochir,Connecticut
Abyssal halosaur,Halosauropsis macrochir,Maine
Abyssal halosaur,Halosauropsis macrochir,Massachusetts-North
Abyssal halosaur,Halosauropsis macrochir,Massachusetts-South
Abyssal halosaur,Halosauropsis macrochir,New Hampshire
Abyssal halosaur,Halosauropsis macrochir,New York
Abyssal halosaur,Halosauropsis macrochir,Rhode Island
Abyssal halosaur,Halosauropsis macrochir,NA
Abyssal spiderfish,Bathypterois longipes,Offshore
Abyssal spiderfish,Bathypterois longipes,Georges Bank
Abyssal spiderfish,Bathypterois longipes,Gulf of Maine
Abyssal spiderfish,Bathypterois longipes,Mid-Atlantic Bight
Abyssal spiderfish,Bathypterois longipes,Connecticut
Abyssal spiderfish,Bathypterois longipes,Maine
Abyssal spiderfish,Bathypterois longipes,Massachusetts-North
Abyssal spiderfish,Bathypterois longipes,Massachusetts-South
Abyssal spiderfish,Bathypterois longipes,New Hampshire
Abyssal spiderfish,Bathypterois longipes,New York
Abyssal spiderfish,Bathypterois longipes,Rhode Island
Abyssal spiderfish,Bathypterois longipes,NA
Acadian redfish,Sebastes fasciatus,Offshore
Acadian redfish,Sebastes fasciatus,Georges Bank
Acadian redfish,Sebastes fasciatus,Gulf of Maine
Acadian redfish,Sebastes fasciatus,Mid-Atlantic Bight
Acadian redfish,Sebastes fasciatus,Connecticut
Acadian redfish,Sebastes fasciatus,Maine
Acadian redfish,Sebastes fasciatus,Massachusetts-North
Acadian redfish,Sebastes fasciatus,Massachusetts-South
Acadian redfish,Sebastes fasciatus,New Hampshire
Acadian redfish,Sebastes fasciatus,New York
Acadian redfish,Sebastes fasciatus,Rhode Island
Acadian redfish,Sebastes fasciatus,NA
African pompano,Alectis ciliaris,Offshore
African pompano,Alectis ciliaris,Georges Bank
African pompano,Alectis ciliaris,Gulf of Maine
African pompano,Alectis ciliaris,Mid-Atlantic Bight
African pompano,Alectis ciliaris,Connecticut
African pompano,Alectis ciliaris,Maine
African pompano,Alectis ciliaris,Massachusetts-North
African pompano,Alectis ciliaris,Massachusetts-South
African pompano,Alectis ciliaris,New Hampshire
African pompano,Alectis ciliaris,New York
African pompano,Alectis ciliaris,Rhode Island
African pompano,Alectis ciliaris,NA
Agassiz' slickhead,Alepocephalus agassizii,Offshore
Agassiz' slickhead,Alepocephalus agassizii,Georges Bank
Agassiz' slickhead,Alepocephalus agassizii,Gulf of Maine
Agassiz' slickhead,Alepocephalus agassizii,Mid-Atlantic Bight
Agassiz' slickhead,Alepocephalus agassizii,Connecticut
Agassiz' slickhead,Alepocephalus agassizii,Maine
Agassiz' slickhead,Alepocephalus agassizii,Massachusetts-North
Agassiz' slickhead,Alepocephalus agassizii,Massachusetts-South
Agassiz' slickhead,Alepocephalus agassizii,New Hampshire
Agassiz' slickhead,Alepocephalus agassizii,New York
Agassiz' slickhead,Alepocephalus agassizii,Rhode Island
Agassiz' slickhead,Alepocephalus agassizii,NA
Agassiz's thread-sail fish,Chlorophthalmus agassizi,Offshore
Agassiz's thread-sail fish,Chlorophthalmus agassizi,Georges Bank
Agassiz's thread-sail fish,Chlorophthalmus agassizi,Gulf of Maine
Agassiz's thread-sail fish,Chlorophthalmus agassizi,Mid-Atlantic Bight
Agassiz's thread-sail fish,Chlorophthalmus agassizi,Connecticut
Agassiz's thread-sail fish,Chlorophthalmus agassizi,Maine
Agassiz's thread-sail fish,Chlorophthalmus agassizi,Massachusetts-North
Agassiz's thread-sail fish,Chlorophthalmus agassizi,Massachusetts-South
Agassiz's thread-sail fish,Chlorophthalmus agassizi,New Hampshire
Agassiz's thread-sail fish,Chlorophthalmus agassizi,New York
Agassiz's thread-sail fish,Chlorophthalmus agassizi,Rhode Island
Agassiz's thread-sail fish,Chlorophthalmus agassizi,NA
Albacore tuna,Thunnus alalunga,Offshore
Albacore tuna,Thunnus alalunga,Georges Bank
Albacore tuna,Thunnus alalunga,Gulf of Maine
Albacore tuna,Thunnus alalunga,Mid-Atlantic Bight
Albacore tuna,Thunnus alalunga,Connecticut
Albacore tuna,Thunnus alalunga,Maine
Albacore tuna,Thunnus alalunga,Massachusetts-North
Albacore tuna,Thunnus alalunga,Massachusetts-South
Albacore tuna,Thunnus alalunga,New Hampshire
Albacore tuna,Thunnus alalunga,New York
Albacore tuna,Thunnus alalunga,Rhode Island
Albacore tuna,Thunnus alalunga,NA
Alewife,Alosa pseudoharengus,Offshore
Alewife,Alosa pseudoharengus,Georges Bank
Alewife,Alosa pseudoharengus,Gulf of Maine
Alewife,Alosa pseudoharengus,Mid-Atlantic Bight
Alewife,Alosa pseudoharengus,Connecticut
Alewife,Alosa pseudoharengus,Maine
Alewife,Alosa pseudoharengus,Massachusetts-North
Alewife,Alosa pseudoharengus,Massachusetts-South
Alewife,Alosa pseudoharengus,New Hampshire
Alewife,Alosa pseudoharengus,New York
Alewife,Alosa pseudoharengus,Rhode Island
Alewife,Alosa pseudoharengus,NA
Alfonsino,Beryx decadactylus,Offshore
Alfonsino,Beryx decadactylus,Georges Bank
Alfonsino,Beryx decadactylus,Gulf of Maine
Alfonsino,Beryx decadactylus,Mid-Atlantic Bight
Alfonsino,Beryx decadactylus,Connecticut
Alfonsino,Beryx decadactylus,Maine
Alfonsino,Beryx decadactylus,Massachusetts-North
