"","rgn_id","area_km2","species"
"1",1,38,"Acadian_redfish"
"2",2,1757,"Acadian_redfish"
"3",3,53915,"Acadian_redfish"
"4",6,437,"Acadian_redfish"
"5",7,141,"Acadian_redfish"
"6",1,314,"Alewife"
"7",2,14432,"Alewife"
"8",3,58051,"Alewife"
"9",4,36693,"Alewife"
"10",6,806,"Alewife"
"11",7,2235,"Alewife"
"12",8,269,"Alewife"
"13",9,8,"Alewife"
"14",10,395,"Alewife"
"15",11,333,"Alewife"
"16",1,884,"American_lobster"
"17",2,41085,"American_lobster"
"18",3,58209,"American_lobster"
"19",4,30554,"American_lobster"
"20",6,806,"American_lobster"
"21",7,2235,"American_lobster"
"22",8,254,"American_lobster"
"23",9,8,"American_lobster"
"24",10,8,"American_lobster"
"25",11,333,"American_lobster"
"26",2,16754,"American_plaice"
"27",3,58069,"American_plaice"
"28",6,806,"American_plaice"
"29",7,1513,"American_plaice"
"30",9,8,"American_plaice"
"31",1,777,"American_shad"
"32",2,23209,"American_shad"
"33",3,58104,"American_shad"
"34",4,32874,"American_shad"
"35",6,806,"American_shad"
"36",7,2235,"American_shad"
"37",8,239,"American_shad"
"38",9,8,"American_shad"
"39",10,349,"American_shad"
"40",11,333,"American_shad"
"41",1,105282,"arctic_tern_normalized_AEA"
"42",2,49938,"arctic_tern_normalized_AEA"
"43",3,59611,"arctic_tern_normalized_AEA"
"44",4,42131,"arctic_tern_normalized_AEA"
"45",6,4353,"arctic_tern_normalized_AEA"
"46",7,2480,"arctic_tern_normalized_AEA"
"47",8,1697,"arctic_tern_normalized_AEA"
"48",9,151,"arctic_tern_normalized_AEA"
"49",10,1027,"arctic_tern_normalized_AEA"
"50",11,744,"arctic_tern_normalized_AEA"
"51",1,90455,"Atlantic spotted dolphin"
"52",1,23926,"Atlantic white sided dolphin"
"53",2,40619,"Atlantic white sided dolphin"
"54",3,57875,"Atlantic white sided dolphin"
"55",4,34050,"Atlantic white sided dolphin"
"56",6,754,"Atlantic white sided dolphin"
"57",7,1137,"Atlantic white sided dolphin"
"58",2,33892,"Atlantic_cod"
"59",3,53529,"Atlantic_cod"
"60",4,9321,"Atlantic_cod"
"61",6,806,"Atlantic_cod"
"62",7,1969,"Atlantic_cod"
"63",9,8,"Atlantic_cod"
"64",11,102,"Atlantic_cod"
"65",4,1896,"Atlantic_croaker"
"66",2,5173,"Atlantic_halibut"
"67",3,36098,"Atlantic_halibut"
"68",6,806,"Atlantic_halibut"
"69",7,1079,"Atlantic_halibut"
"70",9,8,"Atlantic_halibut"
"71",1,38,"Atlantic_herring"
"72",2,39584,"Atlantic_herring"
