"","rgn_id","area_km2","SID"
"1",1,105282,10707
"2",2,49938,10707
"3",3,59638,10707
"4",4,42218,10707
"5",5,1453,10707
"6",6,6675,10707
"7",7,3398,10707
"8",8,2675,10707
"9",9,180,10707
"10",10,4395,10707
"11",11,1119,10707
"12",1,105282,11047
"13",2,49938,11047
"14",3,59638,11047
"15",4,42218,11047
"16",5,1453,11047
"17",6,6675,11047
"18",7,3398,11047
"19",8,2675,11047
"20",9,180,11047
"21",10,4395,11047
"22",11,1119,11047
"23",1,105282,11048
"24",2,49938,11048
"25",3,59638,11048
"26",4,42218,11048
"27",5,1453,11048
"28",6,6675,11048
"29",7,3398,11048
"30",8,2675,11048
"31",9,180,11048
"32",10,4395,11048
"33",11,1119,11048
"34",3,45777,11142
"35",6,6675,11142
"36",7,1251,11142
"37",9,180,11142
"38",1,22401,11200
"39",2,49938,11200
"40",3,59638,11200
"41",4,41221,11200
"42",5,1453,11200
"43",6,6675,11200
"44",7,3398,11200
"45",8,2675,11200
"46",9,180,11200
"47",10,4395,11200
"48",11,1119,11200
"49",1,24238,11534
"50",2,32398,11534
"51",3,59638,11534
"52",4,42218,11534
"53",5,1453,11534
"54",6,6675,11534
"55",7,3399,11534
"56",8,2675,11534
"57",9,180,11534
"58",10,4398,11534
"59",11,1119,11534
"60",4,1,12302
"61",5,62,12302
"62",6,707,12302
"63",7,179,12302
"64",8,91,12302
"65",9,22,12302
"66",10,44,12302
"67",11,58,12302
"68",1,249,12417
"69",2,47647,12417
"70",3,51017,12417
"71",4,38206,12417
"72",5,1453,12417
"73",6,6673,12417
"74",7,3398,12417
"75",8,2675,12417
"76",9,180,12417
"77",10,4393,12417
"78",11,1119,12417
"79",1,199,133446
"80",4,21715,133446
"81",5,1453,133446
"82",10,4395,133446
"83",11,507,133446
"84",1,52555,13458323
"85",2,49938,13458323
"86",3,59638,13458323
"87",4,42218,13458323
"88",5,1453,13458323
"89",6,6675,13458323
"90",7,3398,13458323
"91",8,2675,13458323
"92",9,180,13458323
"93",10,4395,13458323
"94",11,1119,13458323
"95",1,43538,13462491
"96",2,2454,13462491
"97",4,3717,13462491
"98",1,96944,13462731
"99",2,2794,13462731
"100",4,2642,13462731
"101",1,28898,13462751
"102",2,13115,13462751
"103",3,3957,13462751
"104",4,1247,13462751
"105",1,45826,13462757
"106",2,252,13462757
"107",1,105282,13485141
"108",2,49938,13485141
"109",3,59638,13485141
"110",4,42218,13485141
"111",5,1453,13485141
"112",6,6675,13485141
"113",7,3398,13485141
"114",8,2675,13485141
"115",9,180,13485141
"116",10,4395,13485141
"117",11,1119,13485141
"118",1,1452,13485167
"119",2,3398,13485167
"120",4,236,13485167
"121",1,105282,13485312
"122",2,49938,13485312
"123",3,59638,13485312
"124",4,42218,13485312
"125",5,1453,13485312
"126",6,6675,13485312
"127",7,3398,13485312
"128",8,2675,13485312
"129",9,180,13485312
"130",10,4395,13485312
"131",11,1119,13485312
"132",1,97885,13485398
"133",2,469,13485398
"134",1,105282,13485622
"135",2,49938,13485622
"136",3,59638,13485622
"137",4,42218,13485622
"138",5,1453,13485622
"139",6,6675,13485622
"140",7,3398,13485622
"141",8,2675,13485622
"142",9,180,13485622
"143",10,4395,13485622
"144",11,1119,13485622
"145",1,105282,13485631
"146",2,49938,13485631
"147",3,59638,13485631
"148",4,42218,13485631
"149",5,1453,13485631
"150",6,6675,13485631
"151",7,3398,13485631
"152",8,2675,13485631
"153",9,180,13485631
"154",10,4395,13485631
"155",11,1119,13485631
"156",1,105282,13485635
"157",2,49938,13485635
"158",3,59638,13485635
"159",4,42218,13485635
"160",5,1453,13485635
