"sciname","trend"
"Acipenser brevirostrum","Decreasing"
"Acipenser oxyrinchus","Increasing"
"Synagrops bellus","Unknown"
"Synagrops japonicus","Stable"
"Paroncheilus affinis","Unknown"
"Ariomma bondi","Unknown"
"Ariomma melanum","Unknown"
"Membras martinica","Unknown"
"Menidia menidia","Stable"
"Synodus foetens","Unknown"
"Trachinocephalus myops","Unknown"
"Benthalbella infans","Unknown"
"Scopelarchus analis","Unknown"
"Arctozenus risso","Unknown"
"Lestidiops affinis","Unknown"
"Lestidiops jayakari","Unknown"
"Lestidium atlanticum","Unknown"
"Lestrolepis intermedia","Unknown"
"Macroparalepis affinis","Unknown"
"Macroparalepis brevis","Unknown"
"Magnisudis atlantica","Unknown"
"Paralepis elongata","Unknown"
"Stemonosudis intermedia","Unknown"
"Sudis atrox","Unknown"
"Sudis hyalina","Unknown"
"Omosudis lowii","Unknown"
"Ahliesaurus berryi","Unknown"
"Scopelosaurus argenteus","Unknown"
"Scopelosaurus lepidus","Unknown"
"Scopelosaurus smithii","Unknown"
"Bathypterois dubius","Unknown"
"Bathypterois grallator","Unknown"
"Bathypterois longipes","Unknown"
"Bathypterois phenax","Unknown"
"Coccorella atlantica","Unknown"
"Evermannella balbo","Unknown"
"Odontostomops normalops","Unknown"
"Chlorophthalmus agassizi","Unknown"
"Parasudis truculenta","Unknown"
"Bathysaurus ferox","Unknown"
"Bathysaurus mollis","Unknown"
"Anotopterus pharao","Unknown"
"Alepisaurus brevirostris","Unknown"
"Alepisaurus ferox","Unknown"
"Opsanus tau","Unknown"
"Scomberesox saurus","Unknown"
"Euleptorhamphus velox","Unknown"
"Hemiramphus balao","Unknown"
"Hemiramphus brasiliensis","Unknown"
"Hyporhamphus meeki","Unknown"
"Oxyporhamphus similis","Unknown"
"Cheilopogon cyanopterus","Unknown"
"Cheilopogon exsiliens","Unknown"
"Cheilopogon furcatus","Unknown"
"Cheilopogon melanurus","Unknown"
"Cheilopogon nigricans","Unknown"
"Exocoetus obtusirostris","Unknown"
"Exocoetus volitans","Unknown"
"Hirundichthys speculiger","Unknown"
"Hirundichthys volador","Unknown"
"Prognichthys glaphyrae","Unknown"
"Ablennes hians","Unknown"
"Strongylura marina","Unknown"
"Gephyroberyx darwinii","Unknown"
"Hoplostethus mediterraneus","Unknown"
"Diretmichthys parini","Unknown"
"Diretmus argenteus","Unknown"
"Beryx decadactylus","Unknown"
"Beryx splendens","Unknown"
"Anoplogaster cornuta","Unknown"
"Ostichthys trachypoma","Unknown"
"Brama brama","Unknown"
"Pterycombus brama","Unknown"
"Taractichthys longipinnis","Unknown"
"Chaetodon ocellatus","Stable"
"Chaetodon capistratus","Stable"
"Foetorepus agassizii","Unknown"
"Foetorepus goodenbeani","Unknown"
"Antigonia capros","Stable"
"Antigonia combatia","Unknown"
"Alectis ciliaris","Unknown"
"Caranx bartholomaei","Stable"
"Caranx crysos","Unknown"
"Caranx hippos","Stable"
"Caranx latus","Stable"
"Caranx ruber","Unknown"
"Chloroscombrus chrysurus","Stable"
"Decapterus macarellus","Unknown"
"Decapterus punctatus","Stable"
"Elagatis bipinnulata","Stable"
"Naucrates ductor","Stable"
"Selar crumenophthalmus","Stable"
"Selene setapinnis","Stable"
"Selene vomer","Stable"
"Seriola dumerili","Unknown"
"Seriola fasciata","Unknown"
"Seriola rivoliana","Stable"
"Seriola zonata","Stable"
"Trachinotus carolinus","Unknown"
"Trachinotus falcatus","Stable"
"Trachinotus goodei","Unknown"
"Trachurus lathami","Stable"
"Oligoplites saurus","Unknown"
"Centrolophus niger","Unknown"
"Hyperoglyphe perciformis","Unknown"
"Barbourisia rufa","Unknown"
"Cetomimus gillii","Unknown"
"Cetostoma regani","Unknown"
"Ditropichthys storeri","Unknown"
"Gyrinomimus myersi","Unknown"
"Rondeletia loricata","Unknown"
"Chiasmodon niger","Unknown"
"Dysalotus alcocki","Unknown"
"Dysalotus oligoscolus","Unknown"
"Kali indica","Unknown"
"Kali kerberti","Unknown"
"Kali macrura","Unknown"
"Kali parri","Unknown"
"Pseudoscopelus altipinnis","Unknown"
"Pseudoscopelus scriptus","Unknown"
"Pseudoscopelus scutatus","Unknown"
"Carcharhinus limbatus","Unknown"
"Carcharhinus obscurus","Decreasing"
"Carcharhinus plumbeus","Decreasing"
"Carcharias taurus","Unknown"
"Carcharodon carcharias","Unknown"
"Cetorhinus maximus","Decreasing"
"Dalatias licha","Decreasing"
"Lamna nasus","Decreasing"
"Rhincodon typus","Decreasing"
"Odontaspis noronhai","Unknown"
"Alopias vulpinus","Decreasing"
"Isurus oxyrinchus","Decreasing"
"Mustelus canis","Unknown"
"Carcharhinus brevipinna","Unknown"
"Carcharhinus falciformis","Decreasing"
"Carcharhinus leucas","Unknown"
"Carcharhinus longimanus","Decreasing"
"Galeocerdo cuvier","Unknown"
"Negaprion brevirostris","Unknown"
"Prionace glauca","Unknown"
"Rhizoprionodon terraenovae","Unknown"
"Sphyrna lewini","Unknown"
"Sphyrna mokarran","Decreasing"
"Sphyrna tiburo","Stable"
"Sphyrna zygaena","Decreasing"
"Dipturus laevis","Stable"
"Centroscymnus coelolepis","Unknown"
"Echinorhinus brucus","Unknown"
"Apristurus melanoasper","Unknown"
"Apristurus laurussonii","Unknown"
"Apristurus profundorum","Unknown"
"Pseudotriakis microdon","Unknown"
"Apristurus manis","Unknown"
"Apristurus microps","Unknown"
"Rhinoptera bonasus","Unknown"
"Harriotta raleighana","Stable"
"Rhinochimaera atlantica","Unknown"
"Hypanus say","Unknown"
"Somniosus microcephalus","Unknown"
"Carcharhinus signatus","Decreasing"
"Ginglymostoma cirratum","Unknown"
"Isurus paucus","Decreasing"
"Scyliorhinus retifer","Increasing"
"Etmopterus princeps","Unknown"
"Squatina dumeril","Unknown"
"Hydrolagus affinis","Unknown"
"Bathyraja richardsoni","Unknown"
"Bathytoshia centroura","Unknown"
"Gymnura altavela","Decreasing"
"Bathyraja spinicauda","Unknown"
"Rajella bigelowi","Unknown"
"Leucoraja erinacea","Decreasing"
"Leucoraja garmani","Unknown"
"Malacoraja senta","Decreasing"
"Amblyraja jenseni","Unknown"
"Centroscyllium fabricii","Unknown"
"Carcharhinus isodon","Unknown"
"Amblyraja radiata","Decreasing"
"Myliobatis freminvillii","Unknown"
"Tetronarce nobiliana","Unknown"
"Rajella fyllae","Unknown"
"Leucoraja ocellata","Decreasing"
"Raja eglanteria","Unknown"
"Alopias superciliosus","Decreasing"
"Pteroplatytrygon violacea","Unknown"
"Mobula birostris","Decreasing"
"Squalus acanthias","Decreasing"
"Alosa aestivalis","Decreasing"
"Alosa mediocris","Increasing"
"Alosa pseudoharengus","Unknown"
"Alosa sapidissima","Increasing"
"Anchoa hepsetus","Unknown"
"Anchoa lyolepis","Unknown"
"Anchoa mitchilli","Stable"
"Brevoortia tyrannus","Increasing"
"Clupea harengus","Increasing"
"Engraulis eurystole","Unknown"
"Etrumeus sadina","Unknown"
"Harengula jaguana","Unknown"
"Opisthonema oglinum","Unknown"
"Sardinella aurita","Unknown"
"Hypsoblennius hentz","Unknown"
"Astrangia poculata","Unknown"
"Coryphaena equiselis","Stable"
"Coryphaena hippurus","Stable"
"Cyprinodon variegatus","Stable"
"Fundulus heteroclitus","Stable"
"Fundulus majalis","Unknown"
"Lucania parva","Stable"
"Echeneis naucrates","Stable"
"Echeneis neucratoides","Unknown"
"Phtheirichthys lineatus","Stable"
"Remora albescens","Unknown"
"Remora australis","Stable"
"Remora brachyptera","Stable"
"Remora osteochir","Stable"
"Remora remora","Stable"
"Chaetodipterus faber","Unknown"
"Epigonus denticulatus","Unknown"
"Epigonus pandionis","Unknown"
"Enchelyopus cimbrius","Unknown"
"Coelorinchus caelorhincus","Unknown"
"Coryphaenoides armatus","Unknown"
"Coryphaenoides guentheri","Unknown"
"Coryphaenoides leptolepis","Unknown"
"Coryphaenoides mediterraneus","Unknown"
"Coryphaenoides rupestris","Unknown"
"Hymenocephalus italicus","Unknown"
"Malacocephalus occidentalis","Unknown"
"Nezumia aequalis","Unknown"
"Nezumia sclerorhynchus","Unknown"
"Melanonus zugmayeri","Unknown"
"Merluccius albidus","Unknown"
"Merluccius bilinearis","Unknown"
"Antimora rostrata","Unknown"
"Gadella imberbis","Unknown"
"Physiculus fulvus","Unknown"
"Urophycis regia","Unknown"
"Fistularia petimba","Unknown"
"Fistularia tabacaria","Unknown"
"Gasterosteus wheatlandi","Stable"
"Diplospinus multistriatus","Unknown"
"Gempylus serpens","Stable"
"Lepidocybium flavobrunneum","Unknown"
"Nealotus tripes","Stable"
"Nesiarchus nasutus","Stable"
"Promethichthys prometheus","Stable"
"Ruvettus pretiosus","Stable"
"Gobiesox strumosus","Unknown"
"Gobiosoma bosc","Unknown"
"Gobiosoma ginsburgi","Unknown"
"Orthopristis chrysoptera","Unknown"
"Kyphosus sectatrix","Stable"
"Lampris guttatus","Unknown"
"Regalecus glesne","Unknown"
"Stylephorus chordatus","Unknown"
"Desmodema polystictum","Unknown"
"Zu cristatus","Unknown"
"Homarus americanus","Stable"
"Stereomastis sculpta","Stable"
"Nephropsis aculeata","Unknown"
"Panulirus argus","Decreasing"
"Stereomastis nana","Stable"
"Cardus crucifer","Unknown"
"Polycheles typhlops","Stable"
"Fowlerichthys radiosus","Unknown"
"Histrio histrio","Stable"
"Caulophryne jordani","Unknown"
"Caulophryne polynema","Unknown"
"Centrophryne spinulosa","Unknown"
"Ceratias holboelli","Unknown"
"Ceratias uranoscopus","Unknown"
"Cryptopsaras couesii","Unknown"
"Bufoceratias wedli","Unknown"
"Diceratias pileatus","Unknown"
"Gigantactis gibbsi","Unknown"
"Gigantactis ios","Unknown"
"Gigantactis longicirra","Unknown"
"Gigantactis vanhoeffeni","Unknown"
"Himantolophus albinares","Unknown"
"Himantolophus brevirostris","Unknown"
"Himantolophus groenlandicus","Unknown"
"Himantolophus rostratus","Unknown"
"Haplophryne mollis","Unknown"
"Linophryne pennibarbata","Unknown"
"Melanocetus johnsonii","Unknown"
"Neoceratias spinifer","Unknown"
"Dibranchus atlanticus","Unknown"
"Dibranchus tremendus","Unknown"
"Chaenophryne draco","Unknown"
"Chaenophryne longiceps","Unknown"
"Chaenophryne ramifera","Unknown"
"Dolopichthys allector","Unknown"
"Dolopichthys danae","Unknown"
"Dolopichthys longicornis","Unknown"
"Dolopichthys pullatus","Unknown"
"Leptacanthichthys gracilispinis","Unknown"
"Lophodolos acanthognathus","Unknown"
"Microlophichthys microlophus","Unknown"
"Oneirodes eschrichtii","Unknown"
"Oneirodes macrosteus","Unknown"
"Pentherichthys atratus","Unknown"
"Phyllorhinichthys balushkini","Unknown"
"Spiniphryne gladisfenae","Unknown"
"Lutjanus cyanopterus","Decreasing"
"Lutjanus griseus","Unknown"
"Lutjanus jocu","Decreasing"
"Ocyurus chrysurus","Decreasing"
"Luvarus imperialis","Unknown"
