SITE_ID,LON_DD,LAT_DD,ALBERS_X,ALBERS_Y,PSTL_CODE,EPA_REG,NCA_REGION,SAMPYEAR,ESTUARY,STATUS_ALL,WGT_56_CAT,WGT_NCA_56,WGT_91_CAT,WGT_NCA_91,CHG_PERIOD,CH9156_USE,CH9156_WGT,NCCA_SQI_STATUS
AL00-0001,-88.011,30.653,,,AL,EPA_REG_4,Gulf_Coast,2000,Mobile Bay,Target_Sampled,,0,AL,6.409359928,Period_1999_2001,Include,6.409359928,
AL00-0002,-88.04,30.6351,,,AL,EPA_REG_4,Gulf_Coast,2000,Mobile Bay,Target_Sampled,,0,AL,6.409359928,Period_1999_2001,Include,6.409359928,
AL00-0003,-88.0063,30.6171,,,AL,EPA_REG_4,Gulf_Coast,2000,Mobile Bay,Target_Sampled,,0,AL,6.409359928,Period_1999_2001,Include,6.409359928,
AL00-0004,-88.1281,30.6042,,,AL,EPA_REG_4,Gulf_Coast,2000,Dog River,Target_Sampled,,0,AL,6.409359928,Period_1999_2001,Include,6.409359928,
AL00-0005,-87.9509,30.643,,,AL,EPA_REG_4,Gulf_Coast,2000,Mobile Bay,Target_Sampled,,0,AL,6.409359928,Period_1999_2001,Include,6.409359928,
AL00-0006,-87.96,30.5974,,,AL,EPA_REG_4,Gulf_Coast,2000,Mobile Bay,Target_Sampled,,0,AL,6.409359928,Period_1999_2001,Include,6.409359928,
AL00-0007,-88.0589,30.4986,,,AL,EPA_REG_4,Gulf_Coast,2000,Mobile Bay,Target_Sampled,,0,AL,6.409359928,Period_1999_2001,Include,6.409359928,
AL00-0008,-88.0508,30.4647,,,AL,EPA_REG_4,Gulf_Coast,2000,Mobile Bay,Target_Sampled,,0,AL,6.409359928,Period_1999_2001,Include,6.409359928,
AL00-0009,-87.9427,30.4879,,,AL,EPA_REG_4,Gulf_Coast,2000,Mobile Bay,Target_Sampled,,0,AL,6.409359928,Period_1999_2001,Include,6.409359928,
AL00-0010,-87.9189,30.4589,,,AL,EPA_REG_4,Gulf_Coast,2000,Mobile Bay,Target_Sampled,,0,AL,6.409359928,Period_1999_2001,Include,6.409359928,
AL00-0011,-88.019,30.4134,,,AL,EPA_REG_4,Gulf_Coast,2000,Mobile Bay,Target_Sampled,,0,AL,6.409359928,Period_1999_2001,Include,6.409359928,
AL00-0012,-88.0561,30.3752,,,AL,EPA_REG_4,Gulf_Coast,2000,Mobile Bay,Target_Sampled,,0,AL,6.409359928,Period_1999_2001,Include,6.409359928,
AL00-0013,-87.8913,30.3549,,,AL,EPA_REG_4,Gulf_Coast,2000,Mobile Bay,Target_Sampled,,0,AL,6.409359928,Period_1999_2001,Include,6.409359928,
AL00-0014,-88.011,30.348,,,AL,EPA_REG_4,Gulf_Coast,2000,Mobile Bay,Target_Sampled,,0,AL,6.409359928,Period_1999_2001,Include,6.409359928,
AL00-0015,-87.9323,30.349,,,AL,EPA_REG_4,Gulf_Coast,2000,Mobile Bay,Target_Sampled,,0,AL,6.409359928,Period_1999_2001,Include,6.409359928,
AL00-0016,-87.89,30.3081,,,AL,EPA_REG_4,Gulf_Coast,2000,Mobile Bay,Target_Sampled,,0,AL,6.409359928,Period_1999_2001,Include,6.409359928,
AL00-0017,-88.0907,30.3054,,,AL,EPA_REG_4,Gulf_Coast,2000,Mobile Bay,Target_Sampled,,0,AL,6.409359928,Period_1999_2001,Include,6.409359928,
AL00-0018,-87.9807,30.2878,,,AL,EPA_REG_4,Gulf_Coast,2000,Mobile Bay,Target_Sampled,,0,AL,6.409359928,Period_1999_2001,Include,6.409359928,
AL00-0019,-88.275,30.381,,,AL,EPA_REG_4,Gulf_Coast,2000,Portersville Bay,Target_Sampled,,0,AL,6.409359928,Period_1999_2001,Include,6.409359928,
AL00-0020,-88.387,30.3509,,,AL,EPA_REG_4,Gulf_Coast,2000,Mississippi Sound,Target_Sampled,,0,AL,6.409359928,Period_1999_2001,Include,6.409359928,
AL00-0021,-88.2301,30.34,,,AL,EPA_REG_4,Gulf_Coast,2000,Portersville Bay,Target_Sampled,,0,AL,6.409359928,Period_1999_2001,Include,6.409359928,
AL00-0022,-88.349,30.2897,,,AL,EPA_REG_4,Gulf_Coast,2000,Mississippi Sound,Target_Sampled,,0,AL,6.409359928,Period_1999_2001,Include,6.409359928,
AL00-0023,-88.3078,30.2767,,,AL,EPA_REG_4,Gulf_Coast,2000,Mississippi Sound,Target_Sampled,,0,AL,6.409359928,Period_1999_2001,Include,6.409359928,
AL00-0024,-88.2511,30.2751,,,AL,EPA_REG_4,Gulf_Coast,2000,Mississippi Sound,Target_Sampled,,0,AL,6.409359928,Period_1999_2001,Include,6.409359928,
AL00-0025,-88.3637,30.225,,,AL,EPA_REG_4,Gulf_Coast,2000,Mississippi Sound,Target_Sampled,,0,AL,6.409359928,Period_1999_2001,Include,6.409359928,
AL00-0026,-87.977,30.9491,,,AL,EPA_REG_4,Gulf_Coast,2000,Mobile River,Target_Sampled,,0,AL,6.409359928,Period_1999_2001,Include,6.409359928,
AL00-0027,-87.9411,30.9511,,,AL,EPA_REG_4,Gulf_Coast,2000,Tensaw River,Target_Sampled,,0,AL,6.409359928,Period_1999_2001,Include,6.409359928,
AL00-0028,-87.8911,30.886,,,AL,EPA_REG_4,Gulf_Coast,2000,Tensaw River,Target_Sampled,,0,AL,6.409359928,Period_1999_2001,Include,6.409359928,
AL00-0029,-87.995,30.79,,,AL,EPA_REG_4,Gulf_Coast,2000,Mobile River,Target_Sampled,,0,AL,6.409359928,Period_1999_2001,Include,6.409359928,
