rgn_name,rgn_id,year,score,layer
Connecticut,5,2006,56.14276674257839,Water Quality
Connecticut,5,2007,57.57511740691409,Water Quality
Connecticut,5,2008,59.00746807124979,Water Quality
Connecticut,5,2009,60.43981873558549,Water Quality
Connecticut,5,2010,61.87216939992119,Water Quality
Maine,6,2006,98.91607487970478,Water Quality
Maine,6,2007,97.30467830327756,Water Quality
Maine,6,2008,95.69328172685033,Water Quality
Maine,6,2009,94.08188515042309,Water Quality
Maine,6,2010,92.47048857399587,Water Quality
Massachusetts-Gulf of Maine,7,2006,92.64705882352942,Water Quality
Massachusetts-Gulf of Maine,7,2007,93.74168504635364,Water Quality
Massachusetts-Gulf of Maine,7,2008,94.83631126917786,Water Quality
Massachusetts-Gulf of Maine,7,2009,95.93093749200209,Water Quality
Massachusetts-Gulf of Maine,7,2010,97.0255637148263,Water Quality
Massachusetts-Virginian,8,2006,88.30766388927441,Water Quality
Massachusetts-Virginian,8,2007,90.07500624264684,Water Quality
Massachusetts-Virginian,8,2008,91.84234859601926,Water Quality
Massachusetts-Virginian,8,2009,93.6096909493917,Water Quality
Massachusetts-Virginian,8,2010,95.37703330276413,Water Quality
New Hampshire,9,2006,71.2962962962963,Water Quality
New Hampshire,9,2007,70.07802272885115,Water Quality
New Hampshire,9,2008,68.859749161406,Water Quality
New Hampshire,9,2009,67.64147559396085,Water Quality
New Hampshire,9,2010,66.4232020265157,Water Quality
New York,10,2006,68.6947771205414,Water Quality
New York,10,2007,68.93455451450677,Water Quality
New York,10,2008,69.17433190847214,Water Quality
New York,10,2009,69.41410930243751,Water Quality
New York,10,2010,69.65388669640288,Water Quality
Rhode Island,11,2006,76.3099068314533,Water Quality
Rhode Island,11,2007,80.08723672502593,Water Quality
Rhode Island,11,2008,83.86456661859856,Water Quality
Rhode Island,11,2009,87.64189651217117,Water Quality
Rhode Island,11,2010,91.4192264057438,Water Quality
Offshore,1,2006,NA,Water Quality
Georges Bank,2,2006,NA,Water Quality
Gulf of Maine,3,2006,NA,Water Quality
Mid-Atlantic Bight,4,2006,NA,Water Quality
Offshore,1,2007,NA,Water Quality
Georges Bank,2,2007,NA,Water Quality
Gulf of Maine,3,2007,NA,Water Quality
Mid-Atlantic Bight,4,2007,NA,Water Quality
Offshore,1,2008,NA,Water Quality
Georges Bank,2,2008,NA,Water Quality
Gulf of Maine,3,2008,NA,Water Quality
Mid-Atlantic Bight,4,2008,NA,Water Quality
Offshore,1,2009,NA,Water Quality
Georges Bank,2,2009,NA,Water Quality
Gulf of Maine,3,2009,NA,Water Quality
Mid-Atlantic Bight,4,2009,NA,Water Quality
Offshore,1,2010,NA,Water Quality
Georges Bank,2,2010,NA,Water Quality
Gulf of Maine,3,2010,NA,Water Quality
Mid-Atlantic Bight,4,2010,NA,Water Quality
Connecticut,5,2006,66.80721365676837,Sediment Quality
Connecticut,5,2007,67.4501005402961,Sediment Quality
Connecticut,5,2008,68.09298742382384,Sediment Quality
Connecticut,5,2009,68.73587430735157,Sediment Quality
Connecticut,5,2010,69.3787611908793,Sediment Quality
Maine,6,2006,93.38537529229909,Sediment Quality
Maine,6,2007,89.12974460139795,Sediment Quality
Maine,6,2008,84.87411391049679,Sediment Quality
Maine,6,2009,80.61848321959565,Sediment Quality
Maine,6,2010,76.3628525286945,Sediment Quality
Massachusetts-Gulf of Maine,7,2006,83.33333333333333,Sediment Quality
Massachusetts-Gulf of Maine,7,2007,81.75039166131361,Sediment Quality
Massachusetts-Gulf of Maine,7,2008,80.1674499892939,Sediment Quality
Massachusetts-Gulf of Maine,7,2009,78.58450831727419,Sediment Quality
Massachusetts-Gulf of Maine,7,2010,77.00156664525447,Sediment Quality
Massachusetts-Virginian,8,2006,98.66201772217201,Sediment Quality
Massachusetts-Virginian,8,2007,84.6202841516694,Sediment Quality
Massachusetts-Virginian,8,2008,70.57855058116678,Sediment Quality
Massachusetts-Virginian,8,2009,56.536817010664166,Sediment Quality
Massachusetts-Virginian,8,2010,42.49508344016155,Sediment Quality
New Hampshire,9,2006,76.47058823529412,Sediment Quality
New Hampshire,9,2007,78.07986136333186,Sediment Quality
New Hampshire,9,2008,79.6891344913696,Sediment Quality
New Hampshire,9,2009,81.29840761940736,Sediment Quality
New Hampshire,9,2010,82.9076807474451,Sediment Quality
New York,10,2006,77.14645569611903,Sediment Quality
New York,10,2007,76.03648202501009,Sediment Quality
New York,10,2008,74.92650835390114,Sediment Quality
New York,10,2009,73.81653468279218,Sediment Quality
New York,10,2010,72.70656101168323,Sediment Quality
Rhode Island,11,2006,80.0572925020384,Sediment Quality
Rhode Island,11,2007,72.16439839906243,Sediment Quality
Rhode Island,11,2008,64.27150429608646,Sediment Quality
Rhode Island,11,2009,56.3786101931105,Sediment Quality
Rhode Island,11,2010,48.48571609013453,Sediment Quality
Offshore,1,2006,NA,Sediment Quality
Georges Bank,2,2006,NA,Sediment Quality
Gulf of Maine,3,2006,NA,Sediment Quality
Mid-Atlantic Bight,4,2006,NA,Sediment Quality
Offshore,1,2007,NA,Sediment Quality
Georges Bank,2,2007,NA,Sediment Quality
Gulf of Maine,3,2007,NA,Sediment Quality
Mid-Atlantic Bight,4,2007,NA,Sediment Quality
Offshore,1,2008,NA,Sediment Quality
Georges Bank,2,2008,NA,Sediment Quality
Gulf of Maine,3,2008,NA,Sediment Quality
Mid-Atlantic Bight,4,2008,NA,Sediment Quality
Offshore,1,2009,NA,Sediment Quality
Georges Bank,2,2009,NA,Sediment Quality
Gulf of Maine,3,2009,NA,Sediment Quality
Mid-Atlantic Bight,4,2009,NA,Sediment Quality
Offshore,1,2010,NA,Sediment Quality
Georges Bank,2,2010,NA,Sediment Quality
Gulf of Maine,3,2010,NA,Sediment Quality
Mid-Atlantic Bight,4,2010,NA,Sediment Quality
Offshore,1,2006,NA,Trash
Offshore,1,2007,NA,Trash
Offshore,1,2008,NA,Trash
Offshore,1,2009,NA,Trash
Offshore,1,2010,NA,Trash
Offshore,1,2011,NA,Trash
Offshore,1,2012,NA,Trash
Offshore,1,2013,NA,Trash
Offshore,1,2014,NA,Trash
Offshore,1,2015,NA,Trash
Offshore,1,2016,NA,Trash
