"","rgn_name","year","sqi_score"
"1","Connecticut",2006,66.8072136567684
"2","Connecticut",2010,69.3787611908793
"3","Maine",2006,93.3853752922991
"4","Maine",2010,76.3628525286945
"5","Massachusetts-North",2006,83.3333333333333
"6","Massachusetts-North",2010,77.0015666452545
"7","Massachusetts-South",2006,98.662017722172
"8","Massachusetts-South",2010,42.202388061278
"9","New Hampshire",2006,76.4705882352941
"10","New Hampshire",2010,82.9076807474451
"11","New York",2006,77.146455696119
"12","New York",2010,72.7065610116832
"13","Northeast",2006,83.0926255855427
"14","Northeast",2010,65.9130211830016
"15","Rhode Island",2006,80.0572925020384
"16","Rhode Island",2010,48.4857160901345
