"","rgn_name","year","sqi_score","score","gapfilled"
"1","Connecticut",2006,66.8072136567684,66.8072136567684,0
"2","Connecticut",2007,NA,67.4501005402961,1
"3","Connecticut",2008,NA,68.0929874238238,1
"4","Connecticut",2009,NA,68.7358743073516,1
"5","Connecticut",2010,69.3787611908793,69.3787611908793,0
"6","Maine",2006,93.3853752922991,93.3853752922991,0
"7","Maine",2007,NA,89.1297446013979,1
"8","Maine",2008,NA,84.8741139104968,1
"9","Maine",2009,NA,80.6184832195956,1
"10","Maine",2010,76.3628525286945,76.3628525286945,0
"11","Massachusetts-Gulf of Maine",2006,83.3333333333333,83.3333333333333,0
"12","Massachusetts-Gulf of Maine",2007,NA,81.7503916613136,1
"13","Massachusetts-Gulf of Maine",2008,NA,80.1674499892939,1
"14","Massachusetts-Gulf of Maine",2009,NA,78.5845083172742,1
"15","Massachusetts-Gulf of Maine",2010,77.0015666452545,77.0015666452545,0
"16","Massachusetts-Virginian",2006,98.662017722172,98.662017722172,0
"17","Massachusetts-Virginian",2007,NA,84.6202841516694,1
"18","Massachusetts-Virginian",2008,NA,70.5785505811668,1
"19","Massachusetts-Virginian",2009,NA,56.5368170106642,1
"20","Massachusetts-Virginian",2010,42.4950834401616,42.4950834401616,0
"21","New Hampshire",2006,76.4705882352941,76.4705882352941,0
"22","New Hampshire",2007,NA,78.0798613633319,1
"23","New Hampshire",2008,NA,79.6891344913696,1
"24","New Hampshire",2009,NA,81.2984076194074,1
"25","New Hampshire",2010,82.9076807474451,82.9076807474451,0
"26","New York",2006,77.146455696119,77.146455696119,0
"27","New York",2007,NA,76.0364820250101,1
"28","New York",2008,NA,74.9265083539011,1
"29","New York",2009,NA,73.8165346827922,1
"30","New York",2010,72.7065610116832,72.7065610116832,0
"31","Rhode Island",2006,80.0572925020384,80.0572925020384,0
"32","Rhode Island",2007,NA,72.1643983990624,1
"33","Rhode Island",2008,NA,64.2715042960865,1
"34","Rhode Island",2009,NA,56.3786101931105,1
"35","Rhode Island",2010,48.4857160901345,48.4857160901345,0
