"","year","state","people","pounds","pounds_per_person","score"
"1",2006,"connecticut",1351,7898,5.8460399703923,0.0561791075495324
"2",2006,"maine",1939,8338.1,4.30020629190304,0.0413239993194548
"3",2006,"massachusetts",1998,18957.3,9.48813813813814,0.0911788382575004
"4",2006,"new hampshire",1124,6106,5.43238434163701,0.052203971530277
"5",2006,"new york",9339,142243,15.2310739907913,0.146367138808004
"6",2006,"rhode island",1472,17048,11.5815217391304,0.111295776057822
"7",2007,"connecticut",1351,7898,5.8460399703923,0.0561791075495324
"8",2007,"maine",1939,8338.1,4.30020629190304,0.0413239993194548
"9",2007,"massachusetts",1998,18957.3,9.48813813813814,0.0911788382575004
"10",2007,"new hampshire",1124,6106,5.43238434163701,0.052203971530277
"11",2007,"new york",9339,142243,15.2310739907913,0.146367138808004
"12",2007,"rhode island",1472,17048,11.5815217391304,0.111295776057822
"13",2008,"connecticut",1708,13687,8.01346604215457,0.0770075765658025
"14",2008,"maine",1638,13559.5,8.27808302808303,0.0795504853018354
"15",2008,"massachusetts",3077,22359.5,7.26665583360416,0.0698309012030395
"16",2008,"new hampshire",1557,7635.3,4.90385356454721,0.0471249115991535
"17",2008,"new york",6494,82966.9,12.7759316291962,0.122773782026318
"18",2008,"rhode island",1869,13621,7.28785446762975,0.0700346152294331
"19",2009,"connecticut",2165,14231,6.57321016166282,0.0631670468364851
"20",2009,"maine",1823,10331,5.66703236423478,0.0544588853804334
"21",2009,"massachusetts",2233,23332,10.448723690103,0.100409845795538
"22",2009,"new hampshire",1043,7505,7.19558964525408,0.0691479713806855
"23",2009,"new york",10425,144837,13.8932374100719,0.133510835133623
"24",2009,"rhode island",2347,22192,9.45547507456327,0.090864953684223
"25",2010,"connecticut",2253,15984,7.09454061251664,0.068176913278674
"26",2010,"maine",1937,11195,5.77955601445534,0.0555402119330438
"27",2010,"massachusetts",2952,20662,6.99932249322493,0.0672618889217683
"28",2010,"new hampshire",1336,8639,6.46631736526946,0.0621398315017857
"29",2010,"new york",9235,186582,20.2037899296156,0.194153802080123
"30",2010,"rhode island",2147,26591,12.3851886353051,0.119018831189647
"31",2011,"connecticut",1928,21907,11.3625518672199,0.109191525651312
"32",2011,"maine",2361,19928,8.44049131723846,0.0811111918296059
"33",2011,"massachusetts",2226,17839,8.01392632524708,0.0770119997810882
"34",2011,"new hampshire",1112,8091,7.27607913669065,0.0699214569912737
"35",2011,"new york",6392,93754,14.6673967459324,0.140950329357071
"36",2011,"rhode island",2267,26782,11.8138509042788,0.113528406218044
"37",2012,"connecticut",1789,10173,5.68641699273337,0.0546451672284442
"38",2012,"maine",1513,15492,10.2392597488434,0.0983969452092657
"39",2012,"massachusetts",2738,15434,5.63696128560993,0.0541699091899264
"40",2012,"new hampshire",907,2690,2.96582138919515,0.0285008654816154
"41",2012,"new york",5762,61393,10.6548073585561,0.102390262732963
"42",2012,"rhode island",2057,19034,9.25328147788041,0.0889219194471322
"43",2013,"connecticut",1135,6995,6.16299559471366,0.059224978634465
"44",2013,"maine",1321,4519,3.42089326267979,0.0328740021438242
"45",2013,"massachusetts",2660,56877,21.3823308270677,0.205479310657691
"46",2013,"new hampshire",1011,2126,2.1028684470821,0.0202080850027468
"47",2013,"new york",5983,57681,9.64081564432559,0.0926460341856739
"48",2013,"rhode island",1188,11921,10.0345117845118,0.0964293640830697
"49",2014,"connecticut",1935,31248,16.1488372093023,0.155186633511917
"50",2014,"maine",2078,10484,5.04523580365736,0.0484835625931237
"51",2014,"massachusetts",3052,58391,19.1320445609436,0.183854574117729
"52",2014,"new hampshire",1293,6715,5.19334880123743,0.0499068946371528
"53",2014,"new york",6907,92825,13.4392645142609,0.129148259395601
"54",2014,"rhode island",2101,16368,7.79057591623037,0.0748656534144998
"55",2015,"connecticut",2226,22697,10.196316262354,0.0979842681221681
"56",2015,"maine",1186,19674,16.5885328836425,0.15941200841577
"57",2015,"massachusetts",3095,74851,24.1844911147011,0.232407430370739
"58",2015,"new hampshire",1220,9080,7.44262295081967,0.0715219049685454
"59",2015,"new york",7728,125569,16.2485766045549,0.156145106297117
"60",2015,"rhode island",2209,19698,8.91715708465369,0.0856918408755281
"61",2016,"connecticut",158,768,4.86075949367089,0.046710787430525
"62",2016,"maine",2002,7219,3.60589410589411,0.0346518179508198
"63",2016,"massachusetts",2563,13778,5.37573156457277,0.0516595512950766
"64",2016,"new hampshire",940,4948,5.26382978723404,0.0505842007986834
"65",2016,"new york",6952,67390,9.69361334867664,0.0931534080534765
"66",2016,"rhode island",2252,15030,6.6740674955595,0.0641362627564647
"67",2017,"connecticut",2799,28427,10.1561271882815,0.0975980603086622
"68",2017,"maine",1147,5317,4.63557105492589,0.0445467780184721
"69",2017,"massachusetts",3657,104543,28.5870932458299,0.274715430294641
"70",2017,"new hampshire",1549,10307,6.65397030342156,0.0639431333347913
"71",2017,"new york",6376,33775,5.29720828105395,0.0509049604930487
"72",2017,"rhode island",2635,16502,6.26261859582543,0.0601823328985841
