"","rgn_name","year","wqi_score","score","gapfilled"
"1","Connecticut",2006,56.1427667425784,56.1427667425784,0
"2","Connecticut",2007,NA,57.5751174069141,1
"3","Connecticut",2008,NA,59.0074680712498,1
"4","Connecticut",2009,NA,60.4398187355855,1
"5","Connecticut",2010,61.8721693999212,61.8721693999212,0
"6","Maine",2006,98.9160748797048,98.9160748797048,0
"7","Maine",2007,NA,97.3046783032776,1
"8","Maine",2008,NA,95.6932817268503,1
"9","Maine",2009,NA,94.0818851504231,1
"10","Maine",2010,92.4704885739959,92.4704885739959,0
"11","Massachusetts-Gulf of Maine",2006,92.6470588235294,92.6470588235294,0
"12","Massachusetts-Gulf of Maine",2007,NA,93.7416850463536,1
"13","Massachusetts-Gulf of Maine",2008,NA,94.8363112691779,1
"14","Massachusetts-Gulf of Maine",2009,NA,95.9309374920021,1
"15","Massachusetts-Gulf of Maine",2010,97.0255637148263,97.0255637148263,0
"16","Massachusetts-Virginian",2006,88.3076638892744,88.3076638892744,0
"17","Massachusetts-Virginian",2007,NA,90.0750062426468,1
"18","Massachusetts-Virginian",2008,NA,91.8423485960193,1
"19","Massachusetts-Virginian",2009,NA,93.6096909493917,1
"20","Massachusetts-Virginian",2010,95.3770333027641,95.3770333027641,0
"21","New Hampshire",2006,71.2962962962963,71.2962962962963,0
"22","New Hampshire",2007,NA,70.0780227288512,1
"23","New Hampshire",2008,NA,68.859749161406,1
"24","New Hampshire",2009,NA,67.6414755939608,1
"25","New Hampshire",2010,66.4232020265157,66.4232020265157,0
"26","New York",2006,68.6947771205414,68.6947771205414,0
"27","New York",2007,NA,68.9345545145068,1
"28","New York",2008,NA,69.1743319084721,1
"29","New York",2009,NA,69.4141093024375,1
"30","New York",2010,69.6538866964029,69.6538866964029,0
"31","Rhode Island",2006,76.3099068314533,76.3099068314533,0
"32","Rhode Island",2007,NA,80.0872367250259,1
"33","Rhode Island",2008,NA,83.8645666185986,1
"34","Rhode Island",2009,NA,87.6418965121712,1
"35","Rhode Island",2010,91.4192264057438,91.4192264057438,0
