"","scenario_year","eco_coast_gdp_year","X","rgn_id","rgn_name","gdp_growth_rate","status"
"1",2005,2008,25,5,"Connecticut",0.0524468159867093,1
"2",2005,2008,26,6,"Maine",-0.0486181942257891,0.761763047800639
"3",2005,2008,27,10,"New York",0.0754163651795157,1
"4",2005,2008,28,11,"Rhode Island",-0.0261552485571822,0.829832580129751
"5",2005,2008,29,7,"Massachusetts-North",0.00281830625206081,0.917631231066851
"6",2005,2008,30,8,"Massachusetts-South",-0.0505352092138246,0.755953911473259
"7",2005,2008,31,9,"New Hampshire",-0.232602513561497,0.204234807389403
"8",2005,2008,32,12,"Northeast",0.0414252769809236,1
"9",2005,2008,109,1,"Offshore",NA,NA
"10",2005,2008,110,2,"Georges Bank",NA,NA
"11",2005,2008,111,3,"Gulf of Maine",NA,NA
"12",2005,2008,112,4,"Mid-Atlantic Bight",NA,NA
"13",2006,2008,25,5,"Connecticut",0.0524468159867093,1
"14",2006,2008,26,6,"Maine",-0.0486181942257891,0.761763047800639
"15",2006,2008,27,10,"New York",0.0754163651795157,1
"16",2006,2008,28,11,"Rhode Island",-0.0261552485571822,0.829832580129751
"17",2006,2008,29,7,"Massachusetts-North",0.00281830625206081,0.917631231066851
"18",2006,2008,30,8,"Massachusetts-South",-0.0505352092138246,0.755953911473259
"19",2006,2008,31,9,"New Hampshire",-0.232602513561497,0.204234807389403
"20",2006,2008,32,12,"Northeast",0.0414252769809236,1
"21",2006,2008,109,1,"Offshore",NA,NA
"22",2006,2008,110,2,"Georges Bank",NA,NA
"23",2006,2008,111,3,"Gulf of Maine",NA,NA
"24",2006,2008,112,4,"Mid-Atlantic Bight",NA,NA
"25",2007,2008,25,5,"Connecticut",0.0524468159867093,1
"26",2007,2008,26,6,"Maine",-0.0486181942257891,0.761763047800639
"27",2007,2008,27,10,"New York",0.0754163651795157,1
"28",2007,2008,28,11,"Rhode Island",-0.0261552485571822,0.829832580129751
"29",2007,2008,29,7,"Massachusetts-North",0.00281830625206081,0.917631231066851
"30",2007,2008,30,8,"Massachusetts-South",-0.0505352092138246,0.755953911473259
"31",2007,2008,31,9,"New Hampshire",-0.232602513561497,0.204234807389403
"32",2007,2008,32,12,"Northeast",0.0414252769809236,1
"33",2007,2008,109,1,"Offshore",NA,NA
"34",2007,2008,110,2,"Georges Bank",NA,NA
"35",2007,2008,111,3,"Gulf of Maine",NA,NA
"36",2007,2008,112,4,"Mid-Atlantic Bight",NA,NA
"37",2008,2008,25,5,"Connecticut",0.0524468159867093,1
"38",2008,2008,26,6,"Maine",-0.0486181942257891,0.761763047800639
"39",2008,2008,27,10,"New York",0.0754163651795157,1
"40",2008,2008,28,11,"Rhode Island",-0.0261552485571822,0.829832580129751
"41",2008,2008,29,7,"Massachusetts-North",0.00281830625206081,0.917631231066851
"42",2008,2008,30,8,"Massachusetts-South",-0.0505352092138246,0.755953911473259
"43",2008,2008,31,9,"New Hampshire",-0.232602513561497,0.204234807389403
"44",2008,2008,32,12,"Northeast",0.0414252769809236,1
"45",2008,2008,109,1,"Offshore",NA,NA
"46",2008,2008,110,2,"Georges Bank",NA,NA
"47",2008,2008,111,3,"Gulf of Maine",NA,NA
"48",2008,2008,112,4,"Mid-Atlantic Bight",NA,NA
"49",2009,2009,33,5,"Connecticut",0.0657773621887747,1
"50",2009,2009,34,6,"Maine",-0.0900390028107998,0.636245446027879
"51",2009,2009,35,10,"New York",0.00611199094439474,0.927612093770893
"52",2009,2009,36,11,"Rhode Island",-0.0771996435023453,0.675152595447438
"53",2009,2009,37,7,"Massachusetts-North",-0.034677501473931,0.804007571291118
"54",2009,2009,38,8,"Massachusetts-South",0.0842119659868643,1
