state,year,rgn_id,rgn_name,rgn_gdp,gdp_avg_3yr,gdp_prev_3yr,gdp_growth_rate
Connecticut,2005,5,Connecticut,3207644000,3207644000,NA,NA
Maine,2005,6,Maine,2140566000,2140566000,NA,NA
New York,2005,10,New York,17650469000,17650469000,NA,NA
Rhode Island,2005,11,Rhode Island,2103963000,2103963000,NA,NA
Massachusetts,2005,7,Massachusetts-Gulf of Maine,2199981000,2199981000,NA,NA
Massachusetts,2005,8,Massachusetts-Virginian,1152320000,1152320000,NA,NA
New Hampshire,2005,9,New Hampshire,391665000,391665000,NA,NA
Connecticut,2006,5,Connecticut,3232611000,3220127500,3207644000,NA
Maine,2006,6,Maine,2209359000,2174962500,2140566000,NA
New York,2006,10,New York,17758154000,17704311500,17650469000,NA
Rhode Island,2006,11,Rhode Island,2087640000,2095801500,2103963000,NA
Massachusetts,2006,7,Massachusetts-Gulf of Maine,2202558000,2201269500,2199981000,NA
Massachusetts,2006,8,Massachusetts-Virginian,1236317000,1194318500,1152320000,NA
New Hampshire,2006,9,New Hampshire,412106000,401885500,391665000,NA
Connecticut,2007,5,Connecticut,3691361000,3377205333.3333335,3220127500,NA
Maine,2007,6,Maine,2209101000,2186342000,2174962500,NA
New York,2007,10,New York,18280785000,17896469333.333332,17704311500,NA
Rhode Island,2007,11,Rhode Island,1942921000,2044841333.3333333,2095801500,NA
Massachusetts,2007,7,Massachusetts-Gulf of Maine,2203379000,2201972666.6666665,2201269500,NA
Massachusetts,2007,8,Massachusetts-Virginian,1396892000,1261843000,1194318500,NA
New Hampshire,2007,9,New Hampshire,394290000,399353666.6666667,401885500,NA
Connecticut,2008,5,Connecticut,3554329000,3492767000,3377205333.3333335,0.052446815986709305
Maine,2008,6,Maine,2080046000,2166168666.6666665,2186342000,-0.04861819422578906
New York,2008,10,New York,19246156000,18428365000,17896469333.333332,0.07541636517951567
Rhode Island,2008,11,Rhode Island,1991358000,2007306333.3333333,2044841333.3333333,-0.02615524855718221
Massachusetts,2008,7,Massachusetts-Gulf of Maine,2208178500,2204705166.6666665,2201972666.6666665,0.0028183062520608093
Massachusetts,2008,8,Massachusetts-Virginian,1198075500,1277094833.3333333,1261843000,-0.050535209213824595
New Hampshire,2008,9,New Hampshire,306463000,370953000,399353666.6666667,-0.23260251356149653
Connecticut,2009,5,Connecticut,3722512000,3656067333.3333335,3492767000,0.06577736218877472
Maine,2009,6,Maine,1971129000,2086758666.6666667,2166168666.6666665,-0.0900390028107998
New York,2009,10,New York,18540999000,18689313333.333332,18428365000,0.006111990944394741
Rhode Island,2009,11,Rhode Island,1852343000,1928874000,2007306333.3333333,-0.07719964350234532
Massachusetts,2009,7,Massachusetts-Gulf of Maine,2128251500,2179936333.3333335,2204705166.6666665,-0.034677501473931005
Massachusetts,2009,8,Massachusetts-Virginian,1384641500,1326536333.3333333,1277094833.3333333,0.08421196598686431
