"","stockid","stocklong","year","value","metric","scientificname","commonname","areaname"
"1","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1913,2.346200091,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank"
"2","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1914,2.346189419,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank"
"3","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1915,2.346132502,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank"
"4","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1916,2.346079143,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank"
"5","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1917,2.346050684,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank"
"6","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1918,2.34612183,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank"
"7","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1919,2.346474003,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank"
"8","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1920,2.347142776,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank"
"9","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1921,2.34804633,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank"
"10","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1922,2.349202453,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank"
"11","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1923,2.350543556,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank"
"12","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1924,2.351980705,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank"
"13","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1925,2.353478329,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank"
"14","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1926,2.355075557,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank"
"15","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1927,2.356708358,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank"
"16","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1928,2.358334045,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank"
"17","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1929,2.359941945,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank"
"18","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1930,2.361571189,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank"
"19","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1931,2.363068812,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank"
"20","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1932,2.364498847,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank"
"21","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1933,2.365921768,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank"
"22","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1934,2.366629671,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank"
"23","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1935,2.356605197,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank"
"24","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1936,2.309951194,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank"
"25","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1937,2.243657332,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank"
"26","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1938,2.187309684,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank"
"27","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1939,2.113356954,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank"
"28","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1940,2.029244572,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank"
"29","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1941,1.909185663,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank"
"30","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1942,1.735319019,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank"
"31","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1943,1.565738923,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank"
"32","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1944,1.411462335,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank"
"33","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1945,1.275114545,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank"
"34","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1946,1.160181707,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank"
"35","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1947,1.042552435,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank"
"36","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1948,0.926641339,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank"
"37","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1949,0.825375651,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank"
"38","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1950,0.745773926,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank"
"39","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1951,0.666858761,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank"
"40","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1952,0.609998862,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank"
"41","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1953,0.577719912,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank"
"42","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1954,0.56078716,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank"
"43","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1955,0.550890748,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank"
"44","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1956,0.538956003,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank"
"45","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1957,0.520408236,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank"
"46","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1958,0.497132815,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank"
"47","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1959,0.479378326,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank"
"48","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1960,0.468613933,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank"
"49","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1961,0.462530949,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank"
"50","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1962,0.451044424,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank"
"51","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1963,0.445167762,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank"
"52","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1964,0.450080395,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank"
"53","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1965,0.45941831,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank"
"54","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1966,0.469204445,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank"
"55","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1967,0.475095336,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank"
"56","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1968,0.481537608,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank"
"57","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1969,0.486934033,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank"
"58","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1970,0.471402857,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank"
"59","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1971,0.436786761,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank"
"60","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1972,0.390275051,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank"
"61","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1973,0.342496941,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank"
