year,state,species,market,prop
2003,MA,BUTTERFISH,FOOD,1
2003,MA,"FLOUNDER, SUMMER",FOOD,1
2003,MA,HADDOCK,FOOD,1
2003,MA,"HAKE, SILVER",FOOD,1
2003,MA,"HERRING, ATLANTIC",BAIT,0.12729028708736764
2003,MA,"HERRING, ATLANTIC",FOOD,0.8727097129126323
2003,MA,LOBSTER,FOOD,1
2003,MA,"MACKEREL, ATLANTIC",FOOD,1
2003,MA,SKATES,FOOD,1
2003,ME,HADDOCK,FOOD,1
2003,ME,"HAKE, SILVER",FOOD,1
2003,ME,"HERRING, ATLANTIC",FOOD,0.14838346565510316
2003,ME,"HERRING, ATLANTIC",BAIT,0.8516165343448968
2003,ME,LOBSTER,FOOD,1
2003,ME,"QUAHOG, OCEAN",FOOD,1
2003,ME,SKATES,FOOD,1
2003,NH,HADDOCK,FOOD,1
2003,NH,"HAKE, SILVER",FOOD,1
2003,NH,"HERRING, ATLANTIC",FOOD,0.08880900757454746
2003,NH,"HERRING, ATLANTIC",BAIT,0.9111909924254525
2003,NH,LOBSTER,FOOD,1
2003,NH,"MACKEREL, ATLANTIC",FOOD,1
2003,NH,SKATES,FOOD,1
2003,NY,BUTTERFISH,FOOD,1
2003,NY,"CLAM, SURF",FOOD,1
2003,NY,DOGFISH SMOOTH,FOOD,1
2003,NY,"FLOUNDER, SUMMER",FOOD,1
2003,NY,HADDOCK,FOOD,1
2003,NY,"HAKE, SILVER",FOOD,1
2003,NY,HERRING (NK),FOOD,1
2003,NY,LOBSTER,FOOD,1
2003,NY,"MACKEREL, ATLANTIC",FOOD,1
2003,NY,MENHADEN,FOOD,1
2003,NY,SEA ROBINS,FOOD,1
2003,NY,SKATES,FOOD,1
2003,RI,BUTTERFISH,FOOD,1
2003,RI,DOGFISH SMOOTH,FOOD,1
2003,RI,"FLOUNDER, SUMMER",FOOD,1
2003,RI,HADDOCK,FOOD,1
2003,RI,"HAKE, SILVER",FOOD,1
2003,RI,"HERRING, ATLANTIC",FOOD,0.80149216817071
2003,RI,"HERRING, ATLANTIC",BAIT,0.19850783182928997
2003,RI,LOBSTER,FOOD,1
2003,RI,"MACKEREL, ATLANTIC",FOOD,1
2003,RI,SEA ROBINS,FOOD,1
2003,RI,SKATES,FOOD,1
2004,MA,BUTTERFISH,FOOD,1
2004,MA,"CLAM, SURF",FOOD,1
2004,MA,"FLOUNDER, SUMMER",FOOD,1
2004,MA,HADDOCK,FOOD,1
2004,MA,"HAKE, SILVER",FOOD,1
2004,MA,"HERRING, ATLANTIC",FOOD,0.5359400904232114
2004,MA,"HERRING, ATLANTIC",BAIT,0.4640599095767885
2004,MA,LOBSTER,FOOD,1
2004,MA,"MACKEREL, ATLANTIC",FOOD,1
2004,MA,SKATES,FOOD,1
2004,ME,BUTTERFISH,FOOD,1
2004,ME,HADDOCK,FOOD,1
2004,ME,"HAKE, SILVER",FOOD,1
2004,ME,"HERRING, ATLANTIC",BAIT,0.6949059426318399
2004,ME,"HERRING, ATLANTIC",FOOD,0.3050940573681601
2004,ME,LOBSTER,FOOD,1
2004,ME,"MACKEREL, ATLANTIC",FOOD,1
2004,ME,"QUAHOG, OCEAN",FOOD,1
2004,ME,SKATES,FOOD,1
2004,NH,HADDOCK,FOOD,1
2004,NH,"HAKE, SILVER",FOOD,1
2004,NH,"HERRING, ATLANTIC",BAIT,1
2004,NH,LOBSTER,FOOD,1
2004,NH,"MACKEREL, ATLANTIC",FOOD,1
2004,NH,SKATES,FOOD,1
2004,NY,BUTTERFISH,FOOD,1
2004,NY,"CLAM, SURF",FOOD,1
2004,NY,DOGFISH SMOOTH,FOOD,1
2004,NY,"FLOUNDER, SUMMER",FOOD,1
2004,NY,HADDOCK,FOOD,1
2004,NY,"HAKE, SILVER",FOOD,1
2004,NY,HERRING (NK),FOOD,1
2004,NY,"HERRING, ATLANTIC",FOOD,1
2004,NY,LOBSTER,FOOD,1
2004,NY,"MACKEREL, ATLANTIC",FOOD,1
2004,NY,MENHADEN,BAIT,0.1222582996487973
2004,NY,MENHADEN,FOOD,0.8777417003512027
2004,NY,SEA ROBINS,FOOD,1
2004,NY,"SKATE, LITTLE",FOOD,1
2004,NY,SKATES,FOOD,1
2004,RI,BUTTERFISH,FOOD,1
2004,RI,DOGFISH SMOOTH,FOOD,1
2004,RI,"FLOUNDER, SUMMER",FOOD,1
2004,RI,HADDOCK,FOOD,1
2004,RI,"HAKE, SILVER",FOOD,1
2004,RI,"HERRING, ATLANTIC",FOOD,0.5933907387336649
2004,RI,"HERRING, ATLANTIC",BAIT,0.40660926126633506
2004,RI,LOBSTER,FOOD,1
2004,RI,"MACKEREL, ATLANTIC",FOOD,1
2004,RI,SEA ROBINS,FOOD,1
2004,RI,SKATES,FOOD,1
2005,MA,BUTTERFISH,FOOD,1
2005,MA,"CLAM, SURF",FOOD,1
2005,MA,DOGFISH SMOOTH,FOOD,1
2005,MA,"FLOUNDER, SUMMER",FOOD,1
2005,MA,HADDOCK,FOOD,1
2005,MA,"HAKE, SILVER",FOOD,1
2005,MA,"HERRING, ATLANTIC",CANNED PET FOOD,0.06393791592149974
2005,MA,"HERRING, ATLANTIC",FOOD,0.34878929844262585
2005,MA,"HERRING, ATLANTIC",BAIT,0.5872727856358744
2005,MA,LOBSTER,FOOD,1
2005,MA,"MACKEREL, ATLANTIC",BAIT,0.07726968418790585
