year,species,market,pounds_live_by_market,total_pounds_live,prop
2003,"HERRING, ATLANTIC",BAIT,112141279,208564552,0.5376813937202521
2003,"HERRING, ATLANTIC",FOOD,96423273,208564552,0.46231860627974786
2004,"HERRING, ATLANTIC",FOOD,70335304,184805246,0.3805914903519568
2004,"HERRING, ATLANTIC",BAIT,114469942,184805246,0.6194085096480432
2004,MENHADEN,BAIT,9225,75455,0.1222582996487973
2004,MENHADEN,FOOD,66230,75455,0.8777417003512027
2005,"HERRING, ATLANTIC",CANNED PET FOOD,20438702,212764466,0.09606257277942266
2005,"HERRING, ATLANTIC",FOOD,60311918,212764466,0.283468001653998
2005,"HERRING, ATLANTIC",BAIT,132013846,212764466,0.6204694255665794
2005,"MACKEREL, ATLANTIC",BAIT,4098205,59771631,0.06856438299299546
2005,"MACKEREL, ATLANTIC",FOOD,55673426,59771631,0.9314356170070045
2005,"SKATE, LITTLE",FOOD,557399,7483854,0.07448020765771218
2005,"SKATE, LITTLE",BAIT,6926455,7483854,0.9255197923422878
2006,"HERRING, ATLANTIC",FOOD,57875792,205543087,0.2815749867569129
2006,"HERRING, ATLANTIC",BAIT,139197635,205543087,0.6772187624096547
2006,"MACKEREL, ATLANTIC",BAIT,14923532,100320550,0.14875847470931927
2006,"MACKEREL, ATLANTIC",FOOD,85397018,100320550,0.8512415252906808
2006,"HERRING, ATLANTIC",CANNED PET FOOD,8469660,205543087,0.04120625083343231
2006,"SKATE, LITTLE",FOOD,321716,6196426,0.05191960656029782
2006,"SKATE, LITTLE",BAIT,5874710,6196426,0.9480803934397022
2007,BUTTERFISH,FOOD,1130036,1132939,0.9974376378604674
2007,"MACKEREL, ATLANTIC",FOOD,45900426,49980460,0.9183674179869493
2007,"HERRING, ATLANTIC",FOOD,48863441,155522105,0.3141896838394774
2007,"HERRING, ATLANTIC",BAIT,106658664,155522105,0.6858103161605227
2007,"MACKEREL, ATLANTIC",BAIT,4080034,49980460,0.0816325820130507
2007,HERRING (NK),BAIT,928080,930102,0.9978260448853997
2007,BUTTERFISH,BAIT,2903,1132939,0.002562362139532667
2007,HERRING (NK),FOOD,2022,930102,0.002173955114600334
2008,"MACKEREL, ATLANTIC",FOOD,31069477,36310451,0.8556621067581892
2008,"HERRING, ATLANTIC",FOOD,62519734,166008772,0.37660500253564916
2008,"HERRING, ATLANTIC",BAIT,103489038,166008772,0.6233949974643509
2008,"MACKEREL, ATLANTIC",BAIT,5240974,36310451,0.14433789324181073
2008,"SKATE, LITTLE",FOOD,108156,7745301,0.013964079640029483
2008,"SKATE, LITTLE",BAIT,7637145,7745301,0.9860359203599706
2009,"MACKEREL, ATLANTIC",FOOD,35174458,38100860,0.9231932822513718
2009,"CRAB, HORSESHOE",BAIT,231233,625632,0.3695990614290829
2009,"CRAB, HORSESHOE",FOOD,394399,625632,0.6304009385709171
2009,"HERRING, ATLANTIC",FOOD,94738063,209976576,0.4511839596812932
2009,"HERRING, ATLANTIC",BAIT,115238513,209976576,0.5488160403187068
2009,"MACKEREL, ATLANTIC",BAIT,2926402,38100860,0.07680671774862824
2009,MENHADEN,BAIT,6736051,6762131,0.9961432276304615
2009,"SKATE, LITTLE",BAIT,8103290,8174628,0.9912732420362126
2009,MENHADEN,FOOD,26080,6762131,0.0038567723695385374
2009,"SKATE, LITTLE",FOOD,71338,8174628,0.008726757963787465
2010,"MACKEREL, ATLANTIC",FOOD,14630479,16747317,0.8736013655202204
