"","X","stockid","stocklong","year","value","metric","scientificname","commonname","areaname","common_noaa"
"1",1,"ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1913,2.346200091,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank","acadian redfish"
"2",2,"ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1914,2.346189419,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank","acadian redfish"
"3",3,"ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1915,2.346132502,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank","acadian redfish"
"4",4,"ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1916,2.346079143,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank","acadian redfish"
"5",5,"ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1917,2.346050684,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank","acadian redfish"
"6",6,"ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1918,2.34612183,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank","acadian redfish"
"7",7,"ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1919,2.346474003,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank","acadian redfish"
"8",8,"ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1920,2.347142776,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank","acadian redfish"
"9",9,"ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1921,2.34804633,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank","acadian redfish"
"10",10,"ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1922,2.349202453,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank","acadian redfish"
"11",11,"ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1923,2.350543556,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank","acadian redfish"
"12",12,"ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1924,2.351980705,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank","acadian redfish"
"13",13,"ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1925,2.353478329,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank","acadian redfish"
"14",14,"ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1926,2.355075557,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank","acadian redfish"
"15",15,"ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1927,2.356708358,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank","acadian redfish"
"16",16,"ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1928,2.358334045,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank","acadian redfish"
"17",17,"ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1929,2.359941945,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank","acadian redfish"
"18",18,"ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1930,2.361571189,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank","acadian redfish"
"19",19,"ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1931,2.363068812,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank","acadian redfish"
"20",20,"ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1932,2.364498847,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank","acadian redfish"
"21",21,"ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1933,2.365921768,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank","acadian redfish"
"22",22,"ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1934,2.366629671,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank","acadian redfish"
"23",23,"ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1935,2.356605197,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank","acadian redfish"
"24",24,"ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1936,2.309951194,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank","acadian redfish"
"25",25,"ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1937,2.243657332,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank","acadian redfish"
"26",26,"ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1938,2.187309684,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank","acadian redfish"
