"Year","State","AFS Name","Pounds","Dollars","Collection","Confidentiality"
"2017","CONNECTICUT","LOBSTER, AMERICAN ","130,015","724,615","Commercial","Public"
"2017","MAINE","LOBSTER, AMERICAN ","112,064,776","438,894,687","Commercial","Public"
"2017","MASSACHUSETTS","LOBSTER, AMERICAN ","16,495,767","81,207,463","Commercial","Public"
"2017","NEW HAMPSHIRE","LOBSTER, AMERICAN ","5,513,999","31,722,708","Commercial","Public"
"2017","NEW YORK","LOBSTER, AMERICAN ","150,317","760,603","Commercial","Public"
"2017","RHODE ISLAND","LOBSTER, AMERICAN ","2,031,143","11,016,435","Commercial","Public"
"2016","CONNECTICUT","LOBSTER, AMERICAN ","254,346","1,298,145","Commercial","Public"
"2016","MAINE","LOBSTER, AMERICAN ","132,661,463","540,962,331","Commercial","Public"
"2016","MASSACHUSETTS","LOBSTER, AMERICAN ","17,787,436","82,393,992","Commercial","Public"
"2016","NEW HAMPSHIRE","LOBSTER, AMERICAN ","5,782,056","30,372,394","Commercial","Public"
"2016","NEW YORK","LOBSTER, AMERICAN ","218,846","1,037,330","Commercial","Public"
"2016","RHODE ISLAND","LOBSTER, AMERICAN ","2,260,335","11,889,279","Commercial","Public"
"2015","CONNECTICUT","LOBSTER, AMERICAN ","205,099","1,072,845","Commercial","Public"
"2015","MAINE","LOBSTER, AMERICAN ","122,685,834","502,565,164","Commercial","Public"
"2015","MASSACHUSETTS","LOBSTER, AMERICAN ","16,450,414","78,289,752","Commercial","Public"
"2015","NEW HAMPSHIRE","LOBSTER, AMERICAN ","4,721,826","24,543,716","Commercial","Public"
"2015","NEW YORK","LOBSTER, AMERICAN ","147,414","710,535","Commercial","Public"
"2015","RHODE ISLAND","LOBSTER, AMERICAN ","2,315,708","12,367,658","Commercial","Public"
"2014","CONNECTICUT","LOBSTER, AMERICAN ","127,409","608,388","Commercial","Public"
"2014","MAINE","LOBSTER, AMERICAN ","124,952,430","461,896,361","Commercial","Public"
"2014","MASSACHUSETTS","LOBSTER, AMERICAN ","15,322,852","68,375,854","Commercial","Public"
"2014","NEW HAMPSHIRE","LOBSTER, AMERICAN ","4,374,656","20,750,561","Commercial","Public"
"2014","NEW YORK","LOBSTER, AMERICAN ","222,843","984,966","Commercial","Public"
"2014","RHODE ISLAND","LOBSTER, AMERICAN ","2,412,875","11,709,382","Commercial","Public"
"2013","CONNECTICUT","LOBSTER, AMERICAN ","127,420","576,973","Commercial","Public"
"2013","MAINE","LOBSTER, AMERICAN ","128,015,530","371,077,724","Commercial","Public"
"2013","MASSACHUSETTS","LOBSTER, AMERICAN ","15,158,509","58,663,200","Commercial","Public"
"2013","NEW HAMPSHIRE","LOBSTER, AMERICAN ","3,817,707","16,602,039","Commercial","Public"
"2013","NEW YORK","LOBSTER, AMERICAN ","496,535","938,450","Commercial","Public"
"2013","RHODE ISLAND","LOBSTER, AMERICAN ","2,155,762","9,731,955","Commercial","Public"
"2012","CONNECTICUT","LOBSTER, AMERICAN ","247,857","1,056,753","Commercial","Public"
"2012","MAINE","LOBSTER, AMERICAN ","127,461,553","342,518,903","Commercial","Public"
