species,stock_id,stock,rgn_id,year,rgn_name,catch,display_name
ALEWIFE,NA,NA,3,1998,Gulf of Maine,2626.916275785557,ALEWIFE
ALEWIFE,NA,NA,3,1999,Gulf of Maine,43.393538969844016,ALEWIFE
ALEWIFE,NA,NA,3,2000,Gulf of Maine,241.0752164991334,ALEWIFE
ALEWIFE,NA,NA,3,2003,Gulf of Maine,46.60787518983246,ALEWIFE
ALEWIFE,NA,NA,3,2006,Gulf of Maine,0,ALEWIFE
ALEWIFE,NA,NA,3,2007,Gulf of Maine,0,ALEWIFE
ALEWIFE,NA,NA,4,2012,Mid-Atlantic Bight,562.2098480077689,ALEWIFE
ALEWIFE,NA,NA,4,2013,Mid-Atlantic Bight,5806.03887600197,ALEWIFE
ALEWIFE,NA,NA,4,2014,Mid-Atlantic Bight,0,ALEWIFE
ALEWIFE,NA,NA,4,2015,Mid-Atlantic Bight,0,ALEWIFE
ALEWIFE,NA,NA,4,2016,Mid-Atlantic Bight,0,ALEWIFE
ALEWIFE,NA,NA,4,2017,Mid-Atlantic Bight,0,ALEWIFE
ALEWIFE,NA,NA,5,2013,Connecticut,0,ALEWIFE
ALEWIFE,NA,NA,5,2014,Connecticut,0,ALEWIFE
ALEWIFE,NA,NA,5,2016,Connecticut,0,ALEWIFE
ALEWIFE,NA,NA,5,2017,Connecticut,0,ALEWIFE
ALEWIFE,NA,NA,6,1998,Maine,563.4689671764719,ALEWIFE
ALEWIFE,NA,NA,6,1999,Maine,9.307838552318593,ALEWIFE
ALEWIFE,NA,NA,6,2000,Maine,51.71021417954774,ALEWIFE
ALEWIFE,NA,NA,6,2003,Maine,9.997308074712564,ALEWIFE
ALEWIFE,NA,NA,6,2006,Maine,0,ALEWIFE
ALEWIFE,NA,NA,6,2007,Maine,0,ALEWIFE
ALEWIFE,NA,NA,7,1998,Massachusetts-North,7.093885265091566,ALEWIFE
ALEWIFE,NA,NA,7,1999,Massachusetts-North,0.1171825647950274,ALEWIFE
ALEWIFE,NA,NA,7,2000,Massachusetts-North,0.6510142488612634,ALEWIFE
ALEWIFE,NA,NA,7,2003,Massachusetts-North,0.12586275477984424,ALEWIFE
ALEWIFE,NA,NA,7,2006,Massachusetts-North,0,ALEWIFE
ALEWIFE,NA,NA,7,2007,Massachusetts-North,0,ALEWIFE
ALEWIFE,NA,NA,8,2012,Massachusetts-South,2.3543697157521926e-4,ALEWIFE
ALEWIFE,NA,NA,8,2013,Massachusetts-South,0.002431398551017563,ALEWIFE
ALEWIFE,NA,NA,8,2014,Massachusetts-South,0,ALEWIFE
ALEWIFE,NA,NA,8,2015,Massachusetts-South,0,ALEWIFE
ALEWIFE,NA,NA,8,2016,Massachusetts-South,0,ALEWIFE
ALEWIFE,NA,NA,8,2017,Massachusetts-South,0,ALEWIFE
ALEWIFE,NA,NA,9,1998,New Hampshire,57.287057322158866,ALEWIFE
ALEWIFE,NA,NA,9,1999,New Hampshire,0.9463141925348971,ALEWIFE
ALEWIFE,NA,NA,9,2000,New Hampshire,5.257301069638317,ALEWIFE
ALEWIFE,NA,NA,9,2003,New Hampshire,1.0164115401300746,ALEWIFE
ALEWIFE,NA,NA,9,2006,New Hampshire,0,ALEWIFE
ALEWIFE,NA,NA,9,2007,New Hampshire,0,ALEWIFE
ALEWIFE,NA,NA,10,2013,New York,0,ALEWIFE
ALEWIFE,NA,NA,10,2014,New York,0,ALEWIFE
ALEWIFE,NA,NA,10,2016,New York,0,ALEWIFE
ALEWIFE,NA,NA,10,2017,New York,0,ALEWIFE
ALEWIFE,NA,NA,11,2012,Rhode Island,355.9916821481429,ALEWIFE
ALEWIFE,NA,NA,11,2013,Rhode Island,3676.388013140767,ALEWIFE
ALEWIFE,NA,NA,11,2014,Rhode Island,0,ALEWIFE
ALEWIFE,NA,NA,11,2015,Rhode Island,0,ALEWIFE
ALEWIFE,NA,NA,11,2016,Rhode Island,0,ALEWIFE
ALEWIFE,NA,NA,11,2017,Rhode Island,0,ALEWIFE
"AMBERJACK, SPECIES NOT SPECIFIED",NA,NA,4,1998,Mid-Atlantic Bight,163.36792567656488,"AMBERJACK, SPECIES NOT SPECIFIED"
"AMBERJACK, SPECIES NOT SPECIFIED",NA,NA,5,1998,Connecticut,246.45769180214626,"AMBERJACK, SPECIES NOT SPECIFIED"
"AMBERJACK, SPECIES NOT SPECIFIED",NA,NA,8,1998,Massachusetts-South,1.8681411874990222e-5,"AMBERJACK, SPECIES NOT SPECIFIED"
"AMBERJACK, SPECIES NOT SPECIFIED",NA,NA,10,1998,New York,495.48697637310914,"AMBERJACK, SPECIES NOT SPECIFIED"
"AMBERJACK, SPECIES NOT SPECIFIED",NA,NA,11,1998,Rhode Island,53.121244977125784,"AMBERJACK, SPECIES NOT SPECIFIED"
BLACK SEA BASS,NA,NA,1,1996,Offshore,29471.171601276048,BLACK SEA BASS
BLACK SEA BASS,NA,NA,1,1997,Offshore,24347.581417518733,BLACK SEA BASS
BLACK SEA BASS,NA,NA,1,1998,Offshore,19639.084397726216,BLACK SEA BASS
BLACK SEA BASS,NA,NA,1,1999,Offshore,23511.276111405186,BLACK SEA BASS
BLACK SEA BASS,NA,NA,1,2000,Offshore,26995.716324187,BLACK SEA BASS
BLACK SEA BASS,NA,NA,1,2001,Offshore,58392.66973160369,BLACK SEA BASS
BLACK SEA BASS,NA,NA,1,2002,Offshore,49798.280894757365,BLACK SEA BASS
BLACK SEA BASS,NA,NA,1,2003,Offshore,14413.875801739729,BLACK SEA BASS
BLACK SEA BASS,NA,NA,1,2004,Offshore,30639.16964523409,BLACK SEA BASS
BLACK SEA BASS,NA,NA,1,2005,Offshore,19167.404904538562,BLACK SEA BASS
BLACK SEA BASS,NA,NA,1,2006,Offshore,26758.102923229395,BLACK SEA BASS
BLACK SEA BASS,NA,NA,1,2007,Offshore,33113.51132609688,BLACK SEA BASS
BLACK SEA BASS,NA,NA,1,2008,Offshore,18355.422427235313,BLACK SEA BASS
BLACK SEA BASS,NA,NA,1,2009,Offshore,6022.525768967805,BLACK SEA BASS
BLACK SEA BASS,NA,NA,1,2010,Offshore,9051.69180687028,BLACK SEA BASS
BLACK SEA BASS,NA,NA,1,2011,Offshore,10666.188247381202,BLACK SEA BASS
BLACK SEA BASS,NA,NA,1,2012,Offshore,5088.233790381262,BLACK SEA BASS
BLACK SEA BASS,NA,NA,1,2013,Offshore,7873.068695373604,BLACK SEA BASS
BLACK SEA BASS,NA,NA,1,2014,Offshore,8258.176427998298,BLACK SEA BASS
BLACK SEA BASS,NA,NA,1,2015,Offshore,7718.823282975358,BLACK SEA BASS
BLACK SEA BASS,NA,NA,1,2016,Offshore,11082.612666076593,BLACK SEA BASS
BLACK SEA BASS,NA,NA,1,2017,Offshore,25893.846279872378,BLACK SEA BASS
BLACK SEA BASS,NA,NA,2,1996,Georges Bank,31587.221169119657,BLACK SEA BASS
BLACK SEA BASS,NA,NA,2,1997,Georges Bank,34143.69193188102,BLACK SEA BASS
BLACK SEA BASS,NA,NA,2,1998,Georges Bank,44693.24066222934,BLACK SEA BASS
BLACK SEA BASS,NA,NA,2,1999,Georges Bank,106773.09456974348,BLACK SEA BASS
BLACK SEA BASS,NA,NA,2,2000,Georges Bank,102330.1101768779,BLACK SEA BASS
BLACK SEA BASS,NA,NA,2,2001,Georges Bank,67397.54998241755,BLACK SEA BASS
BLACK SEA BASS,NA,NA,2,2002,Georges Bank,96615.97289611609,BLACK SEA BASS
BLACK SEA BASS,NA,NA,2,2003,Georges Bank,49514.67427309979,BLACK SEA BASS
BLACK SEA BASS,NA,NA,2,2004,Georges Bank,51511.44152166087,BLACK SEA BASS
BLACK SEA BASS,NA,NA,2,2005,Georges Bank,58914.6908802013,BLACK SEA BASS
BLACK SEA BASS,NA,NA,2,2006,Georges Bank,56176.56656809971,BLACK SEA BASS
BLACK SEA BASS,NA,NA,2,2007,Georges Bank,46788.82487297968,BLACK SEA BASS
BLACK SEA BASS,NA,NA,2,2008,Georges Bank,22224.201364418142,BLACK SEA BASS
BLACK SEA BASS,NA,NA,2,2009,Georges Bank,11337.203765539669,BLACK SEA BASS
BLACK SEA BASS,NA,NA,2,2010,Georges Bank,20161.19987344953,BLACK SEA BASS
BLACK SEA BASS,NA,NA,2,2011,Georges Bank,17712.578528338632,BLACK SEA BASS
