"","year","stock","score","bPrime","fPrime","b_bmsy","f_fmsy","basis"
"1",2005,"Acadian redfish - Gulf of Maine / Georges Bank",0.925000011920929,0.925000011920929,NA,0.740000009536743,NA,"B_Bmsy only"
"2",2006,"Acadian redfish - Gulf of Maine / Georges Bank",0.925000011920929,0.925000011920929,NA,0.740000009536743,NA,"B_Bmsy only"
"3",2007,"Acadian redfish - Gulf of Maine / Georges Bank",0.625426107876454,0.925000011920929,0.676136324125709,0.740000009536743,0.174999997019768,"F_Fmsy, B_Bmsy"
"4",2008,"Acadian redfish - Gulf of Maine / Georges Bank",0.794999971985817,0.794999971985817,1,0.635999977588654,0.174999997019768,"F_Fmsy, B_Bmsy"
"5",2009,"Acadian redfish - Gulf of Maine / Georges Bank",0.794999971985817,0.794999971985817,1,0.635999977588654,0.174999997019768,"F_Fmsy, B_Bmsy"
"6",2010,"Acadian redfish - Gulf of Maine / Georges Bank",0.794999971985817,0.794999971985817,1,0.635999977588654,0.174999997019768,"F_Fmsy, B_Bmsy"
"7",2011,"Acadian redfish - Gulf of Maine / Georges Bank",0.794999971985817,0.794999971985817,1,0.635999977588654,0.174999997019768,"F_Fmsy, B_Bmsy"
"8",2012,"Acadian redfish - Gulf of Maine / Georges Bank",0.416875008380774,0.948750019073486,0.439393939393939,1.32299995422363,0.166666666666667,"F_Fmsy, B_Bmsy"
"9",2013,"Acadian redfish - Gulf of Maine / Georges Bank",0.407890636413217,0.948750019073486,0.42992424581087,1.32299995422363,0.158333336313566,"F_Fmsy, B_Bmsy"
"10",2014,"Acadian redfish - Gulf of Maine / Georges Bank",0.39890626444566,0.948750019073486,0.420454552227801,1.32299995422363,0.150000005960464,"F_Fmsy, B_Bmsy"
"11",2015,"Acadian redfish - Gulf of Maine / Georges Bank",0.511363635460536,1,0.511363635460536,1.16999995708466,0.229999999205271,"F_Fmsy, B_Bmsy"
"12",2016,"Acadian redfish - Gulf of Maine / Georges Bank",0.602272718693271,1,0.602272718693271,1.16999995708466,0.309999992450078,"F_Fmsy, B_Bmsy"
"13",2017,"Acadian redfish - Gulf of Maine / Georges Bank",0.581410971232737,0.894999990860621,0.649621203541756,1.45200002193451,0.351666659116745,"F_Fmsy, B_Bmsy"
"14",2018,"Acadian redfish - Gulf of Maine / Georges Bank",0.54242423607695,0.894999990860621,0.606060605157505,1.45200002193451,0.313333332538605,"F_Fmsy, B_Bmsy"
"15",2005,"American plaice - Gulf of Maine / Georges Bank",0.625,0.625,NA,0.5,NA,"B_Bmsy only"
"16",2006,"American plaice - Gulf of Maine / Georges Bank",0.625,0.625,NA,0.5,NA,"B_Bmsy only"
"17",2007,"American plaice - Gulf of Maine / Georges Bank",0.410937494598329,0.625,0.657499991357327,0.5,0.474000006914139,"F_Fmsy, B_Bmsy"
"18",2008,"American plaice - Gulf of Maine / Georges Bank",0.431681182985258,0.632499977946281,0.682499917844931,0.505999982357025,0.474000006914139,"F_Fmsy, B_Bmsy"
"19",2009,"American plaice - Gulf of Maine / Georges Bank",0.431681182985258,0.632499977946281,0.682499917844931,0.505999982357025,0.474000006914139,"F_Fmsy, B_Bmsy"
"20",2010,"American plaice - Gulf of Maine / Georges Bank",0.431681182985258,0.632499977946281,0.682499917844931,0.505999982357025,0.474000006914139,"F_Fmsy, B_Bmsy"
"21",2011,"American plaice - Gulf of Maine / Georges Bank",0.431681182985258,0.632499977946281,0.682499917844931,0.505999982357025,0.474000006914139,"F_Fmsy, B_Bmsy"
"22",2012,"American plaice - Gulf of Maine / Georges Bank",0.672604213673622,0.733750015497208,0.91666671137015,0.587000012397766,0.556666672229767,"F_Fmsy, B_Bmsy"
"23",2013,"American plaice - Gulf of Maine / Georges Bank",0.596783379978066,0.733750015497208,0.813333379725615,0.587000012397766,0.639333337545395,"F_Fmsy, B_Bmsy"
"24",2014,"American plaice - Gulf of Maine / Georges Bank",0.520962546282511,0.733750015497208,0.71000004808108,0.587000012397766,0.722000002861023,"F_Fmsy, B_Bmsy"
"25",2015,"American plaice - Gulf of Maine / Georges Bank",1,1,1,0.839999973773956,0.677999993165334,"F_Fmsy, B_Bmsy"
"26",2016,"American plaice - Gulf of Maine / Georges Bank",0.970454526670051,1,0.970454526670051,0.839999973773956,0.633999983469645,"F_Fmsy, B_Bmsy"
"27",2017,"American plaice - Gulf of Maine / Georges Bank",0.888257554083159,1,0.888257554083159,0.989000022411346,0.56166664759318,"F_Fmsy, B_Bmsy"
"28",2018,"American plaice - Gulf of Maine / Georges Bank",0.856060592514096,1,0.856060592514096,0.989000022411346,0.533333321412404,"F_Fmsy, B_Bmsy"
"29",2005,"Atlantic cod - Georges Bank",0.130000002682209,0.130000002682209,NA,0.104000002145767,NA,"B_Bmsy only"
"30",2006,"Atlantic cod - Georges Bank",0.130000002682209,0.130000002682209,NA,0.104000002145767,NA,"B_Bmsy only"
"31",2007,"Atlantic cod - Georges Bank",0,0.130000002682209,0,0.104000002145767,1.33299994468689,"F_Fmsy, B_Bmsy"
"32",2008,"Atlantic cod - Georges Bank",0,0.148750003427267,0,0.119000002741814,1.28866664568583,"F_Fmsy, B_Bmsy"
"33",2009,"Atlantic cod - Georges Bank",0,0.148750003427267,0,0.119000002741814,1.24433334668477,"F_Fmsy, B_Bmsy"
