"","stockid","stocklong","year","value","metric","scientificname","commonname","areaname"
"1","ALBANATL","Albacore tuna North Atlantic",1930,2.72,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic"
"2","ALBANATL","Albacore tuna North Atlantic",1931,2.69,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic"
"3","ALBANATL","Albacore tuna North Atlantic",1932,2.65,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic"
"4","ALBANATL","Albacore tuna North Atlantic",1933,2.63,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic"
"5","ALBANATL","Albacore tuna North Atlantic",1934,2.61,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic"
"6","ALBANATL","Albacore tuna North Atlantic",1935,2.57,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic"
"7","ALBANATL","Albacore tuna North Atlantic",1936,2.53,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic"
"8","ALBANATL","Albacore tuna North Atlantic",1937,2.51,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic"
"9","ALBANATL","Albacore tuna North Atlantic",1938,2.49,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic"
"10","ALBANATL","Albacore tuna North Atlantic",1939,2.48,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic"
"11","ALBANATL","Albacore tuna North Atlantic",1940,2.46,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic"
"12","ALBANATL","Albacore tuna North Atlantic",1941,2.45,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic"
"13","ALBANATL","Albacore tuna North Atlantic",1942,2.44,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic"
"14","ALBANATL","Albacore tuna North Atlantic",1943,2.43,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic"
"15","ALBANATL","Albacore tuna North Atlantic",1944,2.41,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic"
"16","ALBANATL","Albacore tuna North Atlantic",1945,2.4,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic"
"17","ALBANATL","Albacore tuna North Atlantic",1946,2.36,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic"
"18","ALBANATL","Albacore tuna North Atlantic",1947,2.33,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic"
"19","ALBANATL","Albacore tuna North Atlantic",1948,2.31,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic"
"20","ALBANATL","Albacore tuna North Atlantic",1949,2.29,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic"
"21","ALBANATL","Albacore tuna North Atlantic",1950,2.26,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic"
"22","ALBANATL","Albacore tuna North Atlantic",1951,2.2,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic"
"23","ALBANATL","Albacore tuna North Atlantic",1952,2.16,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic"
"24","ALBANATL","Albacore tuna North Atlantic",1953,2.12,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic"
"25","ALBANATL","Albacore tuna North Atlantic",1954,2.1,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic"
"26","ALBANATL","Albacore tuna North Atlantic",1955,2.05,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic"
"27","ALBANATL","Albacore tuna North Atlantic",1956,2.03,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic"
"28","ALBANATL","Albacore tuna North Atlantic",1957,1.98,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic"
"29","ALBANATL","Albacore tuna North Atlantic",1958,1.94,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic"
"30","ALBANATL","Albacore tuna North Atlantic",1959,1.87,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic"
"31","ALBANATL","Albacore tuna North Atlantic",1960,1.81,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic"
"32","ALBANATL","Albacore tuna North Atlantic",1961,1.75,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic"
"33","ALBANATL","Albacore tuna North Atlantic",1962,1.72,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic"
"34","ALBANATL","Albacore tuna North Atlantic",1963,1.65,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic"
"35","ALBANATL","Albacore tuna North Atlantic",1964,1.57,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic"
"36","ALBANATL","Albacore tuna North Atlantic",1965,1.5,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic"
"37","ALBANATL","Albacore tuna North Atlantic",1966,1.43,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic"
"38","ALBANATL","Albacore tuna North Atlantic",1967,1.4,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic"
"39","ALBANATL","Albacore tuna North Atlantic",1968,1.34,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic"
"40","ALBANATL","Albacore tuna North Atlantic",1969,1.31,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic"
