year,indicator,stock,value
2000,B/Bmsy,Acadian redfish - Gulf of Maine / Georges Bank,0.983
2000,B/Bmsy,Albacore tuna North Atlantic,0.983
2000,B/Bmsy,American lobster Gulf of Maine,0.480666667
2000,B/Bmsy,American lobster Southern New England,0.480666667
2000,B/Bmsy,American plaice - Gulf of Maine / Georges Bank,0.480666667
2000,B/Bmsy,Atlantic cod - Eastern Georges Bank,0.480666667
2000,B/Bmsy,Atlantic cod - Georges Bank,0.480666667
2000,B/Bmsy,Atlantic cod - Gulf of Maine,0.480666667
2000,B/Bmsy,Atlantic croaker Mid-Atlantic Coast,3.145306235
2000,B/Bmsy,Atlantic halibut - Northwestern Atlantic Coast,3.145306235
2000,B/Bmsy,Atlantic herring - Northwestern Atlantic Coast,3.145306235
2000,B/Bmsy,Atlantic mackerel - Gulf of Maine / Cape Hatteras,3.145306235
2000,B/Bmsy,Atlantic menhaden Atlantic,0.455507538
2000,B/Bmsy,Atlantic salmon - Gulf of Maine,0.455507538
2000,B/Bmsy,Atlantic surfclam - Mid-Atlantic Coast,0.455507538
2000,B/Bmsy,Atlantic wolffish - Gulf of Maine / Georges Bank,0.455507538
2000,B/Bmsy,Barndoor skate - Georges Bank / Southern New England,0.455507538
2000,B/Bmsy,Bigeye tuna Atlantic,0.913
2000,B/Bmsy,Black sea bass - Mid-Atlantic Coast,0.913
2000,B/Bmsy,Blue marlin Atlantic,0.81
2000,B/Bmsy,Bluefin tuna Western Atlantic,0.253
2000,B/Bmsy,Bluefish - Atlantic Coast,0.253
2000,B/Bmsy,Butterfish - Gulf of Maine / Cape Hatteras,0.253
2000,B/Bmsy,Clearnose skate - Southern New England / Mid-Atlantic,0.253
2000,B/Bmsy,Goosefish - Gulf of Maine / Northern Georges Bank,0.253
2000,B/Bmsy,Goosefish - Southern Georges Bank / Mid-Atlantic,0.253
2000,B/Bmsy,Haddock - Eastern Georges Bank,0.253
2000,B/Bmsy,Haddock - Georges Bank,0.253
2000,B/Bmsy,Haddock - Gulf of Maine,0.253
2000,B/Bmsy,Little skate - Georges Bank / Southern New England,0.253
2000,B/Bmsy,Longfin inshore squid - Georges Bank / Cape Hatteras,0.253
2000,B/Bmsy,Ocean pout - Northwestern Atlantic Coast,0.253
2000,B/Bmsy,Ocean quahog - Atlantic Coast,0.253
2000,B/Bmsy,Pollock - Gulf of Maine / Georges Bank,0.253
2000,B/Bmsy,Red deepsea crab - Northwestern Atlantic,0.253
2000,B/Bmsy,Red hake - Gulf of Maine / Northern Georges Bank,0.253
