rgn_name,year,wqi_score
Connecticut,2006,57.323615716425884
Connecticut,2010,63.00791023297032
Maine,2006,98.91607487970478
Maine,2010,92.47048857399587
Massachusetts-Gulf of Maine,2006,90.00000000000001
Massachusetts-Gulf of Maine,2010,96.22978465819232
Massachusetts-Virginian,2006,89.28571428571428
Massachusetts-Virginian,2010,95.37703330276413
New Hampshire,2006,68.75
New Hampshire,2010,67.8894737115448
New York,2006,75.1358353783995
New York,2010,73.22253084923182
Rhode Island,2006,78.06857696576634
Rhode Island,2010,92.78944936012857
Georges Bank,2010,100
