state,state_name,year,total_loss
NH,New Hampshire,1996,18
NH,New Hampshire,2001,18.34719203105813
NH,New Hampshire,2006,18.150104111845874
NH,New Hampshire,2010,18.44329527339847
NY,New York,1996,48
NY,New York,2001,48.00016288050922
NY,New York,2006,50.49114104544622
NY,New York,2010,50.35057516598106
ME,Maine,1996,0
ME,Maine,2001,-0.38656745259761927
ME,Maine,2006,-0.7958384856885159
ME,Maine,2010,-2.8644639571994146
RI,Rhode Island,1996,53
RI,Rhode Island,2001,52.976205835386686
RI,Rhode Island,2006,52.976205835386686
RI,Rhode Island,2010,53.166691342096634
CT,Connecticut,1996,27
CT,Connecticut,2001,27.069172463513954
CT,Connecticut,2006,27.19436487987373
CT,Connecticut,2010,27.444993277605654
MA,Massachusetts,1996,41
MA,Massachusetts,2001,40.96409291773607
MA,Massachusetts,2006,40.94034916528663
MA,Massachusetts,2010,41.13142613876261
