rgn_name,year,wqi_score,score,gapfilled,metric
Connecticut,2006,100,100,0,nitrogen
Connecticut,2007,NA,100,1,nitrogen
Connecticut,2008,NA,100,1,nitrogen
Connecticut,2009,NA,100,1,nitrogen
Connecticut,2010,100,100,0,nitrogen
Maine,2006,100,100,0,nitrogen
Maine,2007,NA,97.9934865607067,1,nitrogen
Maine,2008,NA,95.9869731214134,1,nitrogen
Maine,2009,NA,93.9804596821201,1,nitrogen
Maine,2010,91.9739462428268,91.9739462428268,0,nitrogen
Massachusetts-Gulf of Maine,2006,100,100,0,nitrogen
Massachusetts-Gulf of Maine,2007,NA,100,1,nitrogen
Massachusetts-Gulf of Maine,2008,NA,100,1,nitrogen
Massachusetts-Gulf of Maine,2009,NA,100,1,nitrogen
Massachusetts-Gulf of Maine,2010,100,100,0,nitrogen
Massachusetts-Virginian,2006,99.5190747672074,99.5190747672074,0,nitrogen
Massachusetts-Virginian,2007,NA,99.63930607540556,1,nitrogen
Massachusetts-Virginian,2008,NA,99.7595373836037,1,nitrogen
Massachusetts-Virginian,2009,NA,99.87976869180184,1,nitrogen
Massachusetts-Virginian,2010,100,100,0,nitrogen
New Hampshire,2006,100,100,0,nitrogen
New Hampshire,2007,NA,97.8849569888475,1,nitrogen
New Hampshire,2008,NA,95.76991397769503,1,nitrogen
New Hampshire,2009,NA,93.65487096654255,1,nitrogen
New Hampshire,2010,91.53982795539005,91.53982795539005,0,nitrogen
New York,2006,100,100,0,nitrogen
New York,2007,NA,97.16377606397882,1,nitrogen
New York,2008,NA,94.32755212795763,1,nitrogen
New York,2009,NA,91.49132819193643,1,nitrogen
New York,2010,88.65510425591525,88.65510425591525,0,nitrogen
Rhode Island,2006,100,100,0,nitrogen
Rhode Island,2007,NA,100,1,nitrogen
Rhode Island,2008,NA,100,1,nitrogen
Rhode Island,2009,NA,100,1,nitrogen
Rhode Island,2010,100,100,0,nitrogen
