rgn_name,year,wqi_score,score,gapfilled,metric
Maine,2006,98.80782602880652,98.80782602880652,0,clarity
Maine,2007,NA,99.10586952160489,1,clarity
Maine,2008,NA,99.40391301440326,1,clarity
Maine,2009,NA,99.70195650720163,1,clarity
Maine,2010,100,100,0,clarity
Massachusetts-Gulf of Maine,2006,100,100,0,clarity
Massachusetts-Gulf of Maine,2007,NA,100,1,clarity
Massachusetts-Gulf of Maine,2008,NA,100,1,clarity
Massachusetts-Gulf of Maine,2009,NA,100,1,clarity
Massachusetts-Gulf of Maine,2010,100,100,0,clarity
Massachusetts-Virginian,2006,100,100,0,clarity
Massachusetts-Virginian,2007,NA,100,1,clarity
Massachusetts-Virginian,2008,NA,100,1,clarity
Massachusetts-Virginian,2009,NA,100,1,clarity
Massachusetts-Virginian,2010,100,100,0,clarity
New Hampshire,2006,76.08695652173914,76.08695652173914,0,clarity
New Hampshire,2007,NA,82.06521739130436,1,clarity
New Hampshire,2008,NA,88.04347826086956,1,clarity
New Hampshire,2009,NA,94.02173913043478,1,clarity
New Hampshire,2010,100,100,0,clarity
New York,2006,100,100,0,clarity
New York,2007,NA,100,1,clarity
New York,2008,NA,100,1,clarity
New York,2009,NA,100,1,clarity
New York,2010,NA,100,1,clarity
Rhode Island,2006,93.54725219565219,93.54725219565219,0,clarity
Rhode Island,2007,NA,95.16043914673915,1,clarity
Rhode Island,2008,NA,96.7736260978261,1,clarity
Rhode Island,2009,NA,98.38681304891304,1,clarity
Rhode Island,2010,100,100,0,clarity
Connecticut,2006,NA,100,1,clarity
Connecticut,2007,NA,100,1,clarity
Connecticut,2008,NA,100,1,clarity
Connecticut,2009,NA,100,1,clarity
Connecticut,2010,100,100,0,clarity
