Mariculture Production Data,,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,Region,Species,Biomass (tons),Number of individual pieces sold for consumption,Bags,Bushels,Pieces,Pounds,Value (USD),Source ID,,Pounds,Tons conversion
1988,Maine,Atlantic Salmon,~500,,,,,,No data,2,,,
1989,Maine,Atlantic Salmon,~1000,,,,,,No data,2,,,
1990,Maine,Atlantic Salmon,~2500,,,,,,No data,2,,,
1991,Maine,Atlantic Salmon and Trout,5187.2925,,,,,,"28,994,373",2,,,
1992,Maine,Atlantic Salmon and Trout,6744.598,,,,,,"45,301,457",2,,,
1993,Maine,Atlantic Salmon and Trout,7740.924,,,,,,"42,156,703",2,,,
1994,Maine,Atlantic Salmon and Trout,7048.766,,,,,,"35,670,286",2,,,
1995,Maine,Atlantic Salmon and Trout,11124.838,,,,,,"56,321,667",2,,,
1996,Maine,Atlantic Salmon and Trout,11046.768,,,,,,"46,243,911",2,,,
1997,Maine,Atlantic Salmon and Trout,13482.4215,,,,,,"49,140,048",2,,,
1998,Maine,Atlantic Salmon and Trout,14574.6505,,,,,,"60,537,109",2,,,
1999,Maine,Atlantic Salmon and Trout,13499.20135,,,,,,"57,945,146",2,,,
2000,Maine,Atlantic Salmon and Trout,18145.077,,,,,,"78,948,352",2,,,
2001,Maine,Atlantic Salmon,14552.768,,,,,,"58,211,072",2,,,
2002,Maine,Atlantic Salmon,7493.9185,,,,,,"16,936,256",2,,,
2003,Maine,Atlantic Salmon,6621.7095,,,,,,"28,208,482",2,,,
2004,Maine,Atlantic Salmon,9386.519,,,,,,"39,986,570",2,,,
2005,Maine,Atlantic Salmon,5801.218,,,,,,"23,204,872",2,,,
2006,Maine,Atlantic Salmon,5151.972,,,,,,"20,607,888",2,,,
2007,Maine,Atlantic Salmon,4281.1385,,,,,,"21,405,693",2,,,
2008,Maine,Atlantic Salmon,9936.6615,,,,,,"49,683,308",2,,,
2009,Maine,Atlantic Salmon,6779.7355,,,,,,"37,288,545",2,,,
2010,Maine,Atlantic Salmon,12265.47,,,,,,"73,592,820",2,"Note ""In accordance with DMR's confidentiality statutes, Atlantic salmon production data from 2011 - present cannot be reported at this time."" - https://www.maine.gov/dmr/aquaculture/harvestdata/index.html",,
