"","year","rgn_id","prs_score"
"1",2005,"5",0.265135908030939
"2",2006,"5",0.262847950367849
"3",2007,"5",0.251356841049278
"4",2008,"5",0.242098913092065
"5",2009,"5",0.235755117641521
"6",2010,"5",0.231016365820492
"7",2011,"5",0.22821277955985
"8",2012,"5",0.227613228208754
"9",2013,"5",0.230508680435602
"10",2014,"5",0.233907634609667
"11",2015,"5",0.237953931233278
"12",2016,"5",0.242851967228878
"13",2017,"5",0.248902312102618
"14",2005,"6",0.383155442939884
"15",2006,"6",0.375204761502502
"16",2007,"6",0.359389198952916
"17",2008,"6",0.367305201522377
"18",2009,"6",0.373598838368468
"19",2010,"6",0.386486443747256
"20",2011,"6",0.392277536938416
"21",2012,"6",0.395305979651271
"22",2013,"6",0.385426405438931
"23",2014,"6",0.366098122974455
"24",2015,"6",0.339242277684907
"25",2016,"6",0.312764296621476
"26",2017,"6",0.282967445700966
"27",2005,"7",0
"28",2005,"8",0
"29",2006,"7",0
"30",2006,"8",0
"31",2007,"7",0
"32",2007,"8",0
"33",2008,"7",0
"34",2008,"8",0
"35",2009,"7",0
"36",2009,"8",0
"37",2010,"7",0.204902982911153
"38",2010,"8",0.204902982911153
"39",2011,"7",0.204252488278122
"40",2011,"8",0.204252488278122
"41",2012,"7",0.200221402901058
"42",2012,"8",0.200221402901058
"43",2013,"7",0.195006311050539
"44",2013,"8",0.195006311050539
"45",2014,"7",0.190399629527627
"46",2014,"8",0.190399629527627
"47",2015,"7",0
"48",2015,"8",0
"49",2016,"7",0
"50",2016,"8",0
"51",2017,"7",0
"52",2017,"8",0
"53",2005,"9",0
"54",2006,"9",0
"55",2007,"9",0
"56",2008,"9",0
"57",2009,"9",0
"58",2010,"9",0
"59",2011,"9",0
"60",2012,"9",0
"61",2013,"9",0.188
"62",2014,"9",0.188
"63",2015,"9",0.188
"64",2016,"9",0.188
"65",2017,"9",0.188
"66",2005,"10",0.247818582611817
"67",2006,"10",0.257329328984614
"68",2007,"10",0.261850846234103
"69",2008,"10",0.260209097795086
"70",2009,"10",0.259774274073724
"71",2010,"10",0.260264477155158
"72",2011,"10",0.261881725530589
"73",2012,"10",0.259387324036921
"74",2013,"10",0.257230098834723
"75",2014,"10",0.249471681544025
"76",2015,"10",0.248761295156245
"77",2016,"10",0.251097908369888
"78",2017,"10",0.261408876131935
"79",2005,"11",0.188523476658724
"80",2006,"11",0.188599044267204
"81",2007,"11",0.188505767067673
"82",2008,"11",0.188408293404744
"83",2009,"11",0.188298261990485
"84",2010,"11",0.188319036051376
"85",2011,"11",0.188345390764594
"86",2012,"11",0.188355947190846
"87",2013,"11",0.188260673765828
"88",2014,"11",0.18819782972987
"89",2015,"11",0.188129329562657
"90",2016,"11",0.188150638066513
"91",2017,"11",0.18816600120447
