"","year","rgn_id","prs_score"
"1",2005,"5",0.511688222340363
"2",2006,"5",0.51864353220886
"3",2007,"5",0.531133868424697
"4",2008,"5",0.541196833595582
"5",2009,"5",0.54809226343313
"6",2010,"5",0.5532430806299
"7",2011,"5",0.557388392195097
"8",2012,"5",0.560184197263543
"9",2013,"5",0.560722545591368
"10",2014,"5",0.561270611910545
"11",2015,"5",0.561828661754095
"12",2016,"5",0.562396970417806
"13",2017,"5",0.564061888249057
"14",2005,"6",0.6
"15",2006,"6",0.6
"16",2007,"6",0.6
"17",2008,"6",0.6
"18",2009,"6",0.6
"19",2010,"6",0.6
"20",2011,"6",0.6
"21",2012,"6",0.6
"22",2013,"6",0.6
"23",2014,"6",0.6
"24",2015,"6",0.6
"25",2016,"6",0.6
"26",2017,"6",0.6
"27",2005,"7",0.57959217548967
"28",2005,"8",0.57959217548967
"29",2006,"7",0.57959217548967
"30",2006,"8",0.57959217548967
"31",2007,"7",0.57959217548967
"32",2007,"8",0.57959217548967
"33",2008,"7",0.57959217548967
"34",2008,"8",0.57959217548967
"35",2009,"7",0.57959217548967
"36",2009,"8",0.57959217548967
"37",2010,"7",0.537049009324874
"38",2010,"8",0.537049009324874
"39",2011,"7",0.531110553659303
"40",2011,"8",0.531110553659303
"41",2012,"7",0.542010880473279
"42",2012,"8",0.542010880473279
"43",2013,"7",0.55461480681022
"44",2013,"8",0.55461480681022
"45",2014,"7",0.568602640224696
"46",2014,"8",0.568602640224696
"47",2015,"7",0.597498778994514
"48",2015,"8",0.597498778994514
"49",2016,"7",0.597414971223953
"50",2016,"8",0.597414971223953
"51",2017,"7",0.596936699698443
"52",2017,"8",0.596936699698443
"53",2005,"9",NA
"54",2006,"9",NA
"55",2007,"9",NA
"56",2008,"9",NA
"57",2009,"9",NA
"58",2010,"9",NA
"59",2011,"9",NA
"60",2012,"9",NA
"61",2013,"9",0.6
"62",2014,"9",0.6
"63",2015,"9",0.6
"64",2016,"9",0.6
"65",2017,"9",0.6
"66",2005,"10",0.53494884538118
"67",2006,"10",0.524609717897392
"68",2007,"10",0.519697149800134
"69",2008,"10",0.521511850222732
"70",2009,"10",0.521984484702474
"71",2010,"10",0.521451655266133
"72",2011,"10",0.519693776597186
"73",2012,"10",0.522405082568564
"74",2013,"10",0.524389857623469
"75",2014,"10",0.532933424681902
"76",2015,"10",0.533734635242741
"77",2016,"10",0.531415316989253
"78",2017,"10",0.520207743334854
"79",2005,"11",0.599431003631822
"80",2006,"11",0.599348864926952
"81",2007,"11",0.599450253187312
"82",2008,"11",0.59955620282093
"83",2009,"11",0.599675802184255
"84",2010,"11",0.599653221683287
"85",2011,"11",0.599624575255876
"86",2012,"11",0.599613100879515
"87",2013,"11",0.599716658950187
"88",2014,"11",0.599784967684924
"89",2015,"11",0.599859424388417
"90",2016,"11",0.599836262971182
"91",2017,"11",0.599819563908185
