rgn_id,rgn_name,year,average_fssi_score
1,Offshore,2005,0.56
1,Offshore,2006,0.57
1,Offshore,2007,0.59
1,Offshore,2008,0.61
1,Offshore,2009,0.62
1,Offshore,2010,0.63
1,Offshore,2011,0.65
1,Offshore,2012,0.69
1,Offshore,2013,0.71
1,Offshore,2014,0.72
1,Offshore,2015,0.68
1,Offshore,2016,0.69
1,Offshore,2017,0.69
2,Georges Bank,2005,0.58
2,Georges Bank,2006,0.58
2,Georges Bank,2007,0.59
2,Georges Bank,2008,0.62
2,Georges Bank,2009,0.63
2,Georges Bank,2010,0.64
2,Georges Bank,2011,0.67
2,Georges Bank,2012,0.71
2,Georges Bank,2013,0.72
2,Georges Bank,2014,0.72
2,Georges Bank,2015,0.7
2,Georges Bank,2016,0.71
2,Georges Bank,2017,0.71
3,Gulf of Maine,2005,0.59
3,Gulf of Maine,2006,0.58
3,Gulf of Maine,2007,0.59
3,Gulf of Maine,2008,0.59
3,Gulf of Maine,2009,0.6
3,Gulf of Maine,2010,0.6
3,Gulf of Maine,2011,0.67
3,Gulf of Maine,2012,0.65
3,Gulf of Maine,2013,0.64
3,Gulf of Maine,2014,0.66
3,Gulf of Maine,2015,0.66
3,Gulf of Maine,2016,0.67
3,Gulf of Maine,2017,0.68
4,Mid-Atlantic Bight,2005,0.59
4,Mid-Atlantic Bight,2006,0.59
4,Mid-Atlantic Bight,2007,0.62
4,Mid-Atlantic Bight,2008,0.62
4,Mid-Atlantic Bight,2009,0.63
4,Mid-Atlantic Bight,2010,0.68
4,Mid-Atlantic Bight,2011,0.68
4,Mid-Atlantic Bight,2012,0.74
4,Mid-Atlantic Bight,2013,0.75
4,Mid-Atlantic Bight,2014,0.76
4,Mid-Atlantic Bight,2015,0.74
4,Mid-Atlantic Bight,2016,0.75
4,Mid-Atlantic Bight,2017,0.72
5,Connecticut,2005,0.59
5,Connecticut,2006,0.6
5,Connecticut,2007,0.62
5,Connecticut,2008,0.65
5,Connecticut,2009,0.66
5,Connecticut,2010,0.68
5,Connecticut,2011,0.68
5,Connecticut,2012,0.74
5,Connecticut,2013,0.76
5,Connecticut,2014,0.78
5,Connecticut,2015,0.75
5,Connecticut,2016,0.76
5,Connecticut,2017,0.73
6,Maine,2005,0.6
6,Maine,2006,0.59
6,Maine,2007,0.61
6,Maine,2008,0.62
6,Maine,2009,0.64
6,Maine,2010,0.61
6,Maine,2011,0.65
6,Maine,2012,0.64
6,Maine,2013,0.63
6,Maine,2014,0.65
6,Maine,2015,0.68
6,Maine,2016,0.69
6,Maine,2017,0.68
7,Massachusetts-North,2005,0.61
7,Massachusetts-North,2006,0.6
7,Massachusetts-North,2007,0.6
7,Massachusetts-North,2008,0.6
7,Massachusetts-North,2009,0.62
7,Massachusetts-North,2010,0.62
7,Massachusetts-North,2011,0.67
7,Massachusetts-North,2012,0.66
7,Massachusetts-North,2013,0.65
7,Massachusetts-North,2014,0.67
7,Massachusetts-North,2015,0.69
7,Massachusetts-North,2016,0.7
7,Massachusetts-North,2017,0.7
8,Massachusetts-South,2005,0.59
8,Massachusetts-South,2006,0.59
8,Massachusetts-South,2007,0.61
8,Massachusetts-South,2008,0.63
8,Massachusetts-South,2009,0.65
8,Massachusetts-South,2010,0.66
8,Massachusetts-South,2011,0.68
8,Massachusetts-South,2012,0.73
8,Massachusetts-South,2013,0.73
8,Massachusetts-South,2014,0.74
8,Massachusetts-South,2015,0.73
8,Massachusetts-South,2016,0.74
8,Massachusetts-South,2017,0.72
9,New Hampshire,2005,0.6
9,New Hampshire,2006,0.59
9,New Hampshire,2007,0.61
9,New Hampshire,2008,0.62
9,New Hampshire,2009,0.64
9,New Hampshire,2010,0.61
9,New Hampshire,2011,0.65
9,New Hampshire,2012,0.64
9,New Hampshire,2013,0.63
9,New Hampshire,2014,0.65
9,New Hampshire,2015,0.68
9,New Hampshire,2016,0.69
9,New Hampshire,2017,0.68
10,New York,2005,0.6
10,New York,2006,0.6
10,New York,2007,0.62
10,New York,2008,0.64
10,New York,2009,0.64
10,New York,2010,0.69
10,New York,2011,0.7
10,New York,2012,0.76
10,New York,2013,0.77
10,New York,2014,0.78
10,New York,2015,0.75
10,New York,2016,0.76
10,New York,2017,0.74
11,Rhode Island,2005,0.59
11,Rhode Island,2006,0.59
11,Rhode Island,2007,0.62
11,Rhode Island,2008,0.64
11,Rhode Island,2009,0.65
11,Rhode Island,2010,0.7
11,Rhode Island,2011,0.69
11,Rhode Island,2012,0.76
11,Rhode Island,2013,0.77
11,Rhode Island,2014,0.78
11,Rhode Island,2015,0.75
11,Rhode Island,2016,0.76
11,Rhode Island,2017,0.74
