FMP,stock,location,Jurisdiction,FSSI,year,rgn_id,source,stock_location,rgn_name
Northeast Multispecies,atlantic cod,Gulf of Maine,NEFMC,1,2005,3,NMFS,atlantic cod Gulf of Maine,Gulf of Maine
Northeast Multispecies,atlantic cod,Gulf of Maine,NEFMC,1,2005,6,NMFS,atlantic cod Gulf of Maine,Maine
Northeast Multispecies,atlantic cod,Gulf of Maine,NEFMC,1,2005,7,NMFS,atlantic cod Gulf of Maine,Massachusetts-North
Northeast Multispecies,atlantic cod,Gulf of Maine,NEFMC,1,2005,9,NMFS,atlantic cod Gulf of Maine,New Hampshire
Northeast Multispecies,atlantic cod,Gulf of Maine,NEFMC,1,2005,12,NMFS,atlantic cod Gulf of Maine,Northeast
Northeast Multispecies,atlantic cod,Georges Bank,NEFMC,1,2005,1,NMFS,atlantic cod Georges Bank,Offshore
Northeast Multispecies,atlantic cod,Georges Bank,NEFMC,1,2005,2,NMFS,atlantic cod Georges Bank,Georges Bank
Northeast Multispecies,atlantic cod,Georges Bank,NEFMC,1,2005,3,NMFS,atlantic cod Georges Bank,Gulf of Maine
Northeast Multispecies,atlantic cod,Georges Bank,NEFMC,1,2005,4,NMFS,atlantic cod Georges Bank,Mid-Atlantic Bight
Northeast Multispecies,atlantic cod,Georges Bank,NEFMC,1,2005,5,NMFS,atlantic cod Georges Bank,Connecticut
Northeast Multispecies,atlantic cod,Georges Bank,NEFMC,1,2005,7,NMFS,atlantic cod Georges Bank,Massachusetts-North
Northeast Multispecies,atlantic cod,Georges Bank,NEFMC,1,2005,8,NMFS,atlantic cod Georges Bank,Massachusetts-South
Northeast Multispecies,atlantic cod,Georges Bank,NEFMC,1,2005,10,NMFS,atlantic cod Georges Bank,New York
Northeast Multispecies,atlantic cod,Georges Bank,NEFMC,1,2005,11,NMFS,atlantic cod Georges Bank,Rhode Island
Northeast Multispecies,atlantic cod,Georges Bank,NEFMC,1,2005,12,NMFS,atlantic cod Georges Bank,Northeast
Northeast Multispecies,haddock,Gulf of Maine,NEFMC,2,2005,3,NMFS,haddock Gulf of Maine,Gulf of Maine
Northeast Multispecies,haddock,Gulf of Maine,NEFMC,2,2005,6,NMFS,haddock Gulf of Maine,Maine
Northeast Multispecies,haddock,Gulf of Maine,NEFMC,2,2005,7,NMFS,haddock Gulf of Maine,Massachusetts-North
Northeast Multispecies,haddock,Gulf of Maine,NEFMC,2,2005,9,NMFS,haddock Gulf of Maine,New Hampshire
Northeast Multispecies,haddock,Gulf of Maine,NEFMC,2,2005,12,NMFS,haddock Gulf of Maine,Northeast
Northeast Multispecies,haddock,Georges Bank,NEFMC,2,2005,1,NMFS,haddock Georges Bank,Offshore
Northeast Multispecies,haddock,Georges Bank,NEFMC,2,2005,2,NMFS,haddock Georges Bank,Georges Bank
Northeast Multispecies,haddock,Georges Bank,NEFMC,2,2005,3,NMFS,haddock Georges Bank,Gulf of Maine
Northeast Multispecies,haddock,Georges Bank,NEFMC,2,2005,4,NMFS,haddock Georges Bank,Mid-Atlantic Bight
Northeast Multispecies,haddock,Georges Bank,NEFMC,2,2005,7,NMFS,haddock Georges Bank,Massachusetts-North
Northeast Multispecies,haddock,Georges Bank,NEFMC,2,2005,8,NMFS,haddock Georges Bank,Massachusetts-South
Northeast Multispecies,haddock,Georges Bank,NEFMC,2,2005,10,NMFS,haddock Georges Bank,New York
Northeast Multispecies,haddock,Georges Bank,NEFMC,2,2005,11,NMFS,haddock Georges Bank,Rhode Island
Northeast Multispecies,haddock,Georges Bank,NEFMC,2,2005,12,NMFS,haddock Georges Bank,Northeast
Northeast Multispecies,yellowtail flounder,Georges Bank,NEFMC,1,2005,1,NMFS,yellowtail flounder Georges Bank,Offshore
Northeast Multispecies,yellowtail flounder,Georges Bank,NEFMC,1,2005,2,NMFS,yellowtail flounder Georges Bank,Georges Bank
Northeast Multispecies,yellowtail flounder,Georges Bank,NEFMC,1,2005,3,NMFS,yellowtail flounder Georges Bank,Gulf of Maine
Northeast Multispecies,yellowtail flounder,Georges Bank,NEFMC,1,2005,12,NMFS,yellowtail flounder Georges Bank,Northeast
Northeast Multispecies,yellowtail flounder,Southern New England / Mid-Atlantic,NEFMC,1,2005,1,NMFS,yellowtail flounder Southern New England / Mid-Atlantic,Offshore
Northeast Multispecies,yellowtail flounder,Southern New England / Mid-Atlantic,NEFMC,1,2005,2,NMFS,yellowtail flounder Southern New England / Mid-Atlantic,Georges Bank
