year,state,dollar_per_gallon,pay,ratio
2001,CT,1.5305799999999998,46993,3.2570382822973634e-5
2001,MA,1.4835233333333333,44975,3.298551046877895e-5
2001,ME,1.430275,28815,4.9636474058650005e-5
2001,NH,1.4575183333333332,35481,4.1078840318292416e-5
2001,NY,1.4315133333333332,46727,3.063567815895164e-5
2001,RI,1.5070516666666667,33603,4.4848723824261726e-5
2002,CT,1.4136328571428571,46852,3.0172305496944787e-5
2002,MA,1.3764971428571426,44954,3.062012597003921e-5
2002,ME,1.395065,29736,4.6915018832391715e-5
2002,NH,1.3604049999999999,36176,3.760518022998673e-5
2002,NY,1.3554535714285714,46328,2.9257761427831364e-5
2002,RI,1.4346764285714284,34810,4.121449090983707e-5
2003,CT,1.6135447619047618,48328,3.338736885252363e-5
2003,MA,1.587559761904762,46323,3.427152304265186e-5
2003,ME,1.586322380952381,30750,5.1587719705768485e-5
2003,NH,1.5727111904761906,37321,4.214011388966508e-5
2003,NY,1.5702364285714285,47247,3.3234627141859346e-5
2003,RI,1.6345802380952381,36415,4.488755287917721e-5
2004,CT,1.910148571428571,51007,3.744875353242831e-5
2004,MA,1.8569514285714284,48916,3.796204572269663e-5
2004,ME,1.9027257142857141,31906,5.963535743389062e-5
2004,NH,1.8433428571428572,39176,4.70528603518189e-5
2004,NY,1.8742714285714284,49941,3.752971363351612e-5
2004,RI,1.9113857142857142,37651,5.076586848385738e-5
2005,CT,2.289424761904762,52954,4.323421765881259e-5
2005,MA,2.2412133333333335,50095,4.473926206873607e-5
2005,ME,2.2857161904761902,32701,6.989744015400722e-5
2005,NH,2.2201980952380955,40551,5.4750760652957894e-5
2005,NY,2.2436857142857143,51937,4.320014082996158e-5
2005,RI,2.2820076190476195,38751,5.8888999485113145e-5
2006,CT,2.6394119047619045,54814,4.81521491728738e-5
2006,MA,2.5554642857142853,52435,4.87358498276778e-5
2006,ME,2.591265476190476,33794,7.667827058621282e-5
2006,NH,2.548057142857143,42447,6.0029145589962616e-5
2006,NY,2.5665749999999994,55479,4.626209917265992e-5
2006,RI,2.6295357142857143,40454,6.500063564259935e-5
2007,CT,2.8219785714285717,58029,4.8630487711809124e-5
2007,MA,2.760764285714286,55244,4.9974011398781515e-5
2007,ME,2.8403428571428573,35129,8.085464593762581e-5
2007,NH,2.726484285714286,43863,6.21590927595989e-5
2007,NY,2.7595400000000003,59439,4.642642036373425e-5
2007,RI,2.7779042857142864,41646,6.670278743971298e-5
2008,CT,3.24231,58395,5.552376059594143e-5
2008,MA,3.2155642857142857,56746,5.6665919813101994e-5
2008,ME,3.3103900000000004,36317,9.115262824572515e-5
2008,NH,3.1973285714285717,44912,7.119096391673877e-5
2008,NY,3.256898571428571,60288,5.402233564604185e-5
2008,RI,3.2143485714285718,43029,7.470191199954849e-5
2009,CT,2.3772900000000003,57771,4.115023108480034e-5
2009,MA,2.363961666666667,56267,4.201328783597254e-5
2009,ME,2.4572600000000002,36617,6.710708141027393e-5
2009,NH,2.323976666666667,44932,5.172208374135731e-5
