"","year","state","emission","target","score"
"1",2005,"New Hampshire",21.11,21.38,1
"2",2006,"New Hampshire",19.24,20.96,1
"3",2007,"New Hampshire",19.05,20.54,1
"4",2008,"New Hampshire",18.66,20.12,1
"5",2009,"New Hampshire",16.99,19.7,1
"6",2010,"New Hampshire",16.56,19.28,1
"7",2011,"New Hampshire",16.21,18.86,1
"8",2012,"New Hampshire",14.56,18.44,1
"9",2013,"New Hampshire",14.3,18.02,1
"10",2014,"New Hampshire",15.01,17.6,1
"11",2015,"New Hampshire",15.2,17.18,1
"12",2016,"New Hampshire",13.78,16.76,1
"13",2005,"Massachusetts",84.11,81.13,0.964570205683034
"14",2006,"Massachusetts",76.3,79.66,1
"15",2007,"Massachusetts",79.69,78.19,0.981177061111808
"16",2008,"Massachusetts",76.69,76.72,1
"17",2009,"Massachusetts",70.31,75.25,1
"18",2010,"Massachusetts",71.94,73.78,1
"19",2011,"Massachusetts",68.26,72.31,1
"20",2012,"Massachusetts",61.95,70.84,1
"21",2013,"Massachusetts",65.81,69.37,1
"22",2014,"Massachusetts",63.94,67.9,1
"23",2015,"Massachusetts",65.81,66.43,1
"24",2016,"Massachusetts",64.39,64.96,1
"25",2005,"Rhode Island",11.22,10.77,0.959893048128342
"26",2006,"Rhode Island",10.54,10.56,1
"27",2007,"Rhode Island",11.09,10.36,0.934174932371506
"28",2008,"Rhode Island",10.7,10.15,0.948598130841122
"29",2009,"Rhode Island",11.27,9.95,0.882874889086069
"30",2010,"Rhode Island",11.04,9.75,0.883152173913044
"31",2011,"Rhode Island",11.07,9.54,0.861788617886179
"32",2012,"Rhode Island",10.56,9.34,0.884469696969697
"33",2013,"Rhode Island",10.17,9.13,0.897738446411013
"34",2014,"Rhode Island",10.66,8.93,0.837711069418386
"35",2015,"Rhode Island",10.91,8.73,0.800183318056829
"36",2016,"Rhode Island",9.75,8.52,0.873846153846154
"37",2005,"Connecticut",43.83,43.7,0.997033994980607
"38",2006,"Connecticut",40.82,42.89,1
"39",2007,"Connecticut",40.12,42.09,1
"40",2008,"Connecticut",37.73,41.28,1
"41",2009,"Connecticut",36.02,40.48,1
"42",2010,"Connecticut",36.36,39.68,1
"43",2011,"Connecticut",35.01,38.87,1
"44",2012,"Connecticut",34.26,38.07,1
"45",2013,"Connecticut",35.02,37.26,1
"46",2014,"Connecticut",35.25,36.46,1
"47",2015,"Connecticut",36.58,35.66,0.974849644614543
"48",2016,"Connecticut",34.4,34.85,1
"49",2005,"New York",211.17,210.22,0.995501254913103
"50",2006,"New York",193.49,205.44,1
"51",2007,"New York",199.77,200.66,1
"52",2008,"New York",190.31,195.88,1
"53",2009,"New York",174.22,191.1,1
"54",2010,"New York",174.5,186.32,1
"55",2011,"New York",165.13,181.54,1
"56",2012,"New York",162.05,176.76,1
"57",2013,"New York",163.01,171.98,1
"58",2014,"New York",170.4,167.2,0.981220657276995
"59",2015,"New York",168.78,162.42,0.962317810167081
"60",2016,"New York",164.53,157.64,0.95812313863733
"61",2005,"Maine",23.04,23.57,1
"62",2006,"Maine",21.2,23.14,1
"63",2007,"Maine",20.91,22.72,1
"64",2008,"Maine",19.07,22.29,1
"65",2009,"Maine",18.37,21.86,1
"66",2010,"Maine",18.1,21.43,1
"67",2011,"Maine",17.56,21,1
"68",2012,"Maine",15.86,20.58,1
"69",2013,"Maine",16.61,20.15,1
"70",2014,"Maine",16.67,19.72,1
"71",2015,"Maine",16.88,19.29,1
"72",2016,"Maine",16.5,18.86,1
