"","year","state","fac_total","fac_inspection","percent_w_inspections"
"1",2005,"CT",2511,132,0.0525686977299881
"2",2005,"MA",5914,152,0.025701724721001
"3",2005,"ME",2594,280,0.107941403238242
"4",2005,"NH",2017,85,0.0421417947446703
"5",2005,"NY",10807,1206,0.111594337003794
"6",2005,"RI",1246,45,0.036115569823435
"7",2006,"CT",2511,317,0.126244524093986
"8",2006,"MA",5914,159,0.0268853567805208
"9",2006,"ME",2594,291,0.112181958365459
"10",2006,"NH",2017,102,0.0505701536936044
"11",2006,"NY",10807,1251,0.115758304802443
"12",2006,"RI",1246,34,0.0272873194221509
"13",2007,"CT",2511,388,0.154520111509359
"14",2007,"MA",5914,237,0.0400743997294555
"15",2007,"ME",2594,306,0.117964533538936
"16",2007,"NH",2017,120,0.059494298463064
"17",2007,"NY",10807,1202,0.111224206532803
"18",2007,"RI",1246,63,0.050561797752809
"19",2008,"CT",2511,341,0.135802469135802
"20",2008,"MA",5914,209,0.0353398714913764
"21",2008,"ME",2594,256,0.0986892829606785
"22",2008,"NH",2017,127,0.0629647992067427
"23",2008,"NY",10807,1284,0.118811881188119
"24",2008,"RI",1246,81,0.065008025682183
"25",2009,"CT",2511,314,0.125049780963759
"26",2009,"MA",5914,248,0.0419343929658438
"27",2009,"ME",2594,279,0.107555898226677
"28",2009,"NH",2017,112,0.0555280118988597
"29",2009,"NY",10807,1381,0.127787545109651
"30",2009,"RI",1246,62,0.0497592295345104
"31",2010,"CT",2511,299,0.119076065312624
"32",2010,"MA",5914,188,0.031788975312817
"33",2010,"ME",2594,345,0.132999228989977
"34",2010,"NH",2017,107,0.053049082796232
"35",2010,"NY",10807,685,0.0633848431572129
"36",2010,"RI",1246,58,0.0465489566613162
"37",2011,"CT",2511,280,0.111509358821187
"38",2011,"MA",5914,169,0.0285762597226919
"39",2011,"ME",2594,365,0.14070932922128
"40",2011,"NH",2017,104,0.0515617253346554
"41",2011,"NY",10807,1216,0.112519663181271
"42",2011,"RI",1246,66,0.0529695024077047
"43",2012,"CT",2511,276,0.109916367980884
"44",2012,"MA",5914,142,0.0240108217788299
"45",2012,"ME",2594,362,0.139552814186584
"46",2012,"NH",2017,102,0.0505701536936044
"47",2012,"NY",10807,1100,0.101785879522532
"48",2012,"RI",1246,60,0.0481540930979133
"49",2013,"CT",2511,261,0.103942652329749
"50",2013,"MA",5914,157,0.0265471761920866
"51",2013,"ME",2594,376,0.144949884348497
"52",2013,"NH",2017,81,0.0401586514625682
"53",2013,"NY",10807,1336,0.123623577311002
"54",2013,"RI",1246,53,0.0425361155698234
"55",2014,"CT",2511,363,0.144563918757467
"56",2014,"MA",5914,155,0.0262089956036523
"57",2014,"ME",2594,318,0.122590593677718
"58",2014,"NH",2017,110,0.0545364402578086
"59",2014,"NY",10807,1322,0.122328120662534
"60",2014,"RI",1246,49,0.0393258426966292
"61",2015,"CT",2511,524,0.20868180007965
"62",2015,"MA",5914,134,0.022658099425093
"63",2015,"ME",2594,316,0.121819583654588
"64",2015,"NH",2017,88,0.0436291522062469
"65",2015,"NY",10807,1377,0.12741741463866
"66",2015,"RI",1246,82,0.0658105939004815
"67",2016,"CT",2511,404,0.16089207487057
"68",2016,"MA",5914,117,0.0197835644234021
"69",2016,"ME",2594,285,0.109868928296068
"70",2016,"NH",2017,95,0.0470996529499256
"71",2016,"NY",10807,1308,0.121032664014065
"72",2016,"RI",1246,49,0.0393258426966292
"73",2017,"CT",2511,466,0.185583432895261
"74",2017,"MA",5914,141,0.0238417314846128
"75",2017,"ME",2594,346,0.133384734001542
"76",2017,"NH",2017,90,0.044620723847298
"77",2017,"NY",10807,1373,0.127047284167669
"78",2017,"RI",1246,42,0.0337078651685393
