"","year","percent_regulation","target_regulation","percent_submitted","target_submitted","percent_no_violation","target_no_violations","percent_w_inspections","target_inspections","rgn_id","rgn_name"
"1",2005,1,1,0.9668811,0.95,0.856592135697764,1,0.107941403238242,0.5,"6","Maine"
"2",2005,1,1,0.9971842,0.95,0.947446703024293,1,0.0421417947446703,0.5,"9","New Hampshire"
"3",2005,1,1,0.9841761,0.95,0.93794386202232,1,0.025701724721001,0.5,"7","Massachusetts-North"
"4",2005,1,1,1,0.95,0.862760834670947,1,0.036115569823435,0.5,"11","Rhode Island"
"5",2005,1,1,1,0.95,0.890481879729192,1,0.0525686977299881,0.5,"5","Connecticut"
"6",2005,1,1,0.9973308,0.95,0.856759507726474,1,0.111594337003794,0.5,"10","New York"
"7",2006,1,1,0.9668811,0.95,0.843484965304549,1,0.112181958365459,0.5,"6","Maine"
"8",2006,1,1,0.9971842,0.95,0.935547843331681,1,0.0505701536936044,0.5,"9","New Hampshire"
"9",2006,1,1,0.9841761,0.95,0.932871153195807,1,0.0268853567805208,0.5,"7","Massachusetts-North"
"10",2006,1,1,1,0.95,0.861958266452649,1,0.0272873194221509,0.5,"11","Rhode Island"
"11",2006,1,1,1,0.95,0.876543209876543,1,0.126244524093986,0.5,"5","Connecticut"
"12",2006,1,1,0.9973308,0.95,0.849264365688905,1,0.115758304802443,0.5,"10","New York"
"13",2007,1,1,0.9668811,0.95,0.831148804934464,1,0.117964533538936,0.5,"6","Maine"
"14",2007,1,1,0.9971842,0.95,0.935052057511155,1,0.059494298463064,0.5,"9","New Hampshire"
"15",2007,1,1,0.9841761,0.95,0.931687521136287,1,0.0400743997294555,0.5,"7","Massachusetts-North"
"16",2007,1,1,1,0.95,0.898073836276084,1,0.050561797752809,0.5,"11","Rhode Island"
"17",2007,1,1,1,0.95,0.876543209876543,1,0.154520111509359,0.5,"5","Connecticut"
"18",2007,1,1,0.9973308,0.95,0.856944572961969,1,0.111224206532803,0.5,"10","New York"
"19",2008,1,1,0.9668811,0.95,0.835774865073246,1,0.0986892829606785,0.5,"6","Maine"
"20",2008,1,1,0.9971842,0.95,0.939514129895885,1,0.0629647992067427,0.5,"9","New Hampshire"
"21",2008,1,1,0.9841761,0.95,0.933378424078458,1,0.0353398714913764,0.5,"7","Massachusetts-North"
"22",2008,1,1,1,0.95,0.842696629213483,1,0.065008025682183,0.5,"11","Rhode Island"
"23",2008,1,1,1,0.95,0.898048586220629,1,0.135802469135802,0.5,"5","Connecticut"
"24",2008,1,1,0.9973308,0.95,0.701767372998982,1,0.118811881188119,0.5,"10","New York"
"25",2009,1,1,0.966881066541925,0.95,0.839629915188898,1,0.107555898226677,0.5,"6","Maine"
"26",2009,1,1,0.9971842021498,0.95,0.941497273177987,1,0.0555280118988597,0.5,"9","New Hampshire"
"27",2009,1,1,0.98417610650473,0.95,0.93557659790328,1,0.0419343929658438,0.5,"7","Massachusetts-North"
"28",2009,1,1,1,0.95,0.845906902086677,1,0.0497592295345104,0.5,"11","Rhode Island"
"29",2009,1,1,1,0.95,0.913181999203505,1,0.125049780963759,0.5,"5","Connecticut"
"30",2009,1,1,0.99733083695669,0.95,0.730915147589525,1,0.127787545109651,0.5,"10","New York"
"31",2010,1,1,0.971949798514347,0.95,0.838473400154202,1,0.132999228989977,0.5,"6","Maine"
"32",2010,1,1,0.997574718275355,0.95,0.943976202280615,1,0.053049082796232,0.5,"9","New Hampshire"
"33",2010,1,1,1,0.95,0.9367602299628,1,0.031788975312817,0.5,"7","Massachusetts-North"
"34",2010,1,1,1,0.95,0.861958266452649,1,0.0465489566613162,0.5,"11","Rhode Island"
"35",2010,1,1,1,0.95,0.912783751493429,1,0.119076065312624,0.5,"5","Connecticut"
"36",2010,1,1,0.996923412069779,0.95,0.750161932081059,1,0.0633848431572129,0.5,"10","New York"
"37",2011,1,1,0.983473572223028,0.95,0.845412490362375,1,0.14070932922128,0.5,"6","Maine"
"38",2011,1,1,1,0.95,0.946950917203768,1,0.0515617253346554,0.5,"9","New Hampshire"
"39",2011,1,1,1,0.95,0.939465674670274,1,0.0285762597226919,0.5,"7","Massachusetts-North"
"40",2011,1,1,1,0.95,0.858747993579454,1,0.0529695024077047,0.5,"11","Rhode Island"
"41",2011,1,1,1,0.95,0.905217045001991,1,0.111509358821187,0.5,"5","Connecticut"
"42",2011,1,1,0.997209337124046,0.95,0.628944202831498,1,0.112519663181271,0.5,"10","New York"
"43",2012,1,1,0.991400430597144,0.95,0.84579799537394,1,0.139552814186584,0.5,"6","Maine"
"44",2012,1,1,1,0.95,0.947446703024293,1,0.0505701536936044,0.5,"9","New Hampshire"
"45",2012,1,1,0.98573980207579,0.95,0.940142035847142,1,0.0240108217788299,0.5,"7","Massachusetts-North"
"46",2012,1,1,1,0.95,0.828250401284109,1,0.0481540930979133,0.5,"11","Rhode Island"
"47",2012,1,1,1,0.95,0.896057347670251,1,0.109916367980884,0.5,"5","Connecticut"
"48",2012,1,1,0.996577687772761,0.95,0.634126029425372,1,0.101785879522532,0.5,"10","New York"
"49",2013,1,1,0.99486514962518,0.95,0.878951426368543,1,0.144949884348497,0.5,"6","Maine"
"50",2013,1,1,1,0.95,0.939514129895885,1,0.0401586514625682,0.5,"9","New Hampshire"
"51",2013,1,1,1,0.95,0.940649306729794,1,0.0265471761920866,0.5,"7","Massachusetts-North"
"52",2013,1,1,1,0.95,0.840288924558588,1,0.0425361155698234,0.5,"11","Rhode Island"
"53",2013,1,1,0.992874513995384,0.95,0.888888888888889,1,0.103942652329749,0.5,"5","Connecticut"
"54",2013,1,1,0.995909375235028,0.95,0.63588414916258,1,0.123623577311002,0.5,"10","New York"
"55",2014,1,1,0.997102613734585,0.95,0.894371626831149,1,0.122590593677718,0.5,"6","Maine"
"56",2014,1,1,1,0.95,0.942488844819038,1,0.0545364402578086,0.5,"9","New Hampshire"
"57",2014,1,1,0.988482992756774,0.95,0.936591139668583,1,0.0262089956036523,0.5,"7","Massachusetts-North"
"58",2014,1,1,0.969874770119975,0.95,0.829052969502408,1,0.0393258426966292,0.5,"11","Rhode Island"
"59",2014,1,1,0.990370147457117,0.95,0.8805256869773,1,0.144563918757467,0.5,"5","Connecticut"
"60",2014,1,1,0.996076605200148,0.95,0.612473396872398,1,0.122328120662534,0.5,"10","New York"
"61",2015,1,1,0.995760257342519,0.95,0.893986121819584,1,0.121819583654588,0.5,"6","Maine"
"62",2015,1,1,1,0.95,0.951412989588498,1,0.0436291522062469,0.5,"9","New Hampshire"
"63",2015,1,1,0.986467391304348,0.95,0.946398376733176,1,0.022658099425093,0.5,"7","Massachusetts-North"
"64",2015,1,1,0.968451352907311,0.95,0.780096308186196,1,0.0658105939004815,0.5,"11","Rhode Island"
"65",2015,1,1,0.991448793076013,0.95,0.871764237355635,1,0.20868180007965,0.5,"5","Connecticut"
"66",2015,1,1,0.996145470700479,0.95,0.603867863421856,1,0.12741741463866,0.5,"10","New York"
"67",2016,1,1,0.994781892804823,0.95,0.886661526599846,1,0.109868928296068,0.5,"6","Maine"
"68",2016,1,1,1,0.95,0.933068914229053,1,0.0470996529499256,0.5,"9","New Hampshire"
"69",2016,1,1,0.987837649050433,0.95,0.919343929658438,1,0.0197835644234021,0.5,"7","Massachusetts-North"
"70",2016,1,1,0.97561694725359,0.95,0.796950240770466,1,0.0393258426966292,0.5,"11","Rhode Island"
