"","year","rgn_id","rgn_name","number_stocks","adeq_assessed","percent_adeq_ass"
"1",2005,1,"Offshore",53,31,0.584905660377358
"2",2005,2,"Georges Bank",59,52,0.88135593220339
"3",2005,3,"Gulf of Maine",55,49,0.890909090909091
"4",2005,4,"Mid-Atlantic Bight",50,46,0.92
"5",2005,5,"Connecticut",43,41,0.953488372093023
"6",2005,6,"Maine",43,39,0.906976744186046
"7",2005,7,"Massachusetts-North",50,46,0.92
"8",2005,8,"Massachusetts-South",55,50,0.909090909090909
"9",2005,9,"New Hampshire",43,39,0.906976744186046
"10",2005,10,"New York",48,46,0.958333333333333
"11",2005,11,"Rhode Island",46,44,0.956521739130435
"12",2006,1,"Offshore",53,40,0.754716981132076
"13",2006,2,"Georges Bank",59,53,0.898305084745763
"14",2006,3,"Gulf of Maine",55,50,0.909090909090909
"15",2006,4,"Mid-Atlantic Bight",50,46,0.92
"16",2006,5,"Connecticut",43,39,0.906976744186046
"17",2006,6,"Maine",43,39,0.906976744186046
"18",2006,7,"Massachusetts-North",50,46,0.92
"19",2006,8,"Massachusetts-South",55,50,0.909090909090909
"20",2006,9,"New Hampshire",43,39,0.906976744186046
"21",2006,10,"New York",48,44,0.916666666666667
"22",2006,11,"Rhode Island",46,42,0.91304347826087
"23",2007,1,"Offshore",53,41,0.773584905660377
"24",2007,2,"Georges Bank",59,54,0.915254237288136
"25",2007,3,"Gulf of Maine",55,50,0.909090909090909
"26",2007,4,"Mid-Atlantic Bight",50,47,0.94
"27",2007,5,"Connecticut",43,40,0.930232558139535
"28",2007,6,"Maine",43,39,0.906976744186046
"29",2007,7,"Massachusetts-North",50,46,0.92
"30",2007,8,"Massachusetts-South",55,51,0.927272727272727
"31",2007,9,"New Hampshire",43,39,0.906976744186046
"32",2007,10,"New York",48,45,0.9375
"33",2007,11,"Rhode Island",46,43,0.934782608695652
"34",2008,1,"Offshore",53,43,0.811320754716981
"35",2008,2,"Georges Bank",59,54,0.915254237288136
"36",2008,3,"Gulf of Maine",55,50,0.909090909090909
"37",2008,4,"Mid-Atlantic Bight",50,46,0.92
"38",2008,5,"Connecticut",43,39,0.906976744186046
"39",2008,6,"Maine",43,39,0.906976744186046
"40",2008,7,"Massachusetts-North",50,46,0.92
"41",2008,8,"Massachusetts-South",55,51,0.927272727272727
"42",2008,9,"New Hampshire",43,39,0.906976744186046
"43",2008,10,"New York",48,44,0.916666666666667
"44",2008,11,"Rhode Island",46,42,0.91304347826087
"45",2009,1,"Offshore",53,44,0.830188679245283
"46",2009,2,"Georges Bank",59,49,0.830508474576271
"47",2009,3,"Gulf of Maine",55,45,0.818181818181818
"48",2009,4,"Mid-Atlantic Bight",50,43,0.86
"49",2009,5,"Connecticut",43,37,0.86046511627907
"50",2009,6,"Maine",43,36,0.837209302325581
"51",2009,7,"Massachusetts-North",50,43,0.86
"52",2009,8,"Massachusetts-South",55,47,0.854545454545454
"53",2009,9,"New Hampshire",43,36,0.837209302325581
"54",2009,10,"New York",48,41,0.854166666666667
"55",2009,11,"Rhode Island",46,39,0.847826086956522
"56",2010,1,"Offshore",53,42,0.792452830188679
"57",2010,2,"Georges Bank",59,46,0.779661016949153
"58",2010,3,"Gulf of Maine",55,42,0.763636363636364
"59",2010,4,"Mid-Atlantic Bight",50,41,0.82
"60",2010,5,"Connecticut",43,35,0.813953488372093
"61",2010,6,"Maine",43,33,0.767441860465116
"62",2010,7,"Massachusetts-North",50,40,0.8
"63",2010,8,"Massachusetts-South",55,44,0.8
"64",2010,9,"New Hampshire",43,33,0.767441860465116
"65",2010,10,"New York",48,39,0.8125
"66",2010,11,"Rhode Island",46,37,0.804347826086957
"67",2011,1,"Offshore",53,43,0.811320754716981
