"","species","rgn_id","rgn_name"
"1","alewife",3,"Gulf of Maine"
"2","alewife",4,"Mid-Atlantic Bight"
"3","alewife",5,"Connecticut"
"4","alewife",6,"Maine"
"5","alewife",7,"Massachusetts-Gulf of Maine"
"6","alewife",8,"Massachusetts-Virginian"
"7","alewife",9,"New Hampshire"
"8","alewife",10,"New York"
"9","alewife",11,"Rhode Island"
"10","black sea bass",1,"Offshore"
"11","black sea bass",2,"Georges Bank"
"12","black sea bass",3,"Gulf of Maine"
"13","black sea bass",4,"Mid-Atlantic Bight"
"14","black sea bass",5,"Connecticut"
"15","black sea bass",7,"Massachusetts-Gulf of Maine"
"16","black sea bass",8,"Massachusetts-Virginian"
"17","black sea bass",10,"New York"
"18","black sea bass",11,"Rhode Island"
"19","bluefish",1,"Offshore"
"20","bluefish",2,"Georges Bank"
"21","bluefish",3,"Gulf of Maine"
"22","bluefish",4,"Mid-Atlantic Bight"
"23","bluefish",5,"Connecticut"
"24","bluefish",6,"Maine"
"25","bluefish",7,"Massachusetts-Gulf of Maine"
"26","bluefish",8,"Massachusetts-Virginian"
"27","bluefish",9,"New Hampshire"
"28","bluefish",10,"New York"
"29","bluefish",11,"Rhode Island"
"30","bonito",1,"Offshore"
"31","bonito",2,"Georges Bank"
"32","bonito",3,"Gulf of Maine"
"33","bonito",4,"Mid-Atlantic Bight"
"34","bonito",5,"Connecticut"
"35","bonito",7,"Massachusetts-Gulf of Maine"
"36","bonito",8,"Massachusetts-Virginian"
"37","bonito",10,"New York"
"38","bonito",11,"Rhode Island"
"39","butterfish",1,"Offshore"
"40","butterfish",2,"Georges Bank"
"41","butterfish",3,"Gulf of Maine"
"42","butterfish",4,"Mid-Atlantic Bight"
"43","butterfish",5,"Connecticut"
"44","butterfish",6,"Maine"
"45","butterfish",7,"Massachusetts-Gulf of Maine"
"46","butterfish",8,"Massachusetts-Virginian"
"47","butterfish",9,"New Hampshire"
"48","butterfish",10,"New York"
"49","butterfish",11,"Rhode Island"
"50","clam, razor",2,"Georges Bank"
"51","clam, razor",3,"Gulf of Maine"
"52","clam, razor",7,"Massachusetts-Gulf of Maine"
"53","clam, razor",8,"Massachusetts-Virginian"
"54","clam, surf",1,"Offshore"
