"","year","state","fac_total","fac_violations","percent_w_violations","percent_no_violation"
"1",2005,"CT",2511,275,0.109518120270808,0.890481879729192
"2",2005,"MA",5914,367,0.0620561379776801,0.93794386202232
"3",2005,"ME",2594,372,0.143407864302236,0.856592135697764
"4",2005,"NH",2017,106,0.0525532969757065,0.947446703024293
"5",2005,"NY",10807,1548,0.143240492273526,0.856759507726474
"6",2005,"RI",1246,171,0.137239165329053,0.862760834670947
"7",2006,"CT",2511,310,0.123456790123457,0.876543209876543
"8",2006,"MA",5914,397,0.0671288468041934,0.932871153195807
"9",2006,"ME",2594,406,0.156515034695451,0.843484965304549
"10",2006,"NH",2017,130,0.0644521566683193,0.935547843331681
"11",2006,"NY",10807,1629,0.150735634311095,0.849264365688905
"12",2006,"RI",1246,172,0.138041733547352,0.861958266452649
"13",2007,"CT",2511,310,0.123456790123457,0.876543209876543
"14",2007,"MA",5914,404,0.0683124788637132,0.931687521136287
"15",2007,"ME",2594,438,0.168851195065536,0.831148804934464
"16",2007,"NH",2017,131,0.0649479424888448,0.935052057511155
"17",2007,"NY",10807,1546,0.143055427038031,0.856944572961969
"18",2007,"RI",1246,127,0.101926163723917,0.898073836276084
"19",2008,"CT",2511,256,0.101951413779371,0.898048586220629
"20",2008,"MA",5914,394,0.0666215759215421,0.933378424078458
"21",2008,"ME",2594,426,0.164225134926754,0.835774865073246
"22",2008,"NH",2017,122,0.060485870104115,0.939514129895885
"23",2008,"NY",10807,3223,0.298232627001018,0.701767372998982
"24",2008,"RI",1246,196,0.157303370786517,0.842696629213483
"25",2009,"CT",2511,218,0.0868180007964954,0.913181999203505
"26",2009,"MA",5914,381,0.0644234020967197,0.93557659790328
"27",2009,"ME",2594,416,0.160370084811103,0.839629915188898
"28",2009,"NH",2017,118,0.0585027268220129,0.941497273177987
"29",2009,"NY",10807,2908,0.269084852410475,0.730915147589525
"30",2009,"RI",1246,192,0.154093097913323,0.845906902086677
"31",2010,"CT",2511,219,0.0872162485065711,0.912783751493429
"32",2010,"MA",5914,374,0.0632397700371999,0.9367602299628
"33",2010,"ME",2594,419,0.161526599845798,0.838473400154202
"34",2010,"NH",2017,113,0.0560237977193852,0.943976202280615
"35",2010,"NY",10807,2700,0.249838067918941,0.750161932081059
"36",2010,"RI",1246,172,0.138041733547352,0.861958266452649
"37",2011,"CT",2511,238,0.0947829549980088,0.905217045001991
"38",2011,"MA",5914,358,0.0605343253297261,0.939465674670274
"39",2011,"ME",2594,401,0.154587509637625,0.845412490362375
"40",2011,"NH",2017,107,0.053049082796232,0.946950917203768
"41",2011,"NY",10807,4010,0.371055797168502,0.628944202831498
"42",2011,"RI",1246,176,0.141252006420546,0.858747993579454
"43",2012,"CT",2511,261,0.103942652329749,0.896057347670251
"44",2012,"MA",5914,354,0.0598579641528576,0.940142035847142
"45",2012,"ME",2594,400,0.15420200462606,0.84579799537394
"46",2012,"NH",2017,106,0.0525532969757065,0.947446703024293
"47",2012,"NY",10807,3954,0.365873970574628,0.634126029425372
"48",2012,"RI",1246,214,0.171749598715891,0.828250401284109
"49",2013,"CT",2511,279,0.111111111111111,0.888888888888889
"50",2013,"MA",5914,351,0.0593506932702063,0.940649306729794
"51",2013,"ME",2594,314,0.121048573631457,0.878951426368543
"52",2013,"NH",2017,122,0.060485870104115,0.939514129895885
"53",2013,"NY",10807,3935,0.36411585083742,0.63588414916258
"54",2013,"RI",1246,199,0.159711075441413,0.840288924558588
"55",2014,"CT",2511,300,0.1194743130227,0.8805256869773
"56",2014,"MA",5914,375,0.063408860331417,0.936591139668583
"57",2014,"ME",2594,274,0.105628373168851,0.894371626831149
"58",2014,"NH",2017,116,0.0575111551809618,0.942488844819038
"59",2014,"NY",10807,4188,0.387526603127602,0.612473396872398
"60",2014,"RI",1246,213,0.170947030497592,0.829052969502408
"61",2015,"CT",2511,322,0.128235762644365,0.871764237355635
"62",2015,"MA",5914,317,0.0536016232668245,0.946398376733176
"63",2015,"ME",2594,275,0.106013878180416,0.893986121819584
"64",2015,"NH",2017,98,0.0485870104115022,0.951412989588498
"65",2015,"NY",10807,4281,0.396132136578144,0.603867863421856
"66",2015,"RI",1246,274,0.219903691813804,0.780096308186196
"67",2016,"CT",2511,298,0.118677817602549,0.881322182397451
"68",2016,"MA",5914,477,0.0806560703415624,0.919343929658438
"69",2016,"ME",2594,294,0.113338473400154,0.886661526599846
"70",2016,"NH",2017,135,0.0669310857709469,0.933068914229053
"71",2016,"NY",10807,7328,0.678079022855557,0.321920977144443
"72",2016,"RI",1246,253,0.203049759229534,0.796950240770466
"73",2017,"CT",2511,349,0.138988450816408,0.861011549183592
"74",2017,"MA",5914,661,0.111768684477511,0.888231315522489
"75",2017,"ME",2594,383,0.147648419429453,0.852351580570547
"76",2017,"NH",2017,249,0.123450669310858,0.876549330689142
"77",2017,"NY",10807,7482,0.692329045988711,0.307670954011289
"78",2017,"RI",1246,282,0.226324237560193,0.773675762439807
