"","nmfs_original_species","stock_assessment_species_name","stock_assessment_species_location","stockid","source","stock","rgn_name","rgn_id","year","assessment","assesment_sum_5yr","adeq_assessed"
"1","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","Offshore",1,2005,1,1,1
"2","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","Offshore",1,2006,0,1,1
"3","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","Offshore",1,2007,0,1,1
"4","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","Offshore",1,2008,1,2,1
"5","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","Offshore",1,2009,0,2,1
"6","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","Offshore",1,2010,0,1,1
"7","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","Offshore",1,2011,0,1,1
"8","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","Offshore",1,2012,1,2,1
"9","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","Offshore",1,2013,1,2,1
"10","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","Offshore",1,2014,0,2,1
"11","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","Offshore",1,2015,0,2,1
"12","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","Offshore",1,2016,0,2,1
"13","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","Offshore",1,2017,0,1,1
"14","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","Georges Bank",2,2005,1,1,1
"15","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","Georges Bank",2,2006,0,1,1
"16","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","Georges Bank",2,2007,0,1,1
"17","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","Georges Bank",2,2008,1,2,1
"18","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","Georges Bank",2,2009,0,2,1
"19","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","Georges Bank",2,2010,0,1,1
"20","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","Georges Bank",2,2011,0,1,1
"21","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","Georges Bank",2,2012,1,2,1
"22","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","Georges Bank",2,2013,1,2,1
"23","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","Georges Bank",2,2014,0,2,1
"24","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","Georges Bank",2,2015,0,2,1
"25","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","Georges Bank",2,2016,0,2,1
