"","year","rgn_id","rgn_name","annual_catch","annual_catch_ass","per_catch_landed"
"1",2006,3,"Gulf of Maine",204222557.217818,199181122.209314,0.9753140148807
"2",2007,3,"Gulf of Maine",170133759.592935,164089260.254642,0.9644720756612
"3",2012,4,"Mid-Atlantic Bight",101660903.295233,95785066.7859942,0.942201610267271
"4",2013,4,"Mid-Atlantic Bight",98696584.31169,91486268.6529655,0.92694462823603
"5",2014,4,"Mid-Atlantic Bight",84622463.3385599,76977127.5459919,0.909653589709623
"6",2015,4,"Mid-Atlantic Bight",81465379.7765105,74803865.6014691,0.918228894368179
"7",2016,4,"Mid-Atlantic Bight",79189518.1768178,71981271.3753219,0.908974735956834
"8",2017,4,"Mid-Atlantic Bight",73746998.2191528,62723244.9535726,0.850519295269198
"9",2013,5,"Connecticut",1564066.98534173,1508071.3180413,0.964198677022647
"10",2014,5,"Connecticut",2310188.56406559,2273246.89471409,0.98400924066281
"11",2016,5,"Connecticut",2311667.3102164,2266741.55099264,0.980565646697856
"12",2017,5,"Connecticut",1635307.94978944,1592292.98724433,0.973696108705003
"13",2006,6,"Maine",28713676.7815995,27755856.0132635,0.966642350416449
"14",2007,6,"Maine",25651744.4314602,24330755.4878392,0.948502958652553
"15",2006,7,"Massachusetts-North",19803909.8590921,19685615.015024,0.994026692460741
"16",2007,7,"Massachusetts-North",17125104.6885464,16899936.9013002,0.986851596452036
"17",2012,8,"Massachusetts-South",7762007.93596351,7010073.94388398,0.903126356184768
"18",2013,8,"Massachusetts-South",7563191.7146769,6731911.05786059,0.890088644030648
"19",2014,8,"Massachusetts-South",5598065.80870516,4758866.77014921,0.850091251651425
"20",2015,8,"Massachusetts-South",3626403.46698486,2915979.36272275,0.804096783292351
"21",2016,8,"Massachusetts-South",6227555.62118085,5560080.97840215,0.892819159975301
"22",2017,8,"Massachusetts-South",4497238.21322553,3797374.17691264,0.844379149351101
"23",2006,9,"New Hampshire",1583360.46467038,1504561.31996641,0.950232971921292
"24",2007,9,"New Hampshire",824858.586228585,724093.333622442,0.877839360238872
"25",2013,10,"New York",5359505.06111535,5178040.20702236,0.966141490301117
"26",2014,10,"New York",6051528.78306226,5958985.83113767,0.984707508591283
"27",2016,10,"New York",6372077.82673202,6232697.18251972,0.978126343085834
"28",2017,10,"New York",5109709.97192748,4986234.4250053,0.97583511635679
"29",2012,11,"Rhode Island",20073804.6647892,19938953.2072244,0.993282217306749
"30",2013,11,"Rhode Island",19472290.251004,19307781.4653467,0.991551646799798
"31",2014,11,"Rhode Island",16984948.4984496,16852283.6288674,0.992189268657818
"32",2015,11,"Rhode Island",9410132.02159286,9276355.83132291,0.985783813663508
"33",2016,11,"Rhode Island",9823835.10218899,9715344.49892339,0.98895639003128
"34",2017,11,"Rhode Island",4756949.14156348,4633821.61310294,0.97411628234897
"35",2005,1,"Offshore",40131578.4045447,38950444.5158205,0.970568466636975
"36",2006,1,"Offshore",28715337.1703845,27846683.9401081,0.969749502674403
"37",2007,1,"Offshore",23755260.7867448,22909655.2853582,0.964403442716216
"38",2008,1,"Offshore",20124146.0525402,18559627.069823,0.922256627504462
"39",2009,1,"Offshore",23442719.4163002,22004133.2763792,0.938633990606024
"40",2010,1,"Offshore",28650917.6304815,27407706.8465952,0.956608343232828
"41",2011,1,"Offshore",24476902.8646048,23398817.7752204,0.955955003974647
"42",2012,1,"Offshore",14682319.6561724,13785126.3373788,0.93889294472509
"43",2013,1,"Offshore",12771132.4152416,11575916.8067712,0.906412715050705
"44",2014,1,"Offshore",13314151.9143792,11689097.0083413,0.877945293362402
"45",2015,1,"Offshore",16766354.7811403,15281565.4601327,0.911442329570783
"46",2016,1,"Offshore",12508729.6601622,11097136.7099544,0.887151374395481
"47",2017,1,"Offshore",12679000.5698182,10310492.6984057,0.813194434500568
