"","Year","rgn_name","rgn_id","nas_score"
"1",2011,"Connecticut","5",0
"2",2013,"New York","10",0
"3",2008,"New York","10",0.00769230769230769
"4",2007,"Maine","6",0
"5",2011,"New York","10",0.00900900900900901
"6",2015,"New York","10",0
"7",2012,"New York","10",0
"8",2005,"Massachusetts-North","7",0
"9",2008,"Massachusetts-North","7",0
"10",2009,"New Hampshire","9",0
"11",2010,"New York","10",0
"12",2006,"New York","10",0
"13",2010,"Connecticut","5",0
"14",2009,"Maine","6",0
"15",2007,"Connecticut","5",0
"16",2009,"New York","10",0
"17",2005,"New York","10",0
"18",2007,"New York","10",0
"19",2010,"Massachusetts-North","7",0
"20",2016,"Massachusetts-North","7",0
"21",2006,"Massachusetts-North","7",0
"22",2014,"New York","10",0
"23",2016,"New York","10",0
"24",2009,"Connecticut","5",0
"25",2005,"Connecticut","5",0
"26",2006,"Connecticut","5",0
"27",2013,"Connecticut","5",0.4
"28",2015,"Massachusetts-North","7",0
"29",2008,"New Hampshire","9",0
"30",2016,"New Hampshire","9",0
"31",2005,"New Hampshire","9",0
"32",2015,"Rhode Island","11",0
"33",2009,"Massachusetts-North","7",0
"34",2008,"Connecticut","5",0
"35",2014,"Connecticut","5",0
"36",2015,"Connecticut","5",0.142857142857143
"37",2005,"Maine","6",0.166666666666667
"38",2006,"Maine","6",0.0769230769230769
"39",2006,"New Hampshire","9",0
"40",2007,"New Hampshire","9",0
"41",2017,"New York","10",0
"42",2017,"Massachusetts-North","7",0
"43",2012,"Maine","6",0
"44",2016,"Maine","6",0
"45",2017,"New Hampshire","9",0
"46",2007,"Massachusetts-North","7",0
"47",2014,"Massachusetts-North","7",0
"48",2013,"Massachusetts-North","7",0
"49",2005,"Rhode Island","11",0
"50",2009,"Rhode Island","11",0
"51",2014,"Rhode Island","11",0
"52",2010,"Rhode Island","11",0
"53",2007,"Rhode Island","11",0
"54",2012,"Connecticut","5",0
"55",2011,"Maine","6",0.75
"56",2016,"Connecticut","5",0
"57",2013,"Maine","6",0
"58",2017,"Connecticut","5",0
"59",2015,"Maine","6",0
"60",2014,"Maine","6",0
"61",2010,"Maine","6",0
"62",2011,"Massachusetts-North","7",0
"63",2011,"New Hampshire","9",0
"64",2008,"Maine","6",0.125
"65",2017,"Maine","6",0
"66",2015,"New Hampshire","9",0
"67",2014,"New Hampshire","9",0
"68",2010,"New Hampshire","9",0
"69",2013,"New Hampshire","9",0
"70",2012,"Massachusetts-North","7",0
"71",2012,"New Hampshire","9",0
"72",2017,"Rhode Island","11",0
"73",2016,"Rhode Island","11",0
"74",2006,"Rhode Island","11",0
"75",2005,"Massachusetts-South","8",0
"76",2008,"Massachusetts-South","8",0
"77",2010,"Massachusetts-South","8",0
"78",2016,"Massachusetts-South","8",0
"79",2006,"Massachusetts-South","8",0
"80",2015,"Massachusetts-South","8",0
"81",2009,"Massachusetts-South","8",0
"82",2017,"Massachusetts-South","8",0
"83",2007,"Massachusetts-South","8",0
"84",2014,"Massachusetts-South","8",0
"85",2013,"Massachusetts-South","8",0
"86",2011,"Massachusetts-South","8",0
"87",2012,"Massachusetts-South","8",0
"88",2011,"Northeast","12",0.0298507462686567
"89",2013,"Northeast","12",0.021978021978022
"90",2008,"Northeast","12",0.0111111111111111
"91",2007,"Northeast","12",0
"92",2015,"Northeast","12",0.0105263157894737
"93",2012,"Northeast","12",0
"94",2005,"Northeast","12",0.00598802395209581
"95",2009,"Northeast","12",0
"96",2010,"Northeast","12",0
"97",2006,"Northeast","12",0.00671140939597315
"98",2016,"Northeast","12",0
"99",2014,"Northeast","12",0
"100",2017,"Northeast","12",0
