"","year","state","recieved","expect","percent_recieved"
"1",2009,"CT",130445,130445,1
"2",2009,"MA",101130,102756,0.98417610650473
"3",2009,"ME",82678,85510,0.966881066541925
"4",2009,"NH",40726,40841,0.9971842021498
"5",2009,"NY",515636,517016,0.99733083695669
"6",2009,"RI",45477,45477,1
"7",2010,"CT",128342,128342,1
"8",2010,"MA",103549,103549,1
"9",2010,"ME",80077,82388,0.971949798514347
"10",2010,"NH",40721,40820,0.997574718275355
"11",2010,"NY",521697,523307,0.996923412069779
"12",2010,"RI",45642,45642,1
"13",2011,"CT",128656,128656,1
"14",2011,"MA",103150,103150,1
"15",2011,"ME",81349,82716,0.983473572223028
"16",2011,"NH",40210,40210,1
"17",2011,"NY",533148,534640,0.997209337124046
"18",2011,"RI",46621,46621,1
"19",2012,"CT",127430,127430,1
"20",2012,"MA",102098,103575,0.98573980207579
"21",2012,"ME",80123,80818,0.991400430597144
"22",2012,"NH",42033,42033,1
"23",2012,"NY",542797,544661,0.996577687772761
"24",2012,"RI",42751,42751,1
"25",2013,"CT",128194,129114,0.992874513995384
"26",2013,"MA",105635,105635,1
"27",2013,"ME",82149,82573,0.99486514962518
"28",2013,"NH",43505,43505,1
"29",2013,"NY",542919,545149,0.995909375235028
"30",2013,"RI",37956,37956,1
"31",2014,"CT",131640,132920,0.990370147457117
"32",2014,"MA",106856,108101,0.988482992756774
"33",2014,"ME",81905,82143,0.997102613734585
"34",2014,"NH",43494,43494,1
"35",2014,"NY",543306,545446,0.996076605200148
"36",2014,"RI",33225,34257,0.969874770119975
"37",2015,"CT",143305,144541,0.991448793076013
"38",2015,"MA",108906,110400,0.986467391304348
"39",2015,"ME",80793,81137,0.995760257342519
"40",2015,"NH",41484,41484,1
"41",2015,"NY",547107,549224,0.996145470700479
"42",2015,"RI",33644,34740,0.968451352907311
"43",2016,"CT",154361,155873,0.990299795346211
"44",2016,"MA",120207,121687,0.987837649050433
"45",2016,"ME",82166,82597,0.994781892804823
"46",2016,"NH",45762,45762,1
"47",2016,"NY",556601,560331,0.993343220346545
"48",2016,"RI",33090,33917,0.97561694725359
"49",2017,"CT",165100,166786,0.989891237873682
"50",2017,"MA",123621,124349,0.994145509815117
"51",2017,"ME",83247,83635,0.995360793925988
"52",2017,"NH",47424,47424,1
"53",2017,"NY",560664,565392,0.991637660242805
"54",2017,"RI",33037,33742,0.979106158496829
"55",2009,"Northeast",916092,922045,0.993543699060241
"56",2010,"Northeast",920028,924048,0.995649576645369
"57",2011,"Northeast",933134,935993,0.996945489976955
"58",2012,"Northeast",937232,941268,0.99571216699176
"59",2013,"Northeast",940358,943932,0.996213710309641
"60",2014,"Northeast",940426,946361,0.993728608850111
"61",2015,"Northeast",955239,961526,0.993461435260201
"62",2016,"Northeast",992187,1000167,0.992021332437483
"63",2017,"Northeast",1013093,1021328,0.99193696833926
