"","state","index","rank","year","target","score"
"1","Massachusetts",7.57,1,2017,10,0.757
"2","New Hampshire",6.23,6,2017,10,0.623
"3","Maine",5.38,19,2017,10,0.538
"4","New York",4.63,32,2017,10,0.463
"5","Rhode Island",4.34,36,2017,10,0.434
"6","Connecticut",4.25,40,2017,10,0.425
"7","Massachusetts",7.34,1,2016,10,0.734
"8","New Hampshire",6.08,8,2016,10,0.608
"9","Maine",4.3,39,2016,10,0.43
"10","New York",4.76,31,2016,10,0.476
"11","Rhode Island",4.46,35,2016,10,0.446
"12","Connecticut",4,43,2016,10,0.4
"13","Massachusetts",7.91,1,2015,10,0.791
"14","New Hampshire",6.37,4,2015,10,0.637
"15","Maine",5.27,20,2015,10,0.527
"16","New York",4.86,27,2015,10,0.486
"17","Rhode Island",5.88,8,2015,10,0.588
"18","Connecticut",4.62,32,2015,10,0.462
"19","Massachusetts",8.1,1,2014,10,0.81
"20","New Hampshire",6.28,6,2014,10,0.628
"21","Maine",5.19,17,2014,10,0.519
"22","New York",4.98,24,2014,10,0.498
"23","Rhode Island",5,22,2014,10,0.5
"24","Connecticut",4.34,40,2014,10,0.434
"25","Massachusetts",7.57,1,2013,10,0.757
"26","New Hampshire",6.85,3,2013,10,0.685
"27","Maine",4.95,24,2013,10,0.495
"28","New York",4.8,26,2013,10,0.48
"29","Rhode Island",5.43,17,2013,10,0.543
"30","Connecticut",4.77,27,2013,10,0.477
"31","Massachusetts",7.77,1,2012,10,0.777
"32","New Hampshire",5.67,12,2012,10,0.567
"33","Maine",4.69,30,2012,10,0.469
"34","New York",4.59,34,2012,10,0.459
"35","Rhode Island",5.11,23,2012,10,0.511
"36","Connecticut",4.62,33,2012,10,0.462
"37","Massachusetts",7.34,1,2011,10,0.734
"38","New Hampshire",5.84,11,2011,10,0.584
"39","Maine",4.56,28,2011,10,0.456
"40","New York",4.53,29,2011,10,0.453
"41","Rhode Island",5.39,19,2011,10,0.539
"42","Connecticut",4.88,26,2011,10,0.488
"43","Massachusetts",6.76,3,2010,10,0.676
"44","New Hampshire",5.91,10,2010,10,0.591
"45","Maine",4.65,32,2010,10,0.465
"46","New York",4.66,31,2010,10,0.466
"47","Rhode Island",5.31,20,2010,10,0.531
"48","Connecticut",4.73,28,2010,10,0.473
"49","Massachusetts",7.04,1,2009,10,0.704
"50","New Hampshire",5.7,15,2009,10,0.57
"51","Maine",5.05,23,2009,10,0.505
"52","New York",4.37,35,2009,10,0.437
"53","Rhode Island",4.68,29,2009,10,0.468
"54","Connecticut",4.81,26,2009,10,0.481
"55","Massachusetts",7.33,1,2008,10,0.733
"56","New Hampshire",5.63,17,2008,10,0.563
"57","Maine",4.7,26,2008,10,0.47
"58","New York",4.38,35,2008,10,0.438
"59","Rhode Island",4.58,31,2008,10,0.458
"60","Connecticut",5.16,21,2008,10,0.516
"61","Massachusetts",7.07,2,2007,10,0.707
"62","New Hampshire",5.88,9,2007,10,0.588
"63","Maine",4.45,35,2007,10,0.445
"64","New York",4.37,38,2007,10,0.437
"65","Rhode Island",5.19,21,2007,10,0.519
"66","Connecticut",4.93,25,2007,10,0.493
"67","Massachusetts",7.28,1,2006,10,0.728
"68","New Hampshire",6.6,3,2006,10,0.66
"69","Maine",4.33,36,2006,10,0.433
"70","New York",4.44,35,2006,10,0.444
"71","Rhode Island",4.95,25,2006,10,0.495
"72","Connecticut",5.01,24,2006,10,0.501
"73","Massachusetts",7.16,1,2005,10,0.716
"74","New Hampshire",6.67,3,2005,10,0.667
"75","Maine",4.46,38,2005,10,0.446
"76","New York",4.27,40,2005,10,0.427
"77","Rhode Island",4.67,31,2005,10,0.467
"78","Connecticut",5.21,21,2005,10,0.521
