"","year","rgn_id","rgn_name","svi_score"
"1",2009,"5","Connecticut",0.629155728347306
"2",2010,"5","Connecticut",0.617162114133112
"3",2011,"5","Connecticut",0.62569238350021
"4",2012,"5","Connecticut",0.629855837687114
"5",2013,"5","Connecticut",0.608670574207007
"6",2014,"5","Connecticut",0.614605909068209
"7",2015,"5","Connecticut",0.48459136650746
"8",2016,"5","Connecticut",0.488505403060721
"9",2009,"7","Massachusetts-North",0.542496722365238
"10",2009,"7","Massachusetts-North",0.541160735759733
"11",2009,"8","Massachusetts-South",0.482549077338645
"12",2010,"7","Massachusetts-North",0.545658989864027
"13",2010,"7","Massachusetts-North",0.613965612737079
"14",2010,"8","Massachusetts-South",0.49390426910119
"15",2011,"7","Massachusetts-North",0.555634954716037
"16",2011,"7","Massachusetts-North",0.654323351099979
"17",2011,"8","Massachusetts-South",0.50140434425073
"18",2012,"7","Massachusetts-North",0.557168599041266
"19",2012,"7","Massachusetts-North",0.654323351099979
"20",2012,"8","Massachusetts-South",0.502253184561204
"21",2013,"7","Massachusetts-North",0.540092685685381
"22",2013,"7","Massachusetts-North",0.69923123236917
"23",2013,"8","Massachusetts-South",0.475751238912353
"24",2014,"7","Massachusetts-North",0.548821209391025
"25",2014,"7","Massachusetts-North",0.626426355391824
"26",2014,"8","Massachusetts-South",0.502198947672711
"27",2015,"7","Massachusetts-North",0.400373683598275
"28",2015,"7","Massachusetts-North",0.421334236661015
"29",2015,"8","Massachusetts-South",0.362008503226267
"30",2016,"7","Massachusetts-North",0.410792319906278
"31",2016,"7","Massachusetts-North",0.34852935968367
"32",2016,"8","Massachusetts-South",0.374622403635464
"33",2009,"6","Maine",0.545358882044728
"34",2010,"6","Maine",0.548613665489562
"35",2011,"6","Maine",0.551668856045078
"36",2012,"6","Maine",0.544990594157061
"37",2013,"6","Maine",0.538240678633879
"38",2014,"6","Maine",0.547608160255492
"39",2015,"6","Maine",0.412625868333578
"40",2016,"6","Maine",0.41229766838407
"41",2009,"9","New Hampshire",0.630601502930609
"42",2010,"9","New Hampshire",0.638820623008642
"43",2011,"9","New Hampshire",0.651205881986516
"44",2012,"9","New Hampshire",0.638725031882724
"45",2013,"9","New Hampshire",0.623981194950303
"46",2014,"9","New Hampshire",0.64206338082631
"47",2015,"9","New Hampshire",0.493483569605573
"48",2016,"9","New Hampshire",0.496955790612332
"49",2009,"10","New York",0.505253918449881
"50",2010,"10","New York",0.517117405981796
"51",2011,"10","New York",0.510235527140192
"52",2012,"10","New York",0.518358537768178
"53",2013,"10","New York",0.512220887521215
"54",2014,"10","New York",0.514916862038628
"55",2015,"10","New York",0.359471827738712
"56",2016,"10","New York",0.359787093357335
"57",2009,"11","Rhode Island",0.56296947339317
"58",2010,"11","Rhode Island",0.598944517337789
"59",2011,"11","Rhode Island",0.594905493219557
"60",2012,"11","Rhode Island",0.603484591476554
"61",2013,"11","Rhode Island",0.588993659975637
"62",2014,"11","Rhode Island",0.595276482255453
"63",2015,"11","Rhode Island",0.476636461962054
"64",2016,"11","Rhode Island",0.469910041111908
