"","year","oi_score","rgn_id","rgn_name"
"1",2005,0.574,"5","Connecticut"
"2",2006,0.574,"5","Connecticut"
"3",2007,0.574,"5","Connecticut"
"4",2008,0.574,"5","Connecticut"
"5",2009,0.574,"5","Connecticut"
"6",2010,0.574,"5","Connecticut"
"7",2011,0.574,"5","Connecticut"
"8",2012,0.574,"5","Connecticut"
"9",2013,0.574,"5","Connecticut"
"10",2014,0.619,"5","Connecticut"
"11",2015,0.628,"5","Connecticut"
"12",2016,0.628,"5","Connecticut"
"13",2017,0.587,"5","Connecticut"
"14",2005,0.567,"6","Maine"
"15",2006,0.567,"6","Maine"
"16",2007,0.567,"6","Maine"
"17",2008,0.567,"6","Maine"
"18",2009,0.567,"6","Maine"
"19",2010,0.567,"6","Maine"
"20",2011,0.567,"6","Maine"
"21",2012,0.567,"6","Maine"
"22",2013,0.567,"6","Maine"
"23",2014,0.586,"6","Maine"
"24",2015,0.584,"6","Maine"
"25",2016,0.602,"6","Maine"
"26",2017,0.579,"6","Maine"
"27",2005,0.591,"7","Massachusetts-North"
"28",2006,0.591,"7","Massachusetts-North"
"29",2007,0.591,"7","Massachusetts-North"
"30",2008,0.591,"7","Massachusetts-North"
"31",2009,0.591,"7","Massachusetts-North"
"32",2010,0.591,"7","Massachusetts-North"
"33",2011,0.591,"7","Massachusetts-North"
"34",2012,0.591,"7","Massachusetts-North"
"35",2013,0.591,"7","Massachusetts-North"
"36",2014,0.627,"7","Massachusetts-North"
"37",2015,0.631,"7","Massachusetts-North"
"38",2016,0.631,"7","Massachusetts-North"
"39",2017,0.605,"7","Massachusetts-North"
"40",2005,0.591,"8","Massachusetts-South"
"41",2006,0.591,"8","Massachusetts-South"
"42",2007,0.591,"8","Massachusetts-South"
"43",2008,0.591,"8","Massachusetts-South"
"44",2009,0.591,"8","Massachusetts-South"
"45",2010,0.591,"8","Massachusetts-South"
"46",2011,0.591,"8","Massachusetts-South"
"47",2012,0.591,"8","Massachusetts-South"
"48",2013,0.591,"8","Massachusetts-South"
"49",2014,0.627,"8","Massachusetts-South"
"50",2015,0.631,"8","Massachusetts-South"
"51",2016,0.631,"8","Massachusetts-South"
"52",2017,0.605,"8","Massachusetts-South"
"53",2005,0.604,"9","New Hampshire"
"54",2006,0.604,"9","New Hampshire"
"55",2007,0.604,"9","New Hampshire"
"56",2008,0.604,"9","New Hampshire"
"57",2009,0.604,"9","New Hampshire"
"58",2010,0.604,"9","New Hampshire"
"59",2011,0.604,"9","New Hampshire"
"60",2012,0.604,"9","New Hampshire"
"61",2013,0.604,"9","New Hampshire"
"62",2014,0.614,"9","New Hampshire"
"63",2015,0.614,"9","New Hampshire"
"64",2016,0.629,"9","New Hampshire"
"65",2017,0.597,"9","New Hampshire"
"66",2005,0.539,"10","New York"
"67",2006,0.539,"10","New York"
"68",2007,0.539,"10","New York"
"69",2008,0.539,"10","New York"
"70",2009,0.539,"10","New York"
"71",2010,0.539,"10","New York"
"72",2011,0.539,"10","New York"
"73",2012,0.539,"10","New York"
"74",2013,0.539,"10","New York"
"75",2014,0.575,"10","New York"
"76",2015,0.584,"10","New York"
"77",2016,0.583,"10","New York"
"78",2017,0.564,"10","New York"
"79",2005,0.509,"11","Rhode Island"
"80",2006,0.509,"11","Rhode Island"
"81",2007,0.509,"11","Rhode Island"
"82",2008,0.509,"11","Rhode Island"
"83",2009,0.509,"11","Rhode Island"
"84",2010,0.509,"11","Rhode Island"
"85",2011,0.509,"11","Rhode Island"
"86",2012,0.509,"11","Rhode Island"
"87",2013,0.509,"11","Rhode Island"
"88",2014,0.534,"11","Rhode Island"
"89",2015,0.559,"11","Rhode Island"
"90",2016,0.547,"11","Rhode Island"
"91",2017,0.545,"11","Rhode Island"
