"","year","rgn_id","rgn_name","score_lcv"
"1",2005,"5","Connecticut",0.8
"2",2005,"7","Massachusetts-North",0.95
"3",2005,"6","Maine",0.7
"4",2005,"9","New Hampshire",0.35
"5",2005,"10","New York",0.975
"6",2005,"11","Rhode Island",0.95
"7",2006,"5","Connecticut",0.855
"8",2006,"7","Massachusetts-North",0.855
"9",2006,"6","Maine",0.785
"10",2006,"9","New Hampshire",0.43
"11",2006,"10","New York",0.71
"12",2006,"11","Rhode Island",0.855
"13",2007,"5","Connecticut",0.765
"14",2007,"7","Massachusetts-North",0.93
"15",2007,"6","Maine",0.9
"16",2007,"9","New Hampshire",0.565
"17",2007,"10","New York",0.83
"18",2007,"11","Rhode Island",0.93
"19",2008,"5","Connecticut",1
"20",2008,"7","Massachusetts-North",0.68
"21",2008,"6","Maine",0.955
"22",2008,"9","New Hampshire",0.225
"23",2008,"10","New York",0.635
"24",2008,"11","Rhode Island",1
"25",2009,"5","Connecticut",1
"26",2009,"7","Massachusetts-North",1
"27",2009,"6","Maine",0.685
"28",2009,"9","New Hampshire",0.59
"29",2009,"10","New York",1
"30",2009,"11","Rhode Island",1
"31",2010,"5","Connecticut",0.64
"32",2010,"7","Massachusetts-North",0.43
"33",2010,"6","Maine",0
"34",2010,"9","New Hampshire",0.425
"35",2010,"10","New York",1
"36",2010,"11","Rhode Island",1
"37",2011,"5","Connecticut",1
"38",2011,"7","Massachusetts-North",0.68
"39",2011,"6","Maine",0.595
"40",2011,"9","New Hampshire",0.545
"41",2011,"10","New York",1
"42",2011,"11","Rhode Island",1
"43",2012,"5","Connecticut",0.93
"44",2012,"7","Massachusetts-North",0.75
"45",2012,"6","Maine",0.71
"46",2012,"9","New Hampshire",0.645
"47",2012,"10","New York",0.93
"48",2012,"11","Rhode Island",1
"49",2013,"5","Connecticut",1
"50",2013,"7","Massachusetts-North",1
"51",2013,"6","Maine",0.805
"52",2013,"9","New Hampshire",0.655
"53",2013,"10","New York",1
"54",2013,"11","Rhode Island",0.92
"55",2014,"5","Connecticut",0.8
"56",2014,"7","Massachusetts-North",0.8
"57",2014,"6","Maine",0.4
"58",2014,"9","New Hampshire",0.4
"59",2014,"10","New York",0.7
"60",2014,"11","Rhode Island",0.8
"61",2015,"5","Connecticut",1
"62",2015,"7","Massachusetts-North",1
"63",2015,"6","Maine",0.8
"64",2015,"9","New Hampshire",0.76
"65",2015,"10","New York",1
"66",2015,"11","Rhode Island",1
"67",2016,"5","Connecticut",1
"68",2016,"7","Massachusetts-North",1
"69",2016,"6","Maine",0.85
"70",2016,"9","New Hampshire",0.735
"71",2016,"10","New York",1
"72",2016,"11","Rhode Island",1
"73",2017,"5","Connecticut",0.975
"74",2017,"7","Massachusetts-North",0.975
"75",2017,"6","Maine",0.53
"76",2017,"9","New Hampshire",1
"77",2017,"10","New York",1
"78",2017,"11","Rhode Island",1
"79",2005,"8","Massachusetts-South",0.95
"80",2006,"8","Massachusetts-South",0.855
"81",2007,"8","Massachusetts-South",0.93
"82",2008,"8","Massachusetts-South",0.68
"83",2009,"8","Massachusetts-South",1
"84",2010,"8","Massachusetts-South",0.43
"85",2011,"8","Massachusetts-South",0.68
"86",2012,"8","Massachusetts-South",0.75
"87",2013,"8","Massachusetts-South",1
"88",2014,"8","Massachusetts-South",0.8
"89",2015,"8","Massachusetts-South",1
"90",2016,"8","Massachusetts-South",1
"91",2017,"8","Massachusetts-South",0.975
