"","year","rgn_id","rgn_name","svi_score"
"1",2005,"7","Massachusetts-North",0.605220796863927
"2",2006,"7","Massachusetts-North",0.605220796863927
"3",2007,"7","Massachusetts-North",0.605220796863927
"4",2008,"7","Massachusetts-North",0.605220796863927
"5",2009,"7","Massachusetts-North",0.605220796863927
"6",2010,"7","Massachusetts-North",0.614015966673123
"7",2011,"7","Massachusetts-North",0.624270663392205
"8",2012,"7","Massachusetts-North",0.627232942713559
"9",2013,"7","Massachusetts-North",0.610614710706456
"10",2014,"7","Massachusetts-North",0.618373266926789
"11",2015,"7","Massachusetts-North",0.447035798780601
"12",2016,"7","Massachusetts-North",0.45413843831551
"13",2005,"8","Massachusetts-South",0.535157341156498
"14",2006,"8","Massachusetts-South",0.535157341156498
"15",2007,"8","Massachusetts-South",0.535157341156498
"16",2008,"8","Massachusetts-South",0.535157341156498
"17",2009,"8","Massachusetts-South",0.535157341156498
"18",2010,"8","Massachusetts-South",0.549234251630822
"19",2011,"8","Massachusetts-South",0.554617434448978
"20",2012,"8","Massachusetts-South",0.557280753900637
"21",2013,"8","Massachusetts-South",0.530930014846885
"22",2014,"8","Massachusetts-South",0.558284963177837
"23",2015,"8","Massachusetts-South",0.398984480278316
"24",2016,"8","Massachusetts-South",0.409481488356129
"25",2005,"5","Connecticut",0.697963258720081
"26",2006,"5","Connecticut",0.697963258720081
"27",2007,"5","Connecticut",0.697963258720081
"28",2008,"5","Connecticut",0.697963258720081
"29",2009,"5","Connecticut",0.697963258720081
"30",2010,"5","Connecticut",0.687259940784064
"31",2011,"5","Connecticut",0.695306349046846
"32",2012,"5","Connecticut",0.700760099511927
"33",2013,"5","Connecticut",0.677492395836028
"34",2014,"5","Connecticut",0.684193333710389
"35",2015,"5","Connecticut",0.535111247955226
"36",2016,"5","Connecticut",0.538106560892696
"37",2005,"6","Maine",0.583175583059675
"38",2006,"6","Maine",0.583175583059675
"39",2007,"6","Maine",0.583175583059675
"40",2008,"6","Maine",0.583175583059675
"41",2009,"6","Maine",0.583175583059675
"42",2010,"6","Maine",0.584930297793625
"43",2011,"6","Maine",0.589392061326804
"44",2012,"6","Maine",0.584823658905283
"45",2013,"6","Maine",0.579058344466466
"46",2014,"6","Maine",0.589836536045088
"47",2015,"6","Maine",0.43525547021992
"48",2016,"6","Maine",0.434784958180907
"49",2005,"9","New Hampshire",0.697257228229718
"50",2006,"9","New Hampshire",0.697257228229718
"51",2007,"9","New Hampshire",0.697257228229718
"52",2008,"9","New Hampshire",0.697257228229718
"53",2009,"9","New Hampshire",0.697257228229718
"54",2010,"9","New Hampshire",0.71443616400706
"55",2011,"9","New Hampshire",0.726184763637151
"56",2012,"9","New Hampshire",0.712351012419316
"57",2013,"9","New Hampshire",0.6970023491065
"58",2014,"9","New Hampshire",0.716596600933495
"59",2015,"9","New Hampshire",0.547610708380538
"60",2016,"9","New Hampshire",0.550478103006902
"61",2005,"10","New York",0.562893953180936
"62",2006,"10","New York",0.562893953180936
"63",2007,"10","New York",0.562893953180936
"64",2008,"10","New York",0.562893953180936
"65",2009,"10","New York",0.562893953180936
"66",2010,"10","New York",0.578323469082813
"67",2011,"10","New York",0.56886794936278
"68",2012,"10","New York",0.577296489562731
"69",2013,"10","New York",0.571014836521472
"70",2014,"10","New York",0.573745274080504
"71",2015,"10","New York",0.395250563687982
"72",2016,"10","New York",0.395461192657488
"73",2005,"11","Rhode Island",0.615028618523558
"74",2006,"11","Rhode Island",0.615028618523558
"75",2007,"11","Rhode Island",0.615028618523558
"76",2008,"11","Rhode Island",0.615028618523558
"77",2009,"11","Rhode Island",0.615028618523558
"78",2010,"11","Rhode Island",0.658006915293808
"79",2011,"11","Rhode Island",0.656514528566714
"80",2012,"11","Rhode Island",0.665316457595436
"81",2013,"11","Rhode Island",0.650220699714123
"82",2014,"11","Rhode Island",0.656031462379972
"83",2015,"11","Rhode Island",0.518508684642285
"84",2016,"11","Rhode Island",0.510897152015951
